over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,totalBallNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
654470,1,11.0,11.0,0.0,0.0,11.0,0.0,11.0,27226,,12985,The Men's Hundred 2022,1,931,Trent Rockets Men,925,Welsh Fire Men,2022-08-29T23:30:30Z,1,1,False,61,Matt Critchley,81,Dawid Malan,402,Alex Hales,58,187,Third Man,4,0,4,4,LengthBall,OffStump,NotOut,BottomEdge,BackFoot,Cut,LegSpinner,Over,LegSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,10,False,True,True,False,False,False,4,0,0,0,0,False,True,,,,
654470,1,11.0,11.0,0.0,0.0,11.0,0.0,11.0,27226,,12985,The Men's Hundred 2022,1,931,Trent Rockets Men,925,Welsh Fire Men,2022-08-29T23:31:04Z,2,2,False,61,Matt Critchley,81,Dawid Malan,402,Alex Hales,325,218,Deep Extra Cover,4,0,4,4,LengthBall,OutsideOff,NotOut,WellTimed,FrontFoot,Drive,LegSpinner,Over,LegSpin,Left,Null,NotReferred,Null,False,False,False,False,True,False,10,False,False,True,False,False,False,4,0,0,0,0,False,True,,,,
654470,1,11.0,11.0,0.0,0.0,11.0,0.0,11.0,27226,,12985,The Men's Hundred 2022,1,931,Trent Rockets Men,925,Welsh Fire Men,2022-08-29T23:31:30Z,3,3,False,61,Matt Critchley,81,Dawid Malan,402,Alex Hales,200,141,Deep Mid Wicket,1,0,1,1,LengthBall,DownLeg,NotOut,None,FrontFoot,Slog,LegSpinner,Over,LegSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,10,False,False,True,False,False,False,1,0,0,0,0,False,False,,,,
654470,1,11.0,11.0,0.0,0.0,11.0,0.0,11.0,27226,,12985,The Men's Hundred 2022,1,931,Trent Rockets Men,925,Welsh Fire Men,2022-08-29T23:32:04Z,4,4,False,61,Matt Critchley,402,Alex Hales,81,Dawid Malan,266,174,Long Off,2,0,2,2,LengthBall,OffStump,NotOut,None,FrontFoot,Drive,LegSpinner,Over,LegSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,10,False,False,True,False,False,False,2,0,0,0,0,False,False,,,,
654470,1,11.0,11.0,0.0,0.0,11.0,0.0,11.0,27226,,12985,The Men's Hundred 2022,1,931,Trent Rockets Men,925,Welsh Fire Men,2022-08-29T23:32:28Z,5,5,False,61,Matt Critchley,402,Alex Hales,81,Dawid Malan,90,48,Wicketkeeper,0,0,0,0,LengthBall,OutsideOff,Stumped,Missed,FrontFoot,Drive,LegSpinner,Over,LegSpin,Left,NotOut3rdUmpire,NotReferred,Null,False,False,False,False,False,True,53,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
654471,2,9.0,7.0,0.0,1.0,18.0,0.0,7.0,27226,,12985,The Men's Hundred 2022,1,931,Trent Rockets Men,925,Welsh Fire Men,2022-08-29T23:34:23Z,1,6,False,405,Ish Sodhi,402,Alex Hales,81,Dawid Malan,328,136,Deep Mid Wicket,2,0,2,2,LengthBall,MiddleStump,NotOut,None,FrontFoot,Worked,LegSpinner,Over,LegSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,10,False,False,True,False,False,False,2,0,0,0,0,False,False,,,,
654471,2,9.0,7.0,0.0,1.0,18.0,0.0,7.0,27226,,12985,The Men's Hundred 2022,1,931,Trent Rockets Men,925,Welsh Fire Men,2022-08-29T23:34:52Z,2,7,False,405,Ish Sodhi,402,Alex Hales,81,Dawid Malan,3,191,Deep Square Leg,4,0,4,4,LengthBall,OffStump,NotOut,InsideEdge,DownTheTrack,Drive,Googly,Over,LegSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,10,False,False,True,False,False,False,4,0,0,0,0,False,True,,,,
654471,2,9.0,7.0,0.0,1.0,18.0,0.0,7.0,27226,,12985,The Men's Hundred 2022,1,931,Trent Rockets Men,925,Welsh Fire Men,2022-08-29T23:35:25Z,3,8,False,405,Ish Sodhi,402,Alex Hales,81,Dawid Malan,242,45,Silly Mid Off,0,0,0,0,LengthBall,OffStump,NotOut,InsideEdge,BackFoot,Drive,Googly,Over,LegSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,10,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
654471,2,9.0,7.0,0.0,1.0,18.0,0.0,7.0,27226,,12985,The Men's Hundred 2022,1,931,Trent Rockets Men,925,Welsh Fire Men,2022-08-29T23:35:51Z,4,9,False,405,Ish Sodhi,402,Alex Hales,81,Dawid Malan,310,17,Short Leg,0,0,0,0,BackOfALength,OutsideOff,NotOut,HitPad,BackFoot,Pull,Googly,Over,LegSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,10,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
654471,2,9.0,7.0,0.0,1.0,18.0,0.0,7.0,27226,,12985,The Men's Hundred 2022,1,931,Trent Rockets Men,925,Welsh Fire Men,2022-08-29T23:36:18Z,5,9,False,405,Ish Sodhi,402,Alex Hales,81,Dawid Malan,90,48,Wicketkeeper,1,1,1,0,LengthBall,MiddleStump,NotOut,PlayAndMissLegSide,BackFoot,Glance,Googly,Over,LegSpin,Left,Null,NotReferred,Null,True,False,False,False,False,False,10,False,False,True,False,False,False,0,0,1,0,0,False,False,,,,
654471,2,9.0,7.0,0.0,1.0,18.0,0.0,7.0,27226,,12985,The Men's Hundred 2022,1,931,Trent Rockets Men,925,Welsh Fire Men,2022-08-29T23:36:42Z,5,10,False,405,Ish Sodhi,402,Alex Hales,81,Dawid Malan,14,106,Backward Square Leg,0,0,0,0,LengthBall,OutsideOff,NotOut,InsideEdge,FrontFoot,Drive,LegSpinner,Over,LegSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,10,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
654472,3,8.33,7.0,0.0,0.0,25.0,0.0,7.0,27226,,12985,The Men's Hundred 2022,1,931,Trent Rockets Men,925,Welsh Fire Men,2022-08-29T23:37:46Z,1,11,False,361,David Payne,81,Dawid Malan,402,Alex Hales,182,151,Deep Square Leg,1,0,1,1,LengthBall,OutsideOff,NotOut,None,FrontFoot,Flick,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,22,False,False,True,False,False,False,1,0,0,0,0,False,False,,,,
