over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,totalBallNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,catchDifficulty,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
1110747,1,2.0,1.0,0.0,1.0,2.0,0.0,2.0,40102,,22863,The Hundred 2025 - Men,1,924,Oval Invincibles Men,925,Welsh Fire Men,2025-08-16T22:30:22Z,1,1,False,361.0,David Payne,474.0,Will Jacks,7833.0,Tawanda Muyeye,238.0,81.0,Mid Off,0.0,0,0,0.0,LengthBall,OffStump,NotOut,None,FrontFoot,ForwardDefensive,InSwinger,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,22.0,False,True,True,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,,,,
1110747,1,2.0,1.0,0.0,1.0,2.0,0.0,2.0,40102,,22863,The Hundred 2025 - Men,1,924,Oval Invincibles Men,925,Welsh Fire Men,2025-08-16T22:30:56Z,2,2,False,361.0,David Payne,474.0,Will Jacks,7833.0,Tawanda Muyeye,135.0,74.0,Short Third Man,0.0,1,1,0.0,LengthBall,LegStump,Lbw,HitPad,FrontFoot,Flick,InSwinger,Over,Fast,Left,NotOut2ndUmpire,NotOutReviewLost,Null,False,False,False,True,False,True,14.0,False,False,True,False,True,True,1.0,0.0,0.0,1.0,0.0,False,False,0.0,,,,
1110747,1,2.0,1.0,0.0,1.0,2.0,0.0,2.0,40102,,22863,The Hundred 2025 - Men,1,924,Oval Invincibles Men,925,Welsh Fire Men,2025-08-16T22:32:42Z,3,3,False,361.0,David Payne,7833.0,Tawanda Muyeye,474.0,Will Jacks,248.0,87.0,Mid Off,1.0,0,1,1.0,HalfVolley,OutsideOff,NotOut,MisTimed,FrontFoot,Drive,InSwinger,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,22.0,False,False,True,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,0.0,,,,
1110747,1,2.0,1.0,0.0,1.0,2.0,0.0,2.0,40102,,22863,The Hundred 2025 - Men,1,924,Oval Invincibles Men,925,Welsh Fire Men,2025-08-16T22:33:00Z,4,4,False,361.0,David Payne,474.0,Will Jacks,7833.0,Tawanda Muyeye,90.0,48.0,Wicketkeeper,0.0,0,0,0.0,LengthBall,OutsideOff,NotOut,Missed,DownTheTrack,Drive,InSwinger,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,22.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,,,,
1110747,1,2.0,1.0,0.0,1.0,2.0,0.0,2.0,40102,,22863,The Hundred 2025 - Men,1,924,Oval Invincibles Men,925,Welsh Fire Men,2025-08-16T22:33:22Z,5,5,False,361.0,David Payne,474.0,Will Jacks,7833.0,Tawanda Muyeye,218.0,46.0,Short Extra Cover,0.0,0,0,0.0,LengthBall,MiddleStump,NotOut,None,FrontFoot,Dropped,InSwinger,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,22.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,,,,
1110748,2,5.0,8.0,0.0,0.0,10.0,0.0,8.0,40102,,22863,The Hundred 2025 - Men,1,924,Oval Invincibles Men,925,Welsh Fire Men,2025-08-16T22:34:12Z,1,6,False,463.0,Matt Henry,474.0,Will Jacks,7833.0,Tawanda Muyeye,232.0,188.0,Long Off,4.0,0,4,4.0,LengthBall,OutsideOff,NotOut,WellTimed,FrontFoot,Drive,AwaySwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,True,False,22.0,False,False,True,False,True,False,4.0,0.0,0.0,0.0,0.0,False,True,0.0,,,,
1110748,2,5.0,8.0,0.0,0.0,10.0,0.0,8.0,40102,,22863,The Hundred 2025 - Men,1,924,Oval Invincibles Men,925,Welsh Fire Men,2025-08-16T22:34:43Z,2,7,False,463.0,Matt Henry,474.0,Will Jacks,7833.0,Tawanda Muyeye,106.0,171.0,Third Man,4.0,0,4,4.0,LengthBall,OutsideOff,NotOut,ThickEdge,DownTheTrack,Drive,AwaySwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,22.0,False,False,True,False,True,False,4.0,0.0,0.0,0.0,0.0,False,True,0.0,,,,
1110748,2,5.0,8.0,0.0,0.0,10.0,0.0,8.0,40102,,22863,The Hundred 2025 - Men,1,924,Oval Invincibles Men,925,Welsh Fire Men,2025-08-16T22:35:20Z,3,8,False,463.0,Matt Henry,474.0,Will Jacks,7833.0,Tawanda Muyeye,270.0,40.0,Bowler,0.0,0,0,0.0,LengthBall,OutsideOff,NotOut,MisTimed,FrontFoot,Pushed,AwaySwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,22.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,,,,
1110748,2,5.0,8.0,0.0,0.0,10.0,0.0,8.0,40102,,22863,The Hundred 2025 - Men,1,924,Oval Invincibles Men,925,Welsh Fire Men,2025-08-16T22:35:49Z,4,9,False,463.0,Matt Henry,474.0,Will Jacks,7833.0,Tawanda Muyeye,90.0,48.0,Wicketkeeper,0.0,0,0,0.0,LengthBall,OutsideOff,NotOut,Missed,FrontFoot,Pushed,AwaySwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,22.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,,,,
1110748,2,5.0,8.0,0.0,0.0,10.0,0.0,8.0,40102,,22863,The Hundred 2025 - Men,1,924,Oval Invincibles Men,925,Welsh Fire Men,2025-08-16T22:36:19Z,5,10,False,463.0,Matt Henry,474.0,Will Jacks,7833.0,Tawanda Muyeye,90.0,48.0,Wicketkeeper,0.0,0,0,0.0,BackOfALength,OutsideOff,NotOut,Missed,DownTheTrack,Drive,SeamIn,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,22.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0,,,,
