over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,totalBallNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,catchDifficulty
1115056,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,40242,,22886,The Hundred 2025 - Men,1,925,Welsh Fire Men,931,Trent Rockets Men,2025-08-24T19:00:28Z,1,1,False,,,,166,David Willey,80,Stephen Eskinazi,1075,Steve Smith,189,49,Point,0,0,0,0,,BackOfALength,DownLeg,NotOut,LeadingEdge,BackFoot,Worked,InSwinger,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,1,False,True,True,False,False,False,0,0,0,0,0,False,False,0.0
1115056,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,40242,,22886,The Hundred 2025 - Men,1,925,Welsh Fire Men,931,Trent Rockets Men,2025-08-24T19:01:03Z,2,2,False,,,,166,David Willey,80,Stephen Eskinazi,1075,Steve Smith,90,48,Wicketkeeper,0,0,0,0,,BackOfALength,DownLeg,NotOut,Missed,BackFoot,BackwardDefensive,AwaySwinger,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,1,False,False,True,False,False,False,0,0,0,0,0,False,False,0.0
1115056,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,40242,,22886,The Hundred 2025 - Men,1,925,Welsh Fire Men,931,Trent Rockets Men,2025-08-24T19:01:35Z,3,3,False,,,,166,David Willey,80,Stephen Eskinazi,1075,Steve Smith,158,75,Backward Point,0,0,0,0,,LengthBall,DownLeg,NotOut,Gloved,BackFoot,Steer,AwaySwinger,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,1,False,False,True,False,False,False,0,0,0,0,0,False,False,0.0
1115056,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,40242,,22886,The Hundred 2025 - Men,1,925,Welsh Fire Men,931,Trent Rockets Men,2025-08-24T19:02:07Z,4,4,False,,,,166,David Willey,80,Stephen Eskinazi,1075,Steve Smith,121,133,Third Man,1,0,1,1,,BackOfALength,DownLeg,NotOut,None,BackFoot,Steer,AwaySwinger,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,1,False,False,True,False,False,False,1,0,0,0,0,False,False,0.0
1115056,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,40242,,22886,The Hundred 2025 - Men,1,925,Welsh Fire Men,931,Trent Rockets Men,2025-08-24T19:02:54Z,5,5,False,,,,166,David Willey,1075,Steve Smith,80,Stephen Eskinazi,10,141,Deep Backward Square Leg,1,0,1,1,,LengthBall,DownLeg,NotOut,None,BackFoot,Worked,InSwinger,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,1,False,False,True,False,False,False,1,0,0,0,0,False,False,0.0
1115059,2,6.5,10.0,0.0,3.0,13.0,0.0,10.0,40242,,22886,The Hundred 2025 - Men,1,925,Welsh Fire Men,931,Trent Rockets Men,2025-08-24T19:03:33Z,1,6,False,,,,166,David Willey,80,Stephen Eskinazi,1075,Steve Smith,90,48,Wicketkeeper,0,0,0,0,,BackOfALength,LegStump,NotOut,Missed,MovesInfront,Scoop,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,1,False,False,True,False,False,False,0,0,0,0,0,False,False,
1115059,2,6.5,10.0,0.0,3.0,13.0,0.0,10.0,40242,,22886,The Hundred 2025 - Men,1,925,Welsh Fire Men,931,Trent Rockets Men,2025-08-24T19:04:05Z,2,6,False,,,,166,David Willey,80,Stephen Eskinazi,1075,Steve Smith,54,106,Short Fine Leg,2,2,2,0,,LengthBall,DownLeg,NotOut,PlayAndMissLegSide,BackFoot,Glance,InSwinger,Over,Fast,Left,Null,NotReferred,Null,True,False,False,False,False,False,1,False,False,True,False,False,False,2,0,2,0,0,False,False,
1115059,2,6.5,10.0,0.0,3.0,13.0,0.0,10.0,40242,,22886,The Hundred 2025 - Men,1,925,Welsh Fire Men,931,Trent Rockets Men,2025-08-24T19:04:43Z,2,7,False,,,,166,David Willey,1075,Steve Smith,80,Stephen Eskinazi,2,99,Square Leg,1,0,1,1,,LengthBall,DownLeg,NotOut,MisTimed,BackFoot,Worked,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,1,False,False,True,False,False,False,1,0,0,0,0,False,False,
1115059,2,6.5,10.0,0.0,3.0,13.0,0.0,10.0,40242,,22886,The Hundred 2025 - Men,1,925,Welsh Fire Men,931,Trent Rockets Men,2025-08-24T19:05:24Z,3,8,False,,,,166,David Willey,80,Stephen Eskinazi,1075,Steve Smith,358,185,Deep Square Leg,6,0,6,6,,LengthBall,DownLeg,NotOut,Middled,BacksAway,Slog,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,True,False,1,False,False,True,False,False,False,6,0,0,0,0,False,False,
1115059,2,6.5,10.0,0.0,3.0,13.0,0.0,10.0,40242,,22886,The Hundred 2025 - Men,1,925,Welsh Fire Men,931,Trent Rockets Men,2025-08-24T19:06:33Z,4,8,False,,,,166,David Willey,80,Stephen Eskinazi,1075,Steve Smith,90,48,Wicketkeeper,1,1,1,0,,BackOfALength,OutsideOff,NotOut,Missed,BackFoot,Cut,NoMovement,Over,Fast,Left,Null,NotReferred,Null,True,False,False,False,False,False,1,False,False,True,False,False,False,1,0,1,0,0,False,False,
1115059,2,6.5,10.0,0.0,3.0,13.0,0.0,10.0,40242,,22886,The Hundred 2025 - Men,1,925,Welsh Fire Men,931,Trent Rockets Men,2025-08-24T19:07:04Z,4,9,False,,,,166,David Willey,80,Stephen Eskinazi,1075,Steve Smith,288,48,Silly Mid On,0,0,0,0,,LengthBall,DownLeg,NotOut,None,FrontFoot,Worked,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,1,False,False,True,False,False,False,0,0,0,0,0,False,False,
1115059,2,6.5,10.0,0.0,3.0,13.0,0.0,10.0,40242,,22886,The Hundred 2025 - Men,1,925,Welsh Fire Men,931,Trent Rockets Men,2025-08-24T19:07:39Z,5,10,False,,,,166,David Willey,80,Stephen Eskinazi,1075,Steve Smith,160,81,Backward Point,0,0,0,0,,LengthBall,DownLeg,Lbw,HitPad,FrontFoot,Worked,InSwinger,Over,Fast,Left,NotOut1stUmpire,NotReferred,Null,False,False,False,False,False,True,1,False,False,True,False,False,False,0,0,0,0,0,False,False,
1115069,3,6.33,7.0,1.0,1.0,19.0,1.0,7.0,40242,,22886,The Hundred 2025 - Men,1,925,Welsh Fire Men,931,Trent Rockets Men,2025-08-24T19:08:50Z,1,10,False,,,,22,Sam Cook,1075,Steve Smith,80,Stephen Eskinazi,90,48,Wicketkeeper,1,1,1,0,,LengthBall,Wide,NotOut,Missed,BackFoot,Cut,AwaySwinger,Over,Fast,Right,Null,NotReferred,Null,True,False,False,False,False,False,31,False,False,True,False,False,False,1,0,1,0,0,False,False,0.0
