over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,totalBallNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,catchDifficulty
1117108,1,3.0,3.0,0.0,1.0,3.0,0.0,3.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T19:46:00Z,1,1,False,,,,760.0,Shabnim Ismail,2888.0,Maia Bouchier,432.0,Danielle Wyatt-Hodge,199.0,80.0,Cover,0.0,0,0,0.0,,LengthBall,Wide,NotOut,MisTimed,BackFoot,Drive,AwaySwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,956.0,False,True,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0
1117108,1,3.0,3.0,0.0,1.0,3.0,0.0,3.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T19:46:33Z,2,2,False,,,,760.0,Shabnim Ismail,2888.0,Maia Bouchier,432.0,Danielle Wyatt-Hodge,328.0,66.0,Mid Wicket,0.0,0,0,0.0,,LengthBall,OutsideOff,NotOut,None,BackFoot,Worked,InSwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,956.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0
1117108,1,3.0,3.0,0.0,1.0,3.0,0.0,3.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T19:47:00Z,3,3,False,,,,760.0,Shabnim Ismail,2888.0,Maia Bouchier,432.0,Danielle Wyatt-Hodge,90.0,48.0,Wicketkeeper,0.0,0,0,0.0,,LengthBall,OutsideOff,NotOut,Missed,BackFoot,Steer,AwaySwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,956.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0
1117108,1,3.0,3.0,0.0,1.0,3.0,0.0,3.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T19:47:31Z,4,4,False,,,,760.0,Shabnim Ismail,2888.0,Maia Bouchier,432.0,Danielle Wyatt-Hodge,219.0,77.0,Extra Cover,1.0,0,1,1.0,,BackOfALength,OutsideOff,NotOut,None,DownTheTrack,Drive,AwaySwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,956.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,0.0
1117108,1,3.0,3.0,0.0,1.0,3.0,0.0,3.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T19:48:15Z,5,4,False,,,,760.0,Shabnim Ismail,432.0,Danielle Wyatt-Hodge,2888.0,Maia Bouchier,90.0,48.0,Wicketkeeper,1.0,1,1,0.0,,BackOfALength,OutsideOff,NotOut,PlayAndMissLegSide,BackFoot,Glance,SeamIn,Over,Fast,Right,Null,NotReferred,Null,True,False,False,False,False,False,956.0,False,False,True,False,False,False,1.0,0.0,1.0,0.0,0.0,False,False,0.0
1117108,1,3.0,3.0,0.0,1.0,3.0,0.0,3.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T19:48:49Z,5,5,False,,,,760.0,Shabnim Ismail,432.0,Danielle Wyatt-Hodge,2888.0,Maia Bouchier,165.0,135.0,Deep Backward Point,1.0,0,1,1.0,,BackOfALength,Wide,NotOut,None,BackFoot,Cut,SeamIn,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,956.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,0.0
1117110,2,2.5,2.0,1.0,0.0,5.0,1.0,2.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T19:49:53Z,1,6,False,,,,1146.0,Hayley Matthews,2888.0,Maia Bouchier,432.0,Danielle Wyatt-Hodge,228.0,97.0,Mid Off,1.0,0,1,1.0,,LengthBall,OutsideOff,NotOut,None,FrontFoot,Drive,OffBreak,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,956.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,0.0
1117110,2,2.5,2.0,1.0,0.0,5.0,1.0,2.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T19:50:28Z,2,7,False,,,,1146.0,Hayley Matthews,432.0,Danielle Wyatt-Hodge,2888.0,Maia Bouchier,343.0,99.0,Mid Wicket,1.0,0,1,1.0,,LengthBall,DownLeg,NotOut,None,FrontFoot,Pushed,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,956.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,0.0
1117110,2,2.5,2.0,1.0,0.0,5.0,1.0,2.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T19:50:57Z,3,8,False,,,,1146.0,Hayley Matthews,2888.0,Maia Bouchier,432.0,Danielle Wyatt-Hodge,322.0,59.0,Short Mid Wicket,0.0,0,0,0.0,,LengthBall,OutsideOff,NotOut,None,BackFoot,Worked,OffBreak,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,956.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0
1117110,2,2.5,2.0,1.0,0.0,5.0,1.0,2.0,40350,,22894,The Hundred 2025 - Women,1,899,Southern Brave Women,902,Welsh Fire Women,2025-08-28T19:51:16Z,4,9,True,Bowled,2888.0,Maia Bouchier,1146.0,Hayley Matthews,2888.0,Maia Bouchier,432.0,Danielle Wyatt-Hodge,0.0,0.0,,0.0,0,0,0.0,Bowled,LengthBall,OutsideOff,NotOut,Missed,FrontFoot,SlogSweep,OffBreak,Over,OffSpin,Right,Out2ndUmpire,NotReferred,Null,False,False,False,False,False,False,956.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,0.0
