over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,catchDifficulty
1124886,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,40851,,22548,County Championship Division One 2025,1,46,Worcestershire Men,40,Durham Men,2025-09-16T10:28:57Z,1,False,120,Ben Raine,10065,Rehaan Edavalath,146,Jake Libby,224,40,Short Extra Cover,0,0,0,0,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,29,False,True,False,False,False,False,0,0,0,0,0,False,False,,,,,
1124886,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,40851,,22548,County Championship Division One 2025,1,46,Worcestershire Men,40,Durham Men,2025-09-16T10:29:15Z,2,False,120,Ben Raine,10065,Rehaan Edavalath,146,Jake Libby,201,85,Cover,1,0,1,1,LengthBall,Null,NotOut,Played,0,Pushed,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,29,False,False,False,False,False,False,1,0,0,0,0,False,False,,,,,
1124886,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,40851,,22548,County Championship Division One 2025,1,46,Worcestershire Men,40,Durham Men,2025-09-16T10:29:55Z,3,False,120,Ben Raine,146,Jake Libby,10065,Rehaan Edavalath,197,78,Cover,0,0,0,0,LengthBall,Null,NotOut,Played,0,Pushed,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,29,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,
1124886,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,40851,,22548,County Championship Division One 2025,1,46,Worcestershire Men,40,Durham Men,2025-09-16T10:30:26Z,4,False,120,Ben Raine,146,Jake Libby,10065,Rehaan Edavalath,196,186,Deep Cover,4,0,4,4,LengthBall,Null,NotOut,HitHard,0,Drive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,29,False,False,False,False,False,False,4,0,0,0,0,False,True,,,,,
1124886,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,40851,,22548,County Championship Division One 2025,1,46,Worcestershire Men,40,Durham Men,2025-09-16T10:31:10Z,5,False,120,Ben Raine,146,Jake Libby,10065,Rehaan Edavalath,205,88,Cover,0,0,0,0,LengthBall,Null,NotOut,MisTimed,0,Drive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,29,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,
1124886,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,40851,,22548,County Championship Division One 2025,1,46,Worcestershire Men,40,Durham Men,2025-09-16T10:31:43Z,6,False,120,Ben Raine,146,Jake Libby,10065,Rehaan Edavalath,221,37,Short Extra Cover,0,0,0,0,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,29,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,
1124893,2,3.5,2.0,0.0,0.0,7.0,0.0,2.0,40851,,22548,County Championship Division One 2025,1,46,Worcestershire Men,40,Durham Men,2025-09-16T10:32:51Z,1,False,2673,Matthew Potts,10065,Rehaan Edavalath,146,Jake Libby,90,48,Wicketkeeper,0,0,0,0,LengthBall,Null,NotOut,NoShot,0,Leave,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,78,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,
1124893,2,3.5,2.0,0.0,0.0,7.0,0.0,2.0,40851,,22548,County Championship Division One 2025,1,46,Worcestershire Men,40,Durham Men,2025-09-16T10:33:26Z,2,False,2673,Matthew Potts,10065,Rehaan Edavalath,146,Jake Libby,211,126,Extra Cover,2,0,2,2,LengthBall,Null,NotOut,Played,0,Drive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,78,False,False,False,False,False,False,2,0,0,0,0,False,False,,,,,
1124893,2,3.5,2.0,0.0,0.0,7.0,0.0,2.0,40851,,22548,County Championship Division One 2025,1,46,Worcestershire Men,40,Durham Men,2025-09-16T10:34:07Z,3,False,2673,Matthew Potts,10065,Rehaan Edavalath,146,Jake Libby,196,25,Silly Point,0,0,0,0,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,78,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,
1124893,2,3.5,2.0,0.0,0.0,7.0,0.0,2.0,40851,,22548,County Championship Division One 2025,1,46,Worcestershire Men,40,Durham Men,2025-09-16T10:34:42Z,4,False,2673,Matthew Potts,10065,Rehaan Edavalath,146,Jake Libby,321,66,Short Mid Wicket,0,0,0,0,LengthBall,Null,NotOut,Played,0,Worked,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,78,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,
1124893,2,3.5,2.0,0.0,0.0,7.0,0.0,2.0,40851,,22548,County Championship Division One 2025,1,46,Worcestershire Men,40,Durham Men,2025-09-16T10:35:15Z,5,False,2673,Matthew Potts,10065,Rehaan Edavalath,146,Jake Libby,290,91,Mid On,0,0,0,0,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,78,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,
1124893,2,3.5,2.0,0.0,0.0,7.0,0.0,2.0,40851,,22548,County Championship Division One 2025,1,46,Worcestershire Men,40,Durham Men,2025-09-16T10:35:53Z,6,False,2673,Matthew Potts,10065,Rehaan Edavalath,146,Jake Libby,270,40,Bowler,0,0,0,0,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,78,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,
1124900,3,2.33,0.0,0.0,0.0,7.0,0.0,0.0,40851,,22548,County Championship Division One 2025,1,46,Worcestershire Men,40,Durham Men,2025-09-16T10:36:39Z,1,False,120,Ben Raine,146,Jake Libby,10065,Rehaan Edavalath,202,51,Short Extra Cover,0,0,0,0,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,29,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,
1124900,3,2.33,0.0,0.0,0.0,7.0,0.0,0.0,40851,,22548,County Championship Division One 2025,1,46,Worcestershire Men,40,Durham Men,2025-09-16T10:37:18Z,2,False,120,Ben Raine,146,Jake Libby,10065,Rehaan Edavalath,270,40,Bowler,0,0,0,0,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,29,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,
1124900,3,2.33,0.0,0.0,0.0,7.0,0.0,0.0,40851,,22548,County Championship Division One 2025,1,46,Worcestershire Men,40,Durham Men,2025-09-16T10:37:51Z,3,False,120,Ben Raine,146,Jake Libby,10065,Rehaan Edavalath,211,61,Short Extra Cover,0,0,0,0,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,29,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,
1124900,3,2.33,0.0,0.0,0.0,7.0,0.0,0.0,40851,,22548,County Championship Division One 2025,1,46,Worcestershire Men,40,Durham Men,2025-09-16T10:38:27Z,4,False,120,Ben Raine,146,Jake Libby,10065,Rehaan Edavalath,201,57,Short Extra Cover,0,0,0,0,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,29,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,
1124900,3,2.33,0.0,0.0,0.0,7.0,0.0,0.0,40851,,22548,County Championship Division One 2025,1,46,Worcestershire Men,40,Durham Men,2025-09-16T10:38:59Z,5,False,120,Ben Raine,146,Jake Libby,10065,Rehaan Edavalath,218,50,Short Extra Cover,0,0,0,0,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,29,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,
1124900,3,2.33,0.0,0.0,0.0,7.0,0.0,0.0,40851,,22548,County Championship Division One 2025,1,46,Worcestershire Men,40,Durham Men,2025-09-16T10:39:34Z,6,False,120,Ben Raine,146,Jake Libby,10065,Rehaan Edavalath,203,16,Silly Point,0,0,0,0,LengthBall,Null,NotOut,MisTimed,0,ForwardDefensive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,29,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,
1124908,4,1.75,0.0,0.0,0.0,7.0,0.0,0.0,40851,,22548,County Championship Division One 2025,1,46,Worcestershire Men,40,Durham Men,2025-09-16T10:40:20Z,1,False,2673,Matthew Potts,10065,Rehaan Edavalath,146,Jake Libby,90,48,Wicketkeeper,0,0,0,0,LengthBall,Null,NotOut,NoShot,0,Leave,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,78,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,
1124908,4,1.75,0.0,0.0,0.0,7.0,0.0,0.0,40851,,22548,County Championship Division One 2025,1,46,Worcestershire Men,40,Durham Men,2025-09-16T10:40:57Z,2,False,2673,Matthew Potts,10065,Rehaan Edavalath,146,Jake Libby,90,48,Wicketkeeper,0,0,0,0,LengthBall,Null,NotOut,NoShot,0,Leave,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,78,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,
1124908,4,1.75,0.0,0.0,0.0,7.0,0.0,0.0,40851,,22548,County Championship Division One 2025,1,46,Worcestershire Men,40,Durham Men,2025-09-16T10:41:33Z,3,False,2673,Matthew Potts,10065,Rehaan Edavalath,146,Jake Libby,270,40,Bowler,0,0,0,0,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,78,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,
1124908,4,1.75,0.0,0.0,0.0,7.0,0.0,0.0,40851,,22548,County Championship Division One 2025,1,46,Worcestershire Men,40,Durham Men,2025-09-16T10:42:11Z,4,False,2673,Matthew Potts,10065,Rehaan Edavalath,146,Jake Libby,230,49,Short Extra Cover,0,0,0,0,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,78,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,
