over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,catchDifficulty,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
1279311,1,8.0,4.0,0.0,4.0,8.0,0.0,8.0,73570,,24414,Sheffield Shield 2025-26,1,82,Victoria Men,83,Western Australia Men,2026-02-16T10:31:00Z,1,False,294,Jhye Richardson,8523,Campbell Kellaway,841,Sam Harper,99,167,Fine Leg,0,4,4,0,BackOfALength,Null,NotOut,HitPad,0,Glance,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,True,False,False,226,False,True,False,False,False,False,4,0,0,4,0,False,False,,,,,
1279311,1,8.0,4.0,0.0,4.0,8.0,0.0,8.0,73570,,24414,Sheffield Shield 2025-26,1,82,Victoria Men,83,Western Australia Men,2026-02-16T10:31:40Z,2,False,294,Jhye Richardson,8523,Campbell Kellaway,841,Sam Harper,326,43,Short Extra Cover,0,0,0,0,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,226,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,
1279311,1,8.0,4.0,0.0,4.0,8.0,0.0,8.0,73570,,24414,Sheffield Shield 2025-26,1,82,Victoria Men,83,Western Australia Men,2026-02-16T10:32:17Z,3,False,294,Jhye Richardson,8523,Campbell Kellaway,841,Sam Harper,61,169,Third Man,4,0,4,4,LengthBall,Null,NotOut,Edged,0,ForwardDefensive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,226,False,False,False,False,False,False,4,0,0,0,0,False,True,,,,,
1279311,1,8.0,4.0,0.0,4.0,8.0,0.0,8.0,73570,,24414,Sheffield Shield 2025-26,1,82,Victoria Men,83,Western Australia Men,2026-02-16T10:32:59Z,4,False,294,Jhye Richardson,8523,Campbell Kellaway,841,Sam Harper,90,48,Wicketkeeper,0,0,0,0,LengthBall,Null,NotOut,NoShot,0,Leave,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,226,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,
1279311,1,8.0,4.0,0.0,4.0,8.0,0.0,8.0,73570,,24414,Sheffield Shield 2025-26,1,82,Victoria Men,83,Western Australia Men,2026-02-16T10:33:37Z,5,False,294,Jhye Richardson,8523,Campbell Kellaway,841,Sam Harper,90,48,Wicketkeeper,0,0,0,0,HalfVolley,Null,NotOut,NoShot,0,Leave,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,226,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,
1279311,1,8.0,4.0,0.0,4.0,8.0,0.0,8.0,73570,,24414,Sheffield Shield 2025-26,1,82,Victoria Men,83,Western Australia Men,2026-02-16T10:34:16Z,6,False,294,Jhye Richardson,8523,Campbell Kellaway,841,Sam Harper,320,46,Short Extra Cover,0,0,0,0,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,226,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,
1279312,2,6.5,5.0,0.0,0.0,13.0,0.0,5.0,73570,,24414,Sheffield Shield 2025-26,1,82,Victoria Men,83,Western Australia Men,2026-02-16T10:35:34Z,1,False,1130,Cameron Gannon,841,Sam Harper,8523,Campbell Kellaway,247,81,Mid Off,0,0,0,0,HalfVolley,Null,NotOut,MisTimed,0,Drive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,1205,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,
1279312,2,6.5,5.0,0.0,0.0,13.0,0.0,5.0,73570,,24414,Sheffield Shield 2025-26,1,82,Victoria Men,83,Western Australia Men,2026-02-16T10:36:10Z,2,False,1130,Cameron Gannon,841,Sam Harper,8523,Campbell Kellaway,196,177,Deep Cover,4,0,4,4,HalfVolley,Null,NotOut,HitHard,0,Drive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,1205,False,False,False,False,False,False,4,0,0,0,0,False,True,,,,,
1279312,2,6.5,5.0,0.0,0.0,13.0,0.0,5.0,73570,,24414,Sheffield Shield 2025-26,1,82,Victoria Men,83,Western Australia Men,2026-02-16T10:36:55Z,3,False,1130,Cameron Gannon,841,Sam Harper,8523,Campbell Kellaway,165,71,Backward Point,0,0,0,0,LengthBall,Null,NotOut,Played,0,Pushed,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,1205,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,
1279312,2,6.5,5.0,0.0,0.0,13.0,0.0,5.0,73570,,24414,Sheffield Shield 2025-26,1,82,Victoria Men,83,Western Australia Men,2026-02-16T10:37:33Z,4,False,1130,Cameron Gannon,841,Sam Harper,8523,Campbell Kellaway,90,48,Wicketkeeper,0,0,0,0,LengthBall,Null,NotOut,NoShot,0,ShouldersArms,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,1205,False,False,False,False,False,False,0,0,0,0,0,False,False,,,,,
