over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
843925,1,2.0,1.0,0.0,2.0,2.0,0.0,2.0,31530,,18165,ICC Men's ODI World Cup 2023 Warm-Ups,1,11,Pakistan Men,25,New Zealand Men,2023-09-29T14:00:46Z,1,False,463,Matt Henry,7127,Abdullah Shafique,567,Imam Ul Haq,90,48,Wicketkeeper,1,1,1,0,LengthBall,MiddleStump,NotOut,PlayAndMissLegSide,FrontFoot,Glance,InSwinger,Over,Fast,Right,Null,NotReferred,Null,True,False,False,False,False,False,1001,False,True,True,False,False,False,0,0,1,0,0,False,False,,,,
843925,1,2.0,1.0,0.0,2.0,2.0,0.0,2.0,31530,,18165,ICC Men's ODI World Cup 2023 Warm-Ups,1,11,Pakistan Men,25,New Zealand Men,2023-09-29T14:01:16Z,1,False,463,Matt Henry,7127,Abdullah Shafique,567,Imam Ul Haq,55,143,Fine Leg,0,1,1,0,LengthBall,OffStump,NotOut,HitPad,FrontFoot,Glance,InSwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,True,False,False,1001,False,False,True,False,False,False,0,0,0,1,0,False,False,,,,
843925,1,2.0,1.0,0.0,2.0,2.0,0.0,2.0,31530,,18165,ICC Men's ODI World Cup 2023 Warm-Ups,1,11,Pakistan Men,25,New Zealand Men,2023-09-29T14:02:03Z,2,False,463,Matt Henry,567,Imam Ul Haq,7127,Abdullah Shafique,244,87,Mid On,0,0,0,0,LengthBall,LegStump,NotOut,None,FrontFoot,Flick,InSwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,1001,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
843925,1,2.0,1.0,0.0,2.0,2.0,0.0,2.0,31530,,18165,ICC Men's ODI World Cup 2023 Warm-Ups,1,11,Pakistan Men,25,New Zealand Men,2023-09-29T14:02:28Z,3,False,463,Matt Henry,567,Imam Ul Haq,7127,Abdullah Shafique,90,48,Wicketkeeper,0,0,0,0,LengthBall,OutsideOff,NotOut,Left,FrontFoot,ShouldersArms,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,1001,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
843925,1,2.0,1.0,0.0,2.0,2.0,0.0,2.0,31530,,18165,ICC Men's ODI World Cup 2023 Warm-Ups,1,11,Pakistan Men,25,New Zealand Men,2023-09-29T14:03:00Z,4,False,463,Matt Henry,567,Imam Ul Haq,7127,Abdullah Shafique,90,48,Wicketkeeper,0,0,0,0,LengthBall,OutsideOff,NotOut,Left,FrontFoot,ShouldersArms,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,1001,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
843925,1,2.0,1.0,0.0,2.0,2.0,0.0,2.0,31530,,18165,ICC Men's ODI World Cup 2023 Warm-Ups,1,11,Pakistan Men,25,New Zealand Men,2023-09-29T14:03:29Z,5,False,463,Matt Henry,567,Imam Ul Haq,7127,Abdullah Shafique,252,48,Silly Mid On,0,0,0,0,BackOfALength,LegStump,NotOut,None,BackFoot,BackwardDefensive,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,1001,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
843925,1,2.0,1.0,0.0,2.0,2.0,0.0,2.0,31530,,18165,ICC Men's ODI World Cup 2023 Warm-Ups,1,11,Pakistan Men,25,New Zealand Men,2023-09-29T14:03:59Z,6,False,463,Matt Henry,567,Imam Ul Haq,7127,Abdullah Shafique,90,48,Wicketkeeper,0,0,0,0,LengthBall,OutsideOff,NotOut,Missed,FrontFoot,Drive,AwaySwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,1001,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
843926,2,2.5,3.0,0.0,0.0,5.0,0.0,3.0,31530,,18165,ICC Men's ODI World Cup 2023 Warm-Ups,1,11,Pakistan Men,25,New Zealand Men,2023-09-29T14:05:40Z,1,False,1837,Glenn Phillips,7127,Abdullah Shafique,567,Imam Ul Haq,359,149,Deep Square Leg,1,0,1,1,LengthBall,OutsideOff,NotOut,None,BackFoot,Worked,OffBreak,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,1001,False,True,True,False,False,False,1,0,0,0,0,False,False,,,,
843926,2,2.5,3.0,0.0,0.0,5.0,0.0,3.0,31530,,18165,ICC Men's ODI World Cup 2023 Warm-Ups,1,11,Pakistan Men,25,New Zealand Men,2023-09-29T14:06:27Z,2,False,1837,Glenn Phillips,567,Imam Ul Haq,7127,Abdullah Shafique,329,55,Short Extra Cover,0,0,0,0,LengthBall,OutsideOff,NotOut,None,FrontFoot,ForwardDefensive,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,1001,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
843926,2,2.5,3.0,0.0,0.0,5.0,0.0,3.0,31530,,18165,ICC Men's ODI World Cup 2023 Warm-Ups,1,11,Pakistan Men,25,New Zealand Men,2023-09-29T14:06:43Z,3,False,1837,Glenn Phillips,567,Imam Ul Haq,7127,Abdullah Shafique,181,95,Square Leg,1,0,1,1,LengthBall,OffStump,NotOut,None,BackFoot,Worked,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,1001,False,False,True,False,False,False,1,0,0,0,0,False,False,,,,
843926,2,2.5,3.0,0.0,0.0,5.0,0.0,3.0,31530,,18165,ICC Men's ODI World Cup 2023 Warm-Ups,1,11,Pakistan Men,25,New Zealand Men,2023-09-29T14:07:17Z,4,False,1837,Glenn Phillips,7127,Abdullah Shafique,567,Imam Ul Haq,182,93,Point,0,0,0,0,LengthBall,OutsideOff,NotOut,None,BackFoot,Cut,OffBreak,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,1001,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
843926,2,2.5,3.0,0.0,0.0,5.0,0.0,3.0,31530,,18165,ICC Men's ODI World Cup 2023 Warm-Ups,1,11,Pakistan Men,25,New Zealand Men,2023-09-29T14:07:34Z,5,False,1837,Glenn Phillips,7127,Abdullah Shafique,567,Imam Ul Haq,20,141,Deep Backward Square Leg,1,0,1,1,LengthBall,OutsideOff,NotOut,None,BackFoot,Glance,OffBreak,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,1001,False,False,True,False,False,False,1,0,0,0,0,False,False,,,,
