over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled
190723,1,4.0,2.0,1.0,1.0,2.0,1.0,2.0,4333,,6504,ICC Under-19 World Cup 2020,1,228,England U19 Men,236,,2020-02-03T10:01:37Z,1,False,,,,4034,Dilshan Madushanka,2944,Dan Mousley,3828,Sam Young,90,48,Right,Wicketkeeper,0,0,0,0,,Short,Null,NotOut,NoShot,0,Leave,Null,Round,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,102,False,True,True,False,False,False,0,0,0,0,0,False,False
190723,1,4.0,2.0,1.0,1.0,2.0,1.0,2.0,4333,,6504,ICC Under-19 World Cup 2020,1,228,England U19 Men,236,,2020-02-03T10:02:16Z,2,False,,,,4034,Dilshan Madushanka,2944,Dan Mousley,3828,Sam Young,37,132,Right,Third Man,1,0,1,1,,BackOfALength,Null,NotOut,Played,0,Cut,Null,Round,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,102,False,False,True,False,False,False,1,0,0,0,0,False,False
190723,1,4.0,2.0,1.0,1.0,2.0,1.0,2.0,4333,,6504,ICC Under-19 World Cup 2020,1,228,England U19 Men,236,,2020-02-03T10:03:14Z,3,False,,,,4034,Dilshan Madushanka,3828,Sam Young,2944,Dan Mousley,342,86,Left,Mid Wicket,0,0,0,0,,Short,Null,NotOut,Played,0,BackwardDefensive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,102,False,False,True,False,False,False,0,0,0,0,0,False,False
190723,1,4.0,2.0,1.0,1.0,2.0,1.0,2.0,4333,,6504,ICC Under-19 World Cup 2020,1,228,England U19 Men,236,,2020-02-03T10:03:50Z,4,True,Caught,3828.0,Sam Young,4034,Dilshan Madushanka,3828,Sam Young,2944,Dan Mousley,90,48,Left,Wicketkeeper,0,0,0,0,Caught,Short,Null,NotOut,Edged,0,Cut,Null,Over,Fast,Right,Out2ndUmpire,NotReferred,Null,False,False,False,False,False,False,102,False,False,True,False,False,False,0,0,0,0,0,False,False
190723,1,4.0,2.0,1.0,1.0,2.0,1.0,2.0,4333,,6504,ICC Under-19 World Cup 2020,1,228,England U19 Men,236,,2020-02-03T10:05:43Z,5,False,,,,4034,Dilshan Madushanka,2701,Jordan Cox,2944,Dan Mousley,90,48,Left,Wicketkeeper,1,1,1,0,,LengthBall,Null,NotOut,NoShot,0,Leave,Null,Over,Fast,Right,Null,NotReferred,Null,True,False,False,False,False,False,102,False,False,True,False,False,False,0,0,1,0,0,False,False
190723,1,4.0,2.0,1.0,1.0,2.0,1.0,2.0,4333,,6504,ICC Under-19 World Cup 2020,1,228,England U19 Men,236,,2020-02-03T10:06:31Z,5,False,,,,4034,Dilshan Madushanka,2701,Jordan Cox,2944,Dan Mousley,352,76,Left,Mid Wicket,0,0,0,0,,BackOfALength,Null,NotOut,Played,0,Glance,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,102,False,False,True,False,False,False,0,0,0,0,0,False,False
190723,1,4.0,2.0,1.0,1.0,2.0,1.0,2.0,4333,,6504,ICC Under-19 World Cup 2020,1,228,England U19 Men,236,,2020-02-03T10:07:01Z,6,False,,,,4034,Dilshan Madushanka,2701,Jordan Cox,2944,Dan Mousley,119,27,Left,Second Slip,0,0,0,0,,Short,Null,NotOut,Edged,0,ForwardDefensive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,102,False,False,True,False,False,False,0,0,0,0,0,False,False
190724,2,3.33,3.0,0.0,0.0,5.0,1.0,3.0,4333,,6504,ICC Under-19 World Cup 2020,1,228,England U19 Men,236,,2020-02-03T10:08:33Z,1,False,,,,3871,Ashian Daniel,2944,Dan Mousley,2701,Jordan Cox,202,149,Right,Deep Mid Wicket,1,0,1,1,,LengthBall,Null,NotOut,Played,0,Drive,Null,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,85,False,True,True,False,False,False,1,0,0,0,0,False,False
190724,2,3.33,3.0,0.0,0.0,5.0,1.0,3.0,4333,,6504,ICC Under-19 World Cup 2020,1,228,England U19 Men,236,,2020-02-03T10:08:57Z,2,False,,,,3871,Ashian Daniel,2701,Jordan Cox,2944,Dan Mousley,270,40,Left,Bowler,0,0,0,0,,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,85,False,False,True,False,False,False,0,0,0,0,0,False,False
190724,2,3.33,3.0,0.0,0.0,5.0,1.0,3.0,4333,,6504,ICC Under-19 World Cup 2020,1,228,England U19 Men,236,,2020-02-03T10:09:26Z,3,False,,,,3871,Ashian Daniel,2701,Jordan Cox,2944,Dan Mousley,270,40,Left,Bowler,0,0,0,0,,LengthBall,Null,NotOut,Played,0,Drive,Null,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,85,False,False,True,False,False,False,0,0,0,0,0,False,False
190724,2,3.33,3.0,0.0,0.0,5.0,1.0,3.0,4333,,6504,ICC Under-19 World Cup 2020,1,228,England U19 Men,236,,2020-02-03T10:09:37Z,4,False,,,,3871,Ashian Daniel,2701,Jordan Cox,2944,Dan Mousley,293,159,Left,Long On,1,0,1,1,,LengthBall,Null,NotOut,HitHard,0,Drive,Null,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,85,False,False,True,False,False,False,1,0,0,0,0,False,False
190724,2,3.33,3.0,0.0,0.0,5.0,1.0,3.0,4333,,6504,ICC Under-19 World Cup 2020,1,228,England U19 Men,236,,2020-02-03T10:10:08Z,5,False,,,,3871,Ashian Daniel,2944,Dan Mousley,2701,Jordan Cox,249,159,Right,Long On,1,0,1,1,,LengthBall,Null,NotOut,Played,0,Drive,Null,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,85,False,False,True,False,False,False,1,0,0,0,0,False,False
