over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled
449346,1,6.0,6.0,0.0,1.0,6.0,0.0,6.0,13454,Match 1,11808,T20 World Cup Warm-Ups,1,25,New Zealand Men,23,Australia Men,2021-10-18T19:31:44Z,1,False,,,,724,Mitchell Starc,940,Martin Guptill,2242,Daryl Mitchell,90,48,Wicketkeeper,0,0,0,0,,LengthBall,OutsideOff,Caught,Missed,FrontFoot,ForwardDefensive,InSwinger,Over,Fast,Right,NotOut2ndUmpire,NotReferred,Null,False,False,False,False,False,True,89,False,True,True,False,True,False,0,0,0,0,0,False,False
449346,1,6.0,6.0,0.0,1.0,6.0,0.0,6.0,13454,Match 1,11808,T20 World Cup Warm-Ups,1,25,New Zealand Men,23,Australia Men,2021-10-18T19:32:21Z,2,False,,,,724,Mitchell Starc,940,Martin Guptill,2242,Daryl Mitchell,299,80,Mid On,0,0,0,0,,LengthBall,MiddleStump,NotOut,None,FrontFoot,Worked,InSwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,89,False,False,True,False,True,False,0,0,0,0,0,False,False
449346,1,6.0,6.0,0.0,1.0,6.0,0.0,6.0,13454,Match 1,11808,T20 World Cup Warm-Ups,1,25,New Zealand Men,23,Australia Men,2021-10-18T19:32:56Z,3,False,,,,724,Mitchell Starc,940,Martin Guptill,2242,Daryl Mitchell,90,48,Wicketkeeper,1,1,1,0,,BackOfALength,OutsideOff,NotOut,Missed,NoMovement,Cut,NoMovement,Over,Fast,Right,Null,NotReferred,Null,True,False,False,False,False,False,89,False,False,True,False,True,False,0,0,1,0,0,False,False
449346,1,6.0,6.0,0.0,1.0,6.0,0.0,6.0,13454,Match 1,11808,T20 World Cup Warm-Ups,1,25,New Zealand Men,23,Australia Men,2021-10-18T19:33:33Z,3,False,,,,724,Mitchell Starc,940,Martin Guptill,2242,Daryl Mitchell,90,48,Wicketkeeper,0,0,0,0,,HalfVolley,OutsideOff,Caught,Missed,FrontFoot,Drive,NoMovement,Over,Fast,Right,NotOut2ndUmpire,NotReferred,Null,False,False,False,False,False,True,89,False,False,True,False,True,False,0,0,0,0,0,False,False
449346,1,6.0,6.0,0.0,1.0,6.0,0.0,6.0,13454,Match 1,11808,T20 World Cup Warm-Ups,1,25,New Zealand Men,23,Australia Men,2021-10-18T19:34:23Z,4,False,,,,724,Mitchell Starc,940,Martin Guptill,2242,Daryl Mitchell,19,99,Backward Square Leg,1,0,1,1,,HalfVolley,LegStump,NotOut,InsideEdge,BackFoot,Flick,InSwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,89,False,False,True,False,True,False,1,0,0,0,0,False,False
449346,1,6.0,6.0,0.0,1.0,6.0,0.0,6.0,13454,Match 1,11808,T20 World Cup Warm-Ups,1,25,New Zealand Men,23,Australia Men,2021-10-18T19:35:13Z,5,False,,,,724,Mitchell Starc,2242,Daryl Mitchell,940,Martin Guptill,263,207,Long Off,4,0,4,4,,LengthBall,OffStump,NotOut,WellTimed,FrontFoot,Drive,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,89,False,False,True,False,True,False,4,0,0,0,0,False,False
449346,1,6.0,6.0,0.0,1.0,6.0,0.0,6.0,13454,Match 1,11808,T20 World Cup Warm-Ups,1,25,New Zealand Men,23,Australia Men,2021-10-18T19:36:01Z,6,False,,,,724,Mitchell Starc,2242,Daryl Mitchell,940,Martin Guptill,270,40,Bowler,0,0,0,0,,LengthBall,OffStump,NotOut,None,FrontFoot,Pushed,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,89,False,False,True,False,True,False,0,0,0,0,0,False,False
449349,2,4.5,3.0,0.0,0.0,9.0,0.0,3.0,13454,Match 1,11808,T20 World Cup Warm-Ups,1,25,New Zealand Men,23,Australia Men,2021-10-18T19:37:00Z,1,False,,,,1015,Kane Richardson,940,Martin Guptill,2242,Daryl Mitchell,212,51,Short Extra Cover,0,0,0,0,,LengthBall,OutsideOff,NotOut,None,FrontFoot,Pushed,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,32,False,False,True,False,True,False,0,0,0,0,0,False,False
449349,2,4.5,3.0,0.0,0.0,9.0,0.0,3.0,13454,Match 1,11808,T20 World Cup Warm-Ups,1,25,New Zealand Men,23,Australia Men,2021-10-18T19:37:22Z,2,False,,,,1015,Kane Richardson,940,Martin Guptill,2242,Daryl Mitchell,327,58,Short Mid Wicket,0,0,0,0,,LengthBall,OutsideOff,NotOut,InsideEdge,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,32,False,False,True,False,True,False,0,0,0,0,0,False,False
449349,2,4.5,3.0,0.0,0.0,9.0,0.0,3.0,13454,Match 1,11808,T20 World Cup Warm-Ups,1,25,New Zealand Men,23,Australia Men,2021-10-18T19:38:00Z,3,False,,,,1015,Kane Richardson,940,Martin Guptill,2242,Daryl Mitchell,157,77,Backward Point,1,0,1,1,,LengthBall,OutsideOff,NotOut,None,FrontFoot,Dropped,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,32,False,False,True,False,True,False,1,0,0,0,0,False,False
