over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ball_id,ballDateTime,ballNumber,totalBallNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,appealDismissalTypeId,decisionOfficialId
1635527,2,16.5,29,0,0,33,0,29,76224,,40931,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,320,ACT Comets,8738159,2026-08-29T03:35:43Z,1,7,False,17207,Esam Rahman,21963,,17219,Jerrssis Wadia,192.0,172.0,Left,,6,0,6,6,HalfVolley,DownLeg,Middled,FrontFoot,Flick,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,True,True,False,False,True,False,False,False,6,0,0,0,0,True,False,,,,,,
1635527,2,16.5,29,0,0,33,0,29,76224,,40931,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,320,ACT Comets,8738161,2026-08-29T03:36:56Z,2,8,False,17207,Esam Rahman,21963,,17219,Jerrssis Wadia,197.0,173.0,Left,,6,0,6,6,HalfVolley,LegStump,Middled,FrontFoot,Flick,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,True,True,False,False,True,False,False,False,6,0,0,0,0,True,False,,,,,,
1635527,2,16.5,29,0,0,33,0,29,76224,,40931,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,320,ACT Comets,8738163,2026-08-29T03:38:00Z,3,9,False,17207,Esam Rahman,21963,,17219,Jerrssis Wadia,205.0,40.0,Left,Square Leg,0,0,0,0,Yorker,MiddleStump,None,MovesInfront,BackwardDefensive,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,,
1635527,2,16.5,29,0,0,33,0,29,76224,,40931,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,320,ACT Comets,8738165,2026-08-29T03:38:33Z,4,10,False,17207,Esam Rahman,21963,,17219,Jerrssis Wadia,186.0,171.0,Left,,6,0,6,6,HalfVolley,LegStump,Middled,MovesInfront,Flick,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,True,True,False,False,True,False,False,False,6,0,0,0,0,True,False,,,,,,
1635527,2,16.5,29,0,0,33,0,29,76224,,40931,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,320,ACT Comets,8738167,2026-08-29T03:39:08Z,5,11,False,17207,Esam Rahman,21963,,17219,Jerrssis Wadia,,,Left,,2,0,2,2,,,,0,,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,2,0,0,0,0,False,False,,,,,,
1635527,2,16.5,29,0,0,33,0,29,76224,,40931,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,320,ACT Comets,8738169,2026-08-29T03:39:43Z,6,12,False,17207,Esam Rahman,21963,,17219,Jerrssis Wadia,0.0,0.0,Left,Wicketkeeper,1,1,1,0,FullToss,DownLeg,PlayAndMissLegSide,MovesInfront,Flick,SlowerBall,Over,Medium,Right,Null,NotReferred,Null,True,False,False,False,False,True,False,False,True,False,False,False,1,0,1,0,0,False,False,,,,,,
1635527,2,16.5,29,0,0,33,0,29,76224,,40931,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,320,ACT Comets,8738171,2026-08-29T03:40:16Z,6,13,False,17207,Esam Rahman,21963,,17219,Jerrssis Wadia,336.0,137.0,Left,Deep Cover,2,1,2,1,FullToss,Wide,None,BackFoot,Drive,NoMovement,Over,Medium,Right,Null,NotReferred,2,False,True,False,False,True,True,False,False,True,False,False,False,2,0,0,0,1,False,False,,,,,,
1635527,2,16.5,29,0,0,33,0,29,76224,,40931,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,320,ACT Comets,8738173,2026-08-29T03:41:05Z,6,14,False,17207,Esam Rahman,17219,Jerrssis Wadia,21963,,178.0,170.0,Left,,6,0,6,6,FullToss,DownLeg,Middled,DeepInCrease,Flick,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,True,True,True,False,True,False,False,False,6,0,0,0,0,True,False,,,,,,
1635529,3,12.67,5,0,0,38,0,5,76224,,40931,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,320,ACT Comets,8738174,2026-08-29T03:42:04Z,1,15,False,21951,,21963,,17219,Jerrssis Wadia,351.0,49.0,Left,Cover,0,0,0,0,HalfVolley,OutsideOff,None,FrontFoot,Drive,NoMovement,Round,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,,
1635529,3,12.67,5,0,0,38,0,5,76224,,40931,Study NT Top End T20 Series,1,1489,Adelaide Strikers Academy,320,ACT Comets,8738175,2026-08-29T03:42:41Z,2,16,False,21951,,21963,,17219,Jerrssis Wadia,4.0,140.0,Left,Deep Backward Point,1,0,1,1,Short,Wide,WellTimed,BackFoot,Cut,NoMovement,Round,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,,,,,,
