over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled
714323,1,6.0,6.0,0.0,0.0,6.0,0.0,6.0,28550,,15564,ICC Women's U19 T20 World Cup 2023,1,1233,India U19 Women,1253,Australia U19 Women,2023-01-21T17:15:41Z,1,False,,,,10032,Lucy Hamilton,11278,Shweta Sehrawat,3533,Shafali Verma,156,72,Backward Point,0,0,0,0,,Yorker,LegStump,NotOut,None,FrontFoot,ForwardDefensive,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,85,False,True,True,False,False,False,0,0,0,0,0,False,False
714323,1,6.0,6.0,0.0,0.0,6.0,0.0,6.0,28550,,15564,ICC Women's U19 T20 World Cup 2023,1,1233,India U19 Women,1253,Australia U19 Women,2023-01-21T17:16:04Z,2,False,,,,10032,Lucy Hamilton,11278,Shweta Sehrawat,3533,Shafali Verma,159,125,Deep Backward Point,2,0,2,2,,LengthBall,LegStump,NotOut,None,BackFoot,Cut,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,85,False,False,True,False,False,False,2,0,0,0,0,False,False
714323,1,6.0,6.0,0.0,0.0,6.0,0.0,6.0,28550,,15564,ICC Women's U19 T20 World Cup 2023,1,1233,India U19 Women,1253,Australia U19 Women,2023-01-21T17:16:38Z,3,False,,,,10032,Lucy Hamilton,11278,Shweta Sehrawat,3533,Shafali Verma,90,48,Wicketkeeper,0,0,0,0,,LengthBall,OutsideOff,NotOut,Missed,FrontFoot,Drive,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,85,False,False,True,False,False,False,0,0,0,0,0,False,False
714323,1,6.0,6.0,0.0,0.0,6.0,0.0,6.0,28550,,15564,ICC Women's U19 T20 World Cup 2023,1,1233,India U19 Women,1253,Australia U19 Women,2023-01-21T17:17:08Z,4,False,,,,10032,Lucy Hamilton,11278,Shweta Sehrawat,3533,Shafali Verma,90,48,Wicketkeeper,0,0,0,0,,LengthBall,DownLeg,NotOut,Missed,BackFoot,Steer,AwaySwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,85,False,False,True,False,False,False,0,0,0,0,0,False,False
714323,1,6.0,6.0,0.0,0.0,6.0,0.0,6.0,28550,,15564,ICC Women's U19 T20 World Cup 2023,1,1233,India U19 Women,1253,Australia U19 Women,2023-01-21T17:17:40Z,5,False,,,,10032,Lucy Hamilton,11278,Shweta Sehrawat,3533,Shafali Verma,206,204,Deep Cover,4,0,4,4,,Yorker,LegStump,NotOut,WellTimed,FrontFoot,Drive,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,85,False,False,True,False,False,False,4,0,0,0,0,False,True
714323,1,6.0,6.0,0.0,0.0,6.0,0.0,6.0,28550,,15564,ICC Women's U19 T20 World Cup 2023,1,1233,India U19 Women,1253,Australia U19 Women,2023-01-21T17:18:19Z,6,False,,,,10032,Lucy Hamilton,11278,Shweta Sehrawat,3533,Shafali Verma,90,48,Wicketkeeper,0,0,0,0,,LengthBall,OffStump,NotOut,Missed,BackFoot,Cut,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,85,False,False,True,False,False,False,0,0,0,0,0,False,False
714327,2,7.0,8.0,1.0,0.0,14.0,1.0,8.0,28550,,15564,ICC Women's U19 T20 World Cup 2023,1,1233,India U19 Women,1253,Australia U19 Women,2023-01-21T17:19:41Z,1,False,,,,11259,Milly Illingworth,3533,Shafali Verma,11278,Shweta Sehrawat,117,184,Third Man,4,0,4,4,,LengthBall,OutsideOff,NotOut,WellTimed,BackFoot,Steer,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,1104,False,False,True,False,False,False,4,0,0,0,0,False,True
714327,2,7.0,8.0,1.0,0.0,14.0,1.0,8.0,28550,,15564,ICC Women's U19 T20 World Cup 2023,1,1233,India U19 Women,1253,Australia U19 Women,2023-01-21T17:20:16Z,2,False,,,,11259,Milly Illingworth,3533,Shafali Verma,11278,Shweta Sehrawat,90,48,Wicketkeeper,0,0,0,0,,LengthBall,OutsideOff,NotOut,Missed,BackFoot,Cut,AwaySwinger,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,1104,False,False,True,False,False,False,0,0,0,0,0,False,False
714327,2,7.0,8.0,1.0,0.0,14.0,1.0,8.0,28550,,15564,ICC Women's U19 T20 World Cup 2023,1,1233,India U19 Women,1253,Australia U19 Women,2023-01-21T17:20:42Z,3,False,,,,11259,Milly Illingworth,3533,Shafali Verma,11278,Shweta Sehrawat,344,88,Mid Wicket,0,0,0,0,,FullToss,MiddleStump,NotOut,None,FrontFoot,Flick,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,1104,False,False,True,False,False,False,0,0,0,0,0,False,False
714327,2,7.0,8.0,1.0,0.0,14.0,1.0,8.0,28550,,15564,ICC Women's U19 T20 World Cup 2023,1,1233,India U19 Women,1253,Australia U19 Women,2023-01-21T17:21:09Z,4,False,,,,11259,Milly Illingworth,3533,Shafali Verma,11278,Shweta Sehrawat,176,186,Deep Point,4,0,4,4,,HalfVolley,OutsideOff,NotOut,WellTimed,FrontFoot,Drive,AwaySwinger,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,True,False,1104,False,False,True,False,False,False,4,0,0,0,0,False,True
