over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,catchDifficulty,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
1298347,1,18.0,16.0,0.0,0.0,18.0,0.0,16.0,74276,,40298,National Indigenous Cricket Championship 2026 - Women,1,1378,Western Australia Indigenous Women,1430,NSW Indigenous Women,2026-04-18T13:44:45Z,1,False,21395,Cadence Waters,1122,Mikayla Hinkley,16421,Regina Deleeuw,344,92,Mid Wicket,0,0,0,0,LengthBall,Null,NotOut,Played,0,Worked,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,1768,False,True,True,False,False,False,0,0,0,0,0,False,False,,,,,
1298347,1,18.0,16.0,0.0,0.0,18.0,0.0,16.0,74276,,40298,National Indigenous Cricket Championship 2026 - Women,1,1378,Western Australia Indigenous Women,1430,NSW Indigenous Women,2026-04-18T13:45:30Z,2,False,21395,Cadence Waters,1122,Mikayla Hinkley,16421,Regina Deleeuw,210,187,Deep Extra Cover,4,0,4,4,HalfVolley,Null,NotOut,WellTimed,0,Drive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,1768,False,False,True,False,False,False,4,0,0,0,0,False,True,,,,,
1298347,1,18.0,16.0,0.0,0.0,18.0,0.0,16.0,74276,,40298,National Indigenous Cricket Championship 2026 - Women,1,1378,Western Australia Indigenous Women,1430,NSW Indigenous Women,2026-04-18T13:46:10Z,3,False,21395,Cadence Waters,1122,Mikayla Hinkley,16421,Regina Deleeuw,204,75,Cover,0,0,0,0,LengthBall,Null,NotOut,Played,0,Drive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,1768,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
1298347,1,18.0,16.0,0.0,0.0,18.0,0.0,16.0,74276,,40298,National Indigenous Cricket Championship 2026 - Women,1,1378,Western Australia Indigenous Women,1430,NSW Indigenous Women,2026-04-18T13:46:43Z,4,False,21395,Cadence Waters,1122,Mikayla Hinkley,16421,Regina Deleeuw,179,178,Deep Point,4,0,4,4,BackOfALength,Null,NotOut,WellTimed,0,Cut,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,1768,False,False,True,False,False,False,4,0,0,0,0,False,True,,,,,
1298347,1,18.0,16.0,0.0,0.0,18.0,0.0,16.0,74276,,40298,National Indigenous Cricket Championship 2026 - Women,1,1378,Western Australia Indigenous Women,1430,NSW Indigenous Women,2026-04-18T13:47:19Z,5,False,21395,Cadence Waters,1122,Mikayla Hinkley,16421,Regina Deleeuw,252,197,Long Off,4,0,4,4,FullToss,Null,NotOut,WellTimed,0,Drive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,1768,False,False,True,False,False,False,4,0,0,0,0,False,True,,,,,
1298347,1,18.0,16.0,0.0,0.0,18.0,0.0,16.0,74276,,40298,National Indigenous Cricket Championship 2026 - Women,1,1378,Western Australia Indigenous Women,1430,NSW Indigenous Women,2026-04-18T13:47:58Z,6,False,21395,Cadence Waters,1122,Mikayla Hinkley,16421,Regina Deleeuw,131,201,Third Man,4,0,4,4,LengthBall,Null,NotOut,WellTimed,0,Cut,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,1768,False,False,True,False,False,False,4,0,0,0,0,False,True,,,,,
1298348,2,14.5,13.0,0.0,3.0,29.0,0.0,13.0,74276,,40298,National Indigenous Cricket Championship 2026 - Women,1,1378,Western Australia Indigenous Women,1430,NSW Indigenous Women,2026-04-18T13:49:20Z,1,False,10676,Callee Black,16421,Regina Deleeuw,1122,Mikayla Hinkley,48,54,Leg Gully,2,2,2,0,LengthBall,Null,NotOut,MissedLegSide,0,Flick,Null,Over,Fast,Left,Null,NotReferred,Null,True,False,False,False,False,False,1769,False,False,True,False,False,False,2,0,2,0,0,False,False,,,,,
1298348,2,14.5,13.0,0.0,3.0,29.0,0.0,13.0,74276,,40298,National Indigenous Cricket Championship 2026 - Women,1,1378,Western Australia Indigenous Women,1430,NSW Indigenous Women,2026-04-18T13:50:11Z,1,False,10676,Callee Black,1122,Mikayla Hinkley,16421,Regina Deleeuw,90,48,Wicketkeeper,0,0,0,0,LengthBall,Null,NotOut,Missed,0,Cut,Null,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,1769,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
1298348,2,14.5,13.0,0.0,3.0,29.0,0.0,13.0,74276,,40298,National Indigenous Cricket Championship 2026 - Women,1,1378,Western Australia Indigenous Women,1430,NSW Indigenous Women,2026-04-18T13:50:37Z,2,False,10676,Callee Black,1122,Mikayla Hinkley,16421,Regina Deleeuw,56,193,Fine Leg,4,0,4,4,LengthBall,Null,NotOut,WellTimed,0,Flick,Null,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,1769,False,False,True,False,False,False,4,0,0,0,0,False,False,,,,,
1298348,2,14.5,13.0,0.0,3.0,29.0,0.0,13.0,74276,,40298,National Indigenous Cricket Championship 2026 - Women,1,1378,Western Australia Indigenous Women,1430,NSW Indigenous Women,2026-04-18T13:51:14Z,3,False,10676,Callee Black,1122,Mikayla Hinkley,16421,Regina Deleeuw,90,48,Wicketkeeper,0,0,0,0,Short,Null,NotOut,Missed,0,Cut,Null,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,1769,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
