over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
412664,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,12226,,10780,Ireland v South Africa ODIs - Men's,1,5,Ireland Men,21,South Africa Men,2021-07-11T16:01:49Z,1,False,675,Kagiso Rabada,253,William Porterfield,251,Paul Stirling,90,48,Wicketkeeper,0,0,0,0,BackOfALength,OutsideOff,NotOut,Left,NoMovement,ShouldersArms,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,33,False,True,True,False,False,False,0,0,0,0,0,False,False,,,,
412664,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,12226,,10780,Ireland v South Africa ODIs - Men's,1,5,Ireland Men,21,South Africa Men,2021-07-11T16:02:20Z,2,False,675,Kagiso Rabada,253,William Porterfield,251,Paul Stirling,90,48,Wicketkeeper,0,0,0,0,LengthBall,OutsideOff,NotOut,Left,NoMovement,ShouldersArms,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,33,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
412664,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,12226,,10780,Ireland v South Africa ODIs - Men's,1,5,Ireland Men,21,South Africa Men,2021-07-11T16:02:49Z,3,False,675,Kagiso Rabada,253,William Porterfield,251,Paul Stirling,90,48,Wicketkeeper,1,1,1,0,LengthBall,Wide,NotOut,Left,NoMovement,ShouldersArms,NoMovement,Over,Fast,Left,Null,NotReferred,Null,True,False,False,False,False,False,33,False,False,True,False,False,False,0,0,1,0,0,False,False,,,,
412664,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,12226,,10780,Ireland v South Africa ODIs - Men's,1,5,Ireland Men,21,South Africa Men,2021-07-11T16:03:19Z,3,False,675,Kagiso Rabada,253,William Porterfield,251,Paul Stirling,90,48,Wicketkeeper,0,0,0,0,LengthBall,OutsideOff,NotOut,Left,NoMovement,ShouldersArms,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,33,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
412664,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,12226,,10780,Ireland v South Africa ODIs - Men's,1,5,Ireland Men,21,South Africa Men,2021-07-11T16:03:49Z,4,False,675,Kagiso Rabada,253,William Porterfield,251,Paul Stirling,90,48,Wicketkeeper,0,0,0,0,LengthBall,OffStump,NotOut,Left,NoMovement,ShouldersArms,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,33,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
412664,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,12226,,10780,Ireland v South Africa ODIs - Men's,1,5,Ireland Men,21,South Africa Men,2021-07-11T16:04:27Z,5,False,675,Kagiso Rabada,253,William Porterfield,251,Paul Stirling,90,48,Wicketkeeper,0,0,0,0,LengthBall,OffStump,NotOut,Left,NoMovement,ShouldersArms,AwaySwinger,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,33,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
412664,1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,12226,,10780,Ireland v South Africa ODIs - Men's,1,5,Ireland Men,21,South Africa Men,2021-07-11T16:05:21Z,6,False,675,Kagiso Rabada,253,William Porterfield,251,Paul Stirling,90,48,Wicketkeeper,0,0,0,0,BackOfALength,MiddleStump,NotOut,Left,NoMovement,Leave,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,33,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
412674,2,3.0,5.0,0.0,0.0,6.0,0.0,5.0,12226,,10780,Ireland v South Africa ODIs - Men's,1,5,Ireland Men,21,South Africa Men,2021-07-11T16:06:32Z,1,False,677,Lungi Ngidi,251,Paul Stirling,253,William Porterfield,90,48,Wicketkeeper,0,0,0,0,LengthBall,OutsideOff,NotOut,Left,NoMovement,ShouldersArms,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,34,False,True,True,False,False,False,0,0,0,0,0,False,False,,,,
412674,2,3.0,5.0,0.0,0.0,6.0,0.0,5.0,12226,,10780,Ireland v South Africa ODIs - Men's,1,5,Ireland Men,21,South Africa Men,2021-07-11T16:07:06Z,2,False,677,Lungi Ngidi,251,Paul Stirling,253,William Porterfield,146,124,Third Man,1,0,1,1,BackOfALength,OutsideOff,NotOut,None,BackFoot,BackwardDefensive,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,34,False,False,True,False,False,False,1,0,0,0,0,False,False,,,,
412674,2,3.0,5.0,0.0,0.0,6.0,0.0,5.0,12226,,10780,Ireland v South Africa ODIs - Men's,1,5,Ireland Men,21,South Africa Men,2021-07-11T16:08:00Z,3,False,677,Lungi Ngidi,253,William Porterfield,251,Paul Stirling,161,138,Deep Backward Square Leg,2,0,2,2,BackOfALength,DownLeg,NotOut,None,BackFoot,Glance,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,34,False,False,True,False,False,False,2,0,0,0,0,False,False,,,,
