over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled
632154,1,10.0,9.0,0.0,1.0,10.0,0.0,9.0,26837,,13350,Scotland v New Zealand ODI - Men,1,210,Scotland Men,25,New Zealand Men,2022-07-31T15:45:24Z,1,False,,,,3705,Jacob Duffy,949,Kyle Coetzer,2729,Michael Jones,90,48,Wicketkeeper,1,1,1,0,,HalfTracker,OutsideOff,NotOut,Left,Ducked,Leave,NoMovement,Over,Fast,Left,Null,NotReferred,Null,True,False,False,False,False,False,289,False,True,True,False,False,False,0,0,1,0,0,False,False
632154,1,10.0,9.0,0.0,1.0,10.0,0.0,9.0,26837,,13350,Scotland v New Zealand ODI - Men,1,210,Scotland Men,25,New Zealand Men,2022-07-31T15:45:51Z,1,False,,,,3705,Jacob Duffy,949,Kyle Coetzer,2729,Michael Jones,18,150,Deep Backward Square Leg,1,0,1,1,,Short,OutsideOff,NotOut,None,BackFoot,Pull,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,289,False,False,True,False,False,False,1,0,0,0,0,False,False
632154,1,10.0,9.0,0.0,1.0,10.0,0.0,9.0,26837,,13350,Scotland v New Zealand ODI - Men,1,210,Scotland Men,25,New Zealand Men,2022-07-31T15:46:47Z,2,False,,,,3705,Jacob Duffy,2729,Michael Jones,949,Kyle Coetzer,324,19,Short Leg,0,0,0,0,,BackOfALength,OutsideOff,NotOut,None,BackFoot,BackwardDefensive,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,289,False,False,True,False,False,False,0,0,0,0,0,False,False
632154,1,10.0,9.0,0.0,1.0,10.0,0.0,9.0,26837,,13350,Scotland v New Zealand ODI - Men,1,210,Scotland Men,25,New Zealand Men,2022-07-31T15:47:17Z,3,False,,,,3705,Jacob Duffy,2729,Michael Jones,949,Kyle Coetzer,191,59,Point,0,0,0,0,,BackOfALength,OutsideOff,NotOut,None,BackFoot,Dropped,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,289,False,False,True,False,False,False,0,0,0,0,0,False,False
632154,1,10.0,9.0,0.0,1.0,10.0,0.0,9.0,26837,,13350,Scotland v New Zealand ODI - Men,1,210,Scotland Men,25,New Zealand Men,2022-07-31T15:47:46Z,4,False,,,,3705,Jacob Duffy,2729,Michael Jones,949,Kyle Coetzer,200,213,Deep Cover,4,0,4,4,,BackOfALength,OutsideOff,NotOut,WellTimed,BackFoot,Drive,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,289,False,False,True,False,False,False,4,0,0,0,0,False,False
632154,1,10.0,9.0,0.0,1.0,10.0,0.0,9.0,26837,,13350,Scotland v New Zealand ODI - Men,1,210,Scotland Men,25,New Zealand Men,2022-07-31T15:48:24Z,5,False,,,,3705,Jacob Duffy,2729,Michael Jones,949,Kyle Coetzer,130,139,Third Man,1,0,1,1,,BackOfALength,OutsideOff,NotOut,None,BackFoot,Steer,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,289,False,False,True,False,False,False,1,0,0,0,0,False,False
632154,1,10.0,9.0,0.0,1.0,10.0,0.0,9.0,26837,,13350,Scotland v New Zealand ODI - Men,1,210,Scotland Men,25,New Zealand Men,2022-07-31T15:48:57Z,6,False,,,,3705,Jacob Duffy,949,Kyle Coetzer,2729,Michael Jones,14,150,Deep Backward Square Leg,2,0,2,2,,BackOfALength,OutsideOff,NotOut,None,BackFoot,Pushed,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,289,False,False,True,False,False,False,2,0,0,0,0,False,False
632157,2,5.5,2.0,0.0,2.0,11.0,0.0,2.0,26837,,13350,Scotland v New Zealand ODI - Men,1,210,Scotland Men,25,New Zealand Men,2022-07-31T15:50:21Z,1,False,,,,65,Lockie Ferguson,2729,Michael Jones,949,Kyle Coetzer,90,48,Wicketkeeper,1,1,1,0,,LengthBall,OffStump,NotOut,PlayAndMissLegSide,FrontFoot,Glance,NoMovement,Over,Fast,Left,Null,NotReferred,Null,True,False,False,False,False,False,294,False,True,True,False,False,False,0,0,1,0,0,False,False
632157,2,5.5,2.0,0.0,2.0,11.0,0.0,2.0,26837,,13350,Scotland v New Zealand ODI - Men,1,210,Scotland Men,25,New Zealand Men,2022-07-31T15:50:53Z,1,False,,,,65,Lockie Ferguson,2729,Michael Jones,949,Kyle Coetzer,270,40,Bowler,0,0,0,0,,LengthBall,OutsideOff,NotOut,None,FrontFoot,ForwardDefensive,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,294,False,False,True,False,False,False,0,0,0,0,0,False,False
632157,2,5.5,2.0,0.0,2.0,11.0,0.0,2.0,26837,,13350,Scotland v New Zealand ODI - Men,1,210,Scotland Men,25,New Zealand Men,2022-07-31T15:51:25Z,2,False,,,,65,Lockie Ferguson,2729,Michael Jones,949,Kyle Coetzer,90,48,Wicketkeeper,0,0,0,0,,LengthBall,OutsideOff,NotOut,Left,NoMovement,ShouldersArms,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,294,False,False,True,False,False,False,0,0,0,0,0,False,False
