over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
368869,1,4.0,4.0,0.0,0.0,4.0,0.0,4.0,11383,,10380,New Zealand v Australia ODIs - Women's,1,68,Australia Women,62,New Zealand Women,2021-04-10T18:00:53Z,1,False,2451,Jess Kerr,655,Alyssa Healy,420,Beth Mooney,167,70,Left,Backward Point,0,0,0,0,BackOfALength,Null,NotOut,Played,0,Steer,Null,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,205,False,True,True,False,False,False,0,0,0,0,0,False,False,,,,
368869,1,4.0,4.0,0.0,0.0,4.0,0.0,4.0,11383,,10380,New Zealand v Australia ODIs - Women's,1,68,Australia Women,62,New Zealand Women,2021-04-10T18:01:23Z,2,False,2451,Jess Kerr,655,Alyssa Healy,420,Beth Mooney,229,39,Left,Short Extra Cover,0,0,0,0,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,205,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
368869,1,4.0,4.0,0.0,0.0,4.0,0.0,4.0,11383,,10380,New Zealand v Australia ODIs - Women's,1,68,Australia Women,62,New Zealand Women,2021-04-10T18:01:53Z,3,False,2451,Jess Kerr,655,Alyssa Healy,420,Beth Mooney,270,40,Left,Bowler,0,0,0,0,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,205,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
368869,1,4.0,4.0,0.0,0.0,4.0,0.0,4.0,11383,,10380,New Zealand v Australia ODIs - Women's,1,68,Australia Women,62,New Zealand Women,2021-04-10T18:02:25Z,4,False,2451,Jess Kerr,655,Alyssa Healy,420,Beth Mooney,349,152,Left,Deep Mid Wicket,2,0,2,2,BackOfALength,Null,NotOut,HitHard,0,Pull,Null,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,205,False,False,True,False,False,False,2,0,0,0,0,False,False,,,,
368869,1,4.0,4.0,0.0,0.0,4.0,0.0,4.0,11383,,10380,New Zealand v Australia ODIs - Women's,1,68,Australia Women,62,New Zealand Women,2021-04-10T18:03:01Z,5,False,2451,Jess Kerr,655,Alyssa Healy,420,Beth Mooney,192,24,Left,Silly Point,1,0,1,1,LengthBall,Null,NotOut,Played,0,Dropped,Null,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,205,False,False,True,False,False,False,1,0,0,0,0,False,False,,,,
368869,1,4.0,4.0,0.0,0.0,4.0,0.0,4.0,11383,,10380,New Zealand v Australia ODIs - Women's,1,68,Australia Women,62,New Zealand Women,2021-04-10T18:04:04Z,6,False,2451,Jess Kerr,420,Beth Mooney,655,Alyssa Healy,289,38,Right,Silly Mid Off,1,0,1,1,LengthBall,Null,NotOut,Played,0,Dropped,Null,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,205,False,False,True,False,False,False,1,0,0,0,0,False,False,,,,
368870,2,8.0,12.0,0.0,1.0,16.0,0.0,12.0,11383,,10380,New Zealand v Australia ODIs - Women's,1,68,Australia Women,62,New Zealand Women,2021-04-10T18:05:24Z,1,False,2294,Rosemary Mair,420,Beth Mooney,655,Alyssa Healy,232,41,Right,Silly Mid On,1,0,1,1,LengthBall,Null,NotOut,Played,0,Worked,Null,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,469,False,True,True,False,False,False,1,0,0,0,0,False,False,,,,
368870,2,8.0,12.0,0.0,1.0,16.0,0.0,12.0,11383,,10380,New Zealand v Australia ODIs - Women's,1,68,Australia Women,62,New Zealand Women,2021-04-10T18:06:15Z,2,False,2294,Rosemary Mair,655,Alyssa Healy,420,Beth Mooney,312,50,Left,Short Mid Wicket,0,0,0,0,BackOfALength,Null,NotOut,Played,0,Worked,Null,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,469,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
368870,2,8.0,12.0,0.0,1.0,16.0,0.0,12.0,11383,,10380,New Zealand v Australia ODIs - Women's,1,68,Australia Women,62,New Zealand Women,2021-04-10T18:06:41Z,3,False,2294,Rosemary Mair,655,Alyssa Healy,420,Beth Mooney,144,110,Left,Third Man,1,0,1,1,BackOfALength,Null,NotOut,Played,0,LateCut,Null,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,469,False,False,True,False,False,False,1,0,0,0,0,False,False,,,,
368870,2,8.0,12.0,0.0,1.0,16.0,0.0,12.0,11383,,10380,New Zealand v Australia ODIs - Women's,1,68,Australia Women,62,New Zealand Women,2021-04-10T18:07:15Z,4,False,2294,Rosemary Mair,420,Beth Mooney,655,Alyssa Healy,90,48,Right,Wicketkeeper,1,1,1,0,LengthBall,Null,NotOut,MissedLegSide,0,Worked,Null,Over,Medium,Left,Null,NotReferred,Null,True,False,False,False,False,False,469,False,False,True,False,False,False,0,0,1,0,0,False,False,,,,
