over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
85915,1,10.0,5.0,0.0,0.0,5.0,0.0,5.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T10:30:12Z,1,False,675.0,Kagiso Rabada,567.0,Imam Ul Haq,566.0,Fakhar Zaman,173.0,98.0,Right,Backward Square Leg,1.0,0,1,1.0,BackOfALength,DownLeg,,None,BackFoot,Worked,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,73.0,False,True,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
85915,1,10.0,5.0,0.0,0.0,5.0,0.0,5.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T10:30:48Z,2,False,675.0,Kagiso Rabada,566.0,Fakhar Zaman,567.0,Imam Ul Haq,354.0,69.0,Right,Point,0.0,0,0,0.0,LengthBall,DownLeg,,None,FrontFoot,ForwardDefensive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,73.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
85915,1,10.0,5.0,0.0,0.0,5.0,0.0,5.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T10:31:15Z,3,False,675.0,Kagiso Rabada,566.0,Fakhar Zaman,567.0,Imam Ul Haq,330.0,186.0,Right,Deep Extra Cover,4.0,0,4,4.0,BackOfALength,OutsideOff,,WellTimed,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,73.0,False,False,True,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True,,,,
85915,1,10.0,5.0,0.0,0.0,5.0,0.0,5.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T10:32:01Z,4,False,675.0,Kagiso Rabada,566.0,Fakhar Zaman,567.0,Imam Ul Haq,278.0,69.0,Right,Silly Mid Off,0.0,0,0,0.0,LengthBall,DownLeg,,None,FrontFoot,ForwardDefensive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,73.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
85915,1,10.0,5.0,0.0,0.0,5.0,0.0,5.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T10:32:34Z,5,False,675.0,Kagiso Rabada,566.0,Fakhar Zaman,567.0,Imam Ul Haq,325.0,62.0,Right,Short Extra Cover,0.0,0,0,0.0,BackOfALength,DownLeg,,None,FrontFoot,Pushed,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,73.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
85915,1,10.0,5.0,0.0,0.0,5.0,0.0,5.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T10:33:07Z,6,False,675.0,Kagiso Rabada,566.0,Fakhar Zaman,567.0,Imam Ul Haq,270.0,40.0,Right,Bowler,0.0,0,0,0.0,LengthBall,DownLeg,,HitPad,FrontFoot,Worked,SeamIn,Over,Fast,Left,Null,Null,False,False,False,False,False,False,73.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
85916,2,5.33,4.0,0.0,0.0,9.0,0.0,4.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T10:34:25Z,1,False,677.0,Lungi Ngidi,567.0,Imam Ul Haq,566.0,Fakhar Zaman,284.0,63.0,Right,Silly Mid Off,0.0,0,0,0.0,BackOfALength,LegStump,,None,BackFoot,BackwardDefensive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,75.0,False,True,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
85916,2,5.33,4.0,0.0,0.0,9.0,0.0,4.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T10:35:03Z,2,False,677.0,Lungi Ngidi,567.0,Imam Ul Haq,566.0,Fakhar Zaman,343.0,14.0,Right,Silly Point,0.0,0,0,0.0,BackOfALength,DownLeg,,None,BackFoot,BackwardDefensive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,75.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
85916,2,5.33,4.0,0.0,0.0,9.0,0.0,4.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T10:35:41Z,3,False,677.0,Lungi Ngidi,567.0,Imam Ul Haq,566.0,Fakhar Zaman,90.0,48.0,Right,Wicketkeeper,0.0,0,0,0.0,LengthBall,OutsideOff,,Left,BackFoot,Leave,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,75.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
85916,2,5.33,4.0,0.0,0.0,9.0,0.0,4.0,1916,,172,ICC Men's ODI World Cup 2019,1,11,Pakistan Men,21,South Africa Men,2019-06-23T10:36:17Z,4,False,677.0,Lungi Ngidi,567.0,Imam Ul Haq,566.0,Fakhar Zaman,325.0,162.0,Right,Deep Extra Cover,3.0,0,3,3.0,LengthBall,OffStump,,None,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,75.0,False,False,True,False,False,False,3.0,0.0,0.0,0.0,0.0,False,False,,,,
