over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
88474,1,18.0,9.0,0.0,1.0,9.0,0.0,9.0,1965,,181,ICC Men's ODI World Cup 2019,1,1,England Men,3,India Men,2019-06-30T10:30:25Z,1,False,213.0,,599.0,Jason Roy,195.0,Jonny Bairstow,90.0,48.0,Left,Wicketkeeper,1.0,1,1,0.0,LengthBall,LegStump,PlayAndMissLegSide,BackFoot,Worked,NoMovement,Over,Fast,Left,Null,Null,True,False,False,False,False,False,28.0,False,True,True,False,False,False,0.0,0.0,1.0,0.0,0.0,False,False,,,,
88474,1,18.0,9.0,0.0,1.0,9.0,0.0,9.0,1965,,181,ICC Men's ODI World Cup 2019,1,1,England Men,3,India Men,2019-06-30T10:31:03Z,1,False,213.0,,599.0,Jason Roy,195.0,Jonny Bairstow,333.0,67.0,Left,Mid Wicket,0.0,0,0,0.0,BackOfALength,OffStump,None,BackFoot,Worked,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,28.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
88474,1,18.0,9.0,0.0,1.0,9.0,0.0,9.0,1965,,181,ICC Men's ODI World Cup 2019,1,1,England Men,3,India Men,2019-06-30T10:31:41Z,2,False,213.0,,599.0,Jason Roy,195.0,Jonny Bairstow,175.0,185.0,Left,Deep Point,4.0,0,4,4.0,BackOfALength,OutsideOff,WellTimed,BackFoot,Steer,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,28.0,False,False,True,False,False,False,4.0,0.0,0.0,0.0,0.0,False,False,,,,
88474,1,18.0,9.0,0.0,1.0,9.0,0.0,9.0,1965,,181,ICC Men's ODI World Cup 2019,1,1,England Men,3,India Men,2019-06-30T10:32:23Z,3,False,213.0,,599.0,Jason Roy,195.0,Jonny Bairstow,328.0,68.0,Left,Mid Wicket,0.0,0,0,0.0,LengthBall,OutsideOff,None,BackFoot,BackwardDefensive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,28.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
88474,1,18.0,9.0,0.0,1.0,9.0,0.0,9.0,1965,,181,ICC Men's ODI World Cup 2019,1,1,England Men,3,India Men,2019-06-30T10:33:05Z,4,False,213.0,,599.0,Jason Roy,195.0,Jonny Bairstow,90.0,48.0,Left,Wicketkeeper,0.0,0,0,0.0,BackOfALength,OutsideOff,Left,BackFoot,Leave,SeamIn,Over,Fast,Left,Null,Null,False,False,False,False,False,False,28.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
88474,1,18.0,9.0,0.0,1.0,9.0,0.0,9.0,1965,,181,ICC Men's ODI World Cup 2019,1,1,England Men,3,India Men,2019-06-30T10:33:49Z,5,False,213.0,,599.0,Jason Roy,195.0,Jonny Bairstow,219.0,199.0,Left,Deep Extra Cover,4.0,0,4,4.0,LengthBall,OutsideOff,WellTimed,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,28.0,False,False,True,False,False,False,4.0,0.0,0.0,0.0,0.0,False,False,,,,
88474,1,18.0,9.0,0.0,1.0,9.0,0.0,9.0,1965,,181,ICC Men's ODI World Cup 2019,1,1,England Men,3,India Men,2019-06-30T10:34:29Z,6,False,213.0,,599.0,Jason Roy,195.0,Jonny Bairstow,90.0,48.0,Left,Wicketkeeper,0.0,0,0,0.0,BackOfALength,OutsideOff,Missed,BackFoot,Steer,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,28.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
88475,2,6.0,1.0,0.0,0.0,10.0,0.0,1.0,1965,,181,ICC Men's ODI World Cup 2019,1,1,England Men,3,India Men,2019-06-30T10:35:47Z,1,False,214.0,,195.0,Jonny Bairstow,599.0,Jason Roy,251.0,35.0,Left,Silly Mid Off,0.0,0,0,0.0,BackOfALength,OutsideOff,None,BackFoot,BackwardDefensive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,73.0,False,True,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
88475,2,6.0,1.0,0.0,0.0,10.0,0.0,1.0,1965,,181,ICC Men's ODI World Cup 2019,1,1,England Men,3,India Men,2019-06-30T10:36:22Z,2,False,214.0,,195.0,Jonny Bairstow,599.0,Jason Roy,237.0,86.0,Left,Mid Off,0.0,0,0,0.0,LengthBall,OutsideOff,None,FrontFoot,ForwardDefensive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,73.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
88475,2,6.0,1.0,0.0,0.0,10.0,0.0,1.0,1965,,181,ICC Men's ODI World Cup 2019,1,1,England Men,3,India Men,2019-06-30T10:37:10Z,3,False,214.0,,195.0,Jonny Bairstow,599.0,Jason Roy,90.0,48.0,Left,Wicketkeeper,0.0,0,0,0.0,BackOfALength,OutsideOff,Missed,FrontFoot,ForwardDefensive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,73.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
88475,2,6.0,1.0,0.0,0.0,10.0,0.0,1.0,1965,,181,ICC Men's ODI World Cup 2019,1,1,England Men,3,India Men,2019-06-30T10:37:45Z,4,False,214.0,,195.0,Jonny Bairstow,599.0,Jason Roy,246.0,86.0,Left,Mid Off,0.0,0,0,0.0,LengthBall,OutsideOff,None,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,73.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
88475,2,6.0,1.0,0.0,0.0,10.0,0.0,1.0,1965,,181,ICC Men's ODI World Cup 2019,1,1,England Men,3,India Men,2019-06-30T10:38:22Z,5,False,214.0,,195.0,Jonny Bairstow,599.0,Jason Roy,191.0,83.0,Left,Cover,0.0,0,0,0.0,BackOfALength,OutsideOff,None,BackFoot,Steer,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,73.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
88475,2,6.0,1.0,0.0,0.0,10.0,0.0,1.0,1965,,181,ICC Men's ODI World Cup 2019,1,1,England Men,3,India Men,2019-06-30T10:38:55Z,6,False,214.0,,195.0,Jonny Bairstow,599.0,Jason Roy,117.0,142.0,Left,Third Man,1.0,0,1,1.0,LengthBall,OutsideOff,OutsideEdge,FrontFoot,Pushed,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,73.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
88476,3,5.6,4.0,0.0,0.0,14.0,0.0,4.0,1965,,181,ICC Men's ODI World Cup 2019,1,1,England Men,3,India Men,2019-06-30T10:40:26Z,1,False,213.0,,195.0,Jonny Bairstow,599.0,Jason Roy,146.0,49.0,Left,Fourth Slip,0.0,0,0,0.0,BackOfALength,OutsideOff,InsideEdge,FrontFoot,ForwardDefensive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,28.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
88476,3,5.6,4.0,0.0,0.0,14.0,0.0,4.0,1965,,181,ICC Men's ODI World Cup 2019,1,1,England Men,3,India Men,2019-06-30T10:41:01Z,2,False,213.0,,195.0,Jonny Bairstow,599.0,Jason Roy,68.0,196.0,Left,Fine Leg,4.0,0,4,4.0,LengthBall,OutsideOff,InsideEdge,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,28.0,False,False,True,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True,,,,
88476,3,5.6,4.0,0.0,0.0,14.0,0.0,4.0,1965,,181,ICC Men's ODI World Cup 2019,1,1,England Men,3,India Men,2019-06-30T10:41:43Z,3,False,213.0,,195.0,Jonny Bairstow,599.0,Jason Roy,203.0,90.0,Left,Cover,0.0,0,0,0.0,BackOfALength,OutsideOff,None,BackFoot,BackwardDefensive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,28.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
88476,3,5.6,4.0,0.0,0.0,14.0,0.0,4.0,1965,,181,ICC Men's ODI World Cup 2019,1,1,England Men,3,India Men,2019-06-30T10:42:27Z,4,False,213.0,,195.0,Jonny Bairstow,599.0,Jason Roy,90.0,48.0,Left,Wicketkeeper,0.0,0,0,0.0,LengthBall,OutsideOff,ShouldersArms,FrontFoot,ShouldersArms,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,28.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
88476,3,5.6,4.0,0.0,0.0,14.0,0.0,4.0,1965,,181,ICC Men's ODI World Cup 2019,1,1,England Men,3,India Men,2019-06-30T10:43:17Z,5,False,213.0,,195.0,Jonny Bairstow,599.0,Jason Roy,231.0,100.0,Left,Mid Off,0.0,0,0,0.0,LengthBall,OutsideOff,None,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,28.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
88476,3,5.6,4.0,0.0,0.0,14.0,0.0,4.0,1965,,181,ICC Men's ODI World Cup 2019,1,1,England Men,3,India Men,2019-06-30T10:43:59Z,6,False,213.0,,195.0,Jonny Bairstow,599.0,Jason Roy,90.0,48.0,Left,Wicketkeeper,0.0,0,0,0.0,BackOfALength,OutsideOff,Missed,FrontFoot,Pushed,SeamIn,Over,Fast,Left,Null,Null,False,False,False,False,False,False,28.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
88477,4,5.43,5.0,0.0,0.0,19.0,0.0,5.0,1965,,181,ICC Men's ODI World Cup 2019,1,1,England Men,3,India Men,2019-06-30T10:45:09Z,1,False,214.0,,599.0,Jason Roy,195.0,Jonny Bairstow,194.0,80.0,Left,Cover,1.0,0,1,1.0,BackOfALength,OutsideOff,None,FrontFoot,Steer,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,73.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
88477,4,5.43,5.0,0.0,0.0,19.0,0.0,5.0,1965,,181,ICC Men's ODI World Cup 2019,1,1,England Men,3,India Men,2019-06-30T10:45:53Z,2,False,214.0,,195.0,Jonny Bairstow,599.0,Jason Roy,174.0,85.0,Left,Point,0.0,0,0,0.0,LengthBall,OutsideOff,None,BackFoot,Steer,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,73.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
88477,4,5.43,5.0,0.0,0.0,19.0,0.0,5.0,1965,,181,ICC Men's ODI World Cup 2019,1,1,England Men,3,India Men,2019-06-30T10:46:30Z,3,False,214.0,,195.0,Jonny Bairstow,599.0,Jason Roy,246.0,32.0,Left,Silly Mid Off,0.0,0,0,0.0,LengthBall,OutsideOff,None,BackFoot,BackwardDefensive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,73.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
88477,4,5.43,5.0,0.0,0.0,19.0,0.0,5.0,1965,,181,ICC Men's ODI World Cup 2019,1,1,England Men,3,India Men,2019-06-30T10:47:01Z,4,False,214.0,,195.0,Jonny Bairstow,599.0,Jason Roy,236.0,86.0,Left,Mid Off,0.0,0,0,0.0,HalfVolley,OutsideOff,None,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,73.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
88477,4,5.43,5.0,0.0,0.0,19.0,0.0,5.0,1965,,181,ICC Men's ODI World Cup 2019,1,1,England Men,3,India Men,2019-06-30T10:48:10Z,5,False,214.0,,195.0,Jonny Bairstow,599.0,Jason Roy,4.0,176.0,Left,Deep Square Leg,4.0,0,4,4.0,LengthBall,OutsideOff,WellTimed,BackFoot,Worked,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,73.0,False,False,True,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True,,,,
