over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
874831,1,4.0,4.0,0.0,0.0,4.0,0.0,4.0,32206,,18427,South Africa v Bangladesh ODIs - Women,1,69,South Africa Women,73,Bangladesh Women,2023-12-23T17:33:43Z,1,False,10731.0,Marufa Akter,1731.0,Laura Wolvaardt,2732.0,Tazmin Brits,270.0,40.0,Bowler,0.0,0,0,0.0,LengthBall,Null,NotOut,Played,0,BackwardDefensive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,1103.0,False,True,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
874831,1,4.0,4.0,0.0,0.0,4.0,0.0,4.0,32206,,18427,South Africa v Bangladesh ODIs - Women,1,69,South Africa Women,73,Bangladesh Women,2023-12-23T17:34:12Z,2,False,10731.0,Marufa Akter,1731.0,Laura Wolvaardt,2732.0,Tazmin Brits,173.0,193.0,Deep Backward Point,4.0,0,4,4.0,LengthBall,Null,NotOut,HitHard,0,Drive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,1103.0,False,False,True,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True,,,,
874831,1,4.0,4.0,0.0,0.0,4.0,0.0,4.0,32206,,18427,South Africa v Bangladesh ODIs - Women,1,69,South Africa Women,73,Bangladesh Women,2023-12-23T17:34:53Z,3,False,10731.0,Marufa Akter,1731.0,Laura Wolvaardt,2732.0,Tazmin Brits,192.0,73.0,Cover,0.0,0,0,0.0,LengthBall,Null,NotOut,Played,0,BackwardDefensive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,1103.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
874831,1,4.0,4.0,0.0,0.0,4.0,0.0,4.0,32206,,18427,South Africa v Bangladesh ODIs - Women,1,69,South Africa Women,73,Bangladesh Women,2023-12-23T17:35:26Z,4,False,10731.0,Marufa Akter,1731.0,Laura Wolvaardt,2732.0,Tazmin Brits,198.0,94.0,Cover,0.0,0,0,0.0,BackOfALength,Null,NotOut,Played,0,Drive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,1103.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
874831,1,4.0,4.0,0.0,0.0,4.0,0.0,4.0,32206,,18427,South Africa v Bangladesh ODIs - Women,1,69,South Africa Women,73,Bangladesh Women,2023-12-23T17:35:59Z,5,False,10731.0,Marufa Akter,1731.0,Laura Wolvaardt,2732.0,Tazmin Brits,184.0,81.0,Point,0.0,0,0,0.0,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,1103.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
874831,1,4.0,4.0,0.0,0.0,4.0,0.0,4.0,32206,,18427,South Africa v Bangladesh ODIs - Women,1,69,South Africa Women,73,Bangladesh Women,2023-12-23T17:36:32Z,6,False,10731.0,Marufa Akter,1731.0,Laura Wolvaardt,2732.0,Tazmin Brits,196.0,100.0,Cover,0.0,0,0,0.0,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,1103.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
874832,2,3.5,3.0,0.0,0.0,7.0,0.0,3.0,32206,,18427,South Africa v Bangladesh ODIs - Women,1,69,South Africa Women,73,Bangladesh Women,2023-12-23T17:37:47Z,1,False,12288.0,Sultana Khatun,2732.0,Tazmin Brits,1731.0,Laura Wolvaardt,270.0,40.0,Bowler,0.0,0,0,0.0,LengthBall,Null,NotOut,Played,0,Drive,Null,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,292.0,False,True,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
874832,2,3.5,3.0,0.0,0.0,7.0,0.0,3.0,32206,,18427,South Africa v Bangladesh ODIs - Women,1,69,South Africa Women,73,Bangladesh Women,2023-12-23T17:38:07Z,2,False,12288.0,Sultana Khatun,2732.0,Tazmin Brits,1731.0,Laura Wolvaardt,158.0,94.0,Backward Point,0.0,0,0,0.0,LengthBall,Null,NotOut,Played,0,Drive,Null,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,292.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
874832,2,3.5,3.0,0.0,0.0,7.0,0.0,3.0,32206,,18427,South Africa v Bangladesh ODIs - Women,1,69,South Africa Women,73,Bangladesh Women,2023-12-23T17:38:28Z,3,False,12288.0,Sultana Khatun,2732.0,Tazmin Brits,1731.0,Laura Wolvaardt,341.0,155.0,Deep Mid Wicket,1.0,0,1,1.0,LengthBall,Null,NotOut,Played,0,Worked,Null,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,292.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
874832,2,3.5,3.0,0.0,0.0,7.0,0.0,3.0,32206,,18427,South Africa v Bangladesh ODIs - Women,1,69,South Africa Women,73,Bangladesh Women,2023-12-23T17:39:08Z,4,False,12288.0,Sultana Khatun,1731.0,Laura Wolvaardt,2732.0,Tazmin Brits,222.0,138.0,Deep Extra Cover,2.0,0,2,2.0,LengthBall,Null,NotOut,Played,0,Drive,Null,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,292.0,False,False,True,False,False,False,2.0,0.0,0.0,0.0,0.0,False,False,,,,
