over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
645096,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,26949,,12417,England One-Day Cup 2022,1,50,Lancashire,36,Derbyshire,2022-08-07T11:02:35Z,1,False,2483,Sam Conners,45,Luke Wells,192,Keaton Jennings,216,55,Short Mid Wicket,1,0,1,1,LengthBall,Null,NotOut,Played,0,Worked,Null,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,344,False,True,True,False,False,False,1,0,0,0,0,False,False,,,,
645096,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,26949,,12417,England One-Day Cup 2022,1,50,Lancashire,36,Derbyshire,2022-08-07T11:02:59Z,2,False,2483,Sam Conners,192,Keaton Jennings,45,Luke Wells,339,49,Short Extra Cover,0,0,0,0,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,344,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
645096,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,26949,,12417,England One-Day Cup 2022,1,50,Lancashire,36,Derbyshire,2022-08-07T11:03:38Z,3,False,2483,Sam Conners,192,Keaton Jennings,45,Luke Wells,65,59,Second Slip,0,0,0,0,LengthBall,Null,NotOut,Edged,0,ForwardDefensive,Null,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,344,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
645096,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,26949,,12417,England One-Day Cup 2022,1,50,Lancashire,36,Derbyshire,2022-08-07T11:04:30Z,4,False,2483,Sam Conners,192,Keaton Jennings,45,Luke Wells,19,78,Backward Point,0,0,0,0,BackOfALength,Null,NotOut,Played,0,Steer,Null,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,344,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
645096,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,26949,,12417,England One-Day Cup 2022,1,50,Lancashire,36,Derbyshire,2022-08-07T11:05:04Z,5,False,2483,Sam Conners,192,Keaton Jennings,45,Luke Wells,210,42,Short Mid Wicket,1,0,1,1,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,344,False,False,True,False,False,False,1,0,0,0,0,False,False,,,,
645096,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,26949,,12417,England One-Day Cup 2022,1,50,Lancashire,36,Derbyshire,2022-08-07T11:05:38Z,6,False,2483,Sam Conners,45,Luke Wells,192,Keaton Jennings,90,48,Wicketkeeper,0,0,0,0,LengthBall,Null,NotOut,Missed,0,ForwardDefensive,Null,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,344,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
645105,2,3.5,5.0,0.0,0.0,7.0,0.0,5.0,26949,,12417,England One-Day Cup 2022,1,50,Lancashire,36,Derbyshire,2022-08-07T11:06:51Z,1,False,7014,Ben Aitchison,192,Keaton Jennings,45,Luke Wells,90,48,Wicketkeeper,0,0,0,0,LengthBall,Null,NotOut,NoShot,0,Leave,Null,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,95,False,True,True,False,False,False,0,0,0,0,0,False,False,,,,
645105,2,3.5,5.0,0.0,0.0,7.0,0.0,5.0,26949,,12417,England One-Day Cup 2022,1,50,Lancashire,36,Derbyshire,2022-08-07T11:07:19Z,2,False,7014,Ben Aitchison,192,Keaton Jennings,45,Luke Wells,176,132,Deep Square Leg,1,0,1,1,HalfVolley,Null,NotOut,Played,0,Worked,Null,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,95,False,False,True,False,False,False,1,0,0,0,0,False,False,,,,
645105,2,3.5,5.0,0.0,0.0,7.0,0.0,5.0,26949,,12417,England One-Day Cup 2022,1,50,Lancashire,36,Derbyshire,2022-08-07T11:07:58Z,3,False,7014,Ben Aitchison,45,Luke Wells,192,Keaton Jennings,320,198,Deep Extra Cover,4,0,4,4,LengthBall,Null,NotOut,HitHard,0,Drive,Null,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,95,False,False,True,False,False,False,4,0,0,0,0,False,True,,,,
645105,2,3.5,5.0,0.0,0.0,7.0,0.0,5.0,26949,,12417,England One-Day Cup 2022,1,50,Lancashire,36,Derbyshire,2022-08-07T11:08:40Z,4,False,7014,Ben Aitchison,45,Luke Wells,192,Keaton Jennings,4,74,Point,0,0,0,0,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,95,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,
