over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,catchDifficulty,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
1034966,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,37333,,21097,One-Day Cup 2024-25,1,1214,South Australia Men,82,Victoria Men,2025-03-01T14:09:20Z,1,False,802,Scott Boland,1698,Mackenzie Harvey,1039,Harry Nielsen,129,142,Fine Leg,2,0,2,2,LengthBall,Null,NotOut,Played,0,Worked,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,220,False,True,True,False,False,False,2,0,0,0,0,False,False,0.0,,,,
1034966,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,37333,,21097,One-Day Cup 2024-25,1,1214,South Australia Men,82,Victoria Men,2025-03-01T14:09:58Z,2,False,802,Scott Boland,1698,Mackenzie Harvey,1039,Harry Nielsen,319,47,Short Extra Cover,0,0,0,0,BackOfALength,Null,NotOut,HitPad,0,Pushed,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,220,False,False,True,False,False,False,0,0,0,0,0,False,False,0.0,,,,
1034966,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,37333,,21097,One-Day Cup 2024-25,1,1214,South Australia Men,82,Victoria Men,2025-03-01T14:10:35Z,3,False,802,Scott Boland,1698,Mackenzie Harvey,1039,Harry Nielsen,90,48,Wicketkeeper,0,0,0,0,LengthBall,Null,NotOut,Missed,0,ForwardDefensive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,220,False,False,True,False,False,False,0,0,0,0,0,False,False,0.0,,,,
1034966,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,37333,,21097,One-Day Cup 2024-25,1,1214,South Australia Men,82,Victoria Men,2025-03-01T14:11:13Z,4,False,802,Scott Boland,1698,Mackenzie Harvey,1039,Harry Nielsen,221,53,Short Mid Wicket,0,0,0,0,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,220,False,False,True,False,False,False,0,0,0,0,0,False,False,0.0,,,,
1034966,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,37333,,21097,One-Day Cup 2024-25,1,1214,South Australia Men,82,Victoria Men,2025-03-01T14:11:50Z,5,False,802,Scott Boland,1698,Mackenzie Harvey,1039,Harry Nielsen,90,48,Wicketkeeper,0,0,0,0,LengthBall,Null,NotOut,Missed,0,Drive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,220,False,False,True,False,False,False,0,0,0,0,0,False,False,0.0,,,,
1034966,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,37333,,21097,One-Day Cup 2024-25,1,1214,South Australia Men,82,Victoria Men,2025-03-01T14:13:13Z,6,False,802,Scott Boland,1698,Mackenzie Harvey,1039,Harry Nielsen,199,63,Mid Wicket,0,0,0,0,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,220,False,False,True,False,False,False,0,0,0,0,0,False,False,0.0,,,,
1034967,2,5.0,8.0,0.0,0.0,10.0,0.0,8.0,37333,,21097,One-Day Cup 2024-25,1,1214,South Australia Men,82,Victoria Men,2025-03-01T14:14:16Z,1,False,10023,Fergus O'Neill,1039,Harry Nielsen,1698,Mackenzie Harvey,338,184,Deep Cover,4,0,4,4,LengthBall,Null,NotOut,Played,0,Drive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,98,False,True,True,False,False,False,4,0,0,0,0,False,True,,,,,
1034967,2,5.0,8.0,0.0,0.0,10.0,0.0,8.0,37333,,21097,One-Day Cup 2024-25,1,1214,South Australia Men,82,Victoria Men,2025-03-01T14:14:54Z,2,False,10023,Fergus O'Neill,1039,Harry Nielsen,1698,Mackenzie Harvey,90,48,Wicketkeeper,0,0,0,0,BackOfALength,Null,NotOut,NoShot,0,Leave,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,98,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
1034967,2,5.0,8.0,0.0,0.0,10.0,0.0,8.0,37333,,21097,One-Day Cup 2024-25,1,1214,South Australia Men,82,Victoria Men,2025-03-01T14:15:21Z,3,False,10023,Fergus O'Neill,1039,Harry Nielsen,1698,Mackenzie Harvey,90,48,Wicketkeeper,0,0,0,0,LengthBall,Null,NotOut,NoShot,0,Leave,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,98,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
1034967,2,5.0,8.0,0.0,0.0,10.0,0.0,8.0,37333,,21097,One-Day Cup 2024-25,1,1214,South Australia Men,82,Victoria Men,2025-03-01T14:15:50Z,4,False,10023,Fergus O'Neill,1039,Harry Nielsen,1698,Mackenzie Harvey,90,48,Wicketkeeper,0,0,0,0,LengthBall,Null,NotOut,NoShot,0,Leave,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,98,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
