over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,catchDifficulty
1286883,1,7.0,6.0,0.0,0.0,7.0,0.0,6.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:00:07Z,1,False,,,,3520,Courtney Neale,1092,Tahlia Wilson,539,Katie Mack,203,155,Deep Cover,2,0,2,2,,BackOfALength,Null,NotOut,WellTimed,0,Cut,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,1199,False,True,True,False,False,False,2,0,0,0,0,False,False,
1286883,1,7.0,6.0,0.0,0.0,7.0,0.0,6.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:00:44Z,2,False,,,,3520,Courtney Neale,1092,Tahlia Wilson,539,Katie Mack,90,48,Wicketkeeper,0,0,0,0,,LengthBall,Null,NotOut,Left,0,Leave,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,1199,False,False,True,False,False,False,0,0,0,0,0,False,False,
1286883,1,7.0,6.0,0.0,0.0,7.0,0.0,6.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:01:18Z,3,False,,,,3520,Courtney Neale,1092,Tahlia Wilson,539,Katie Mack,321,35,Short Leg,0,0,0,0,,LengthBall,Null,NotOut,BatPad,0,ForwardDefensive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,1199,False,False,True,False,False,False,0,0,0,0,0,False,False,
1286883,1,7.0,6.0,0.0,0.0,7.0,0.0,6.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:01:54Z,4,False,,,,3520,Courtney Neale,1092,Tahlia Wilson,539,Katie Mack,270,40,Bowler,0,0,0,0,,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,1199,False,False,True,False,False,False,0,0,0,0,0,False,False,
1286883,1,7.0,6.0,0.0,0.0,7.0,0.0,6.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:02:31Z,5,False,,,,3520,Courtney Neale,1092,Tahlia Wilson,539,Katie Mack,270,40,Bowler,0,0,0,0,,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,1199,False,False,True,False,False,False,0,0,0,0,0,False,False,
1286883,1,7.0,6.0,0.0,0.0,7.0,0.0,6.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:03:02Z,6,False,,,,3520,Courtney Neale,1092,Tahlia Wilson,539,Katie Mack,130,172,Third Man,4,0,4,4,,BackOfALength,Null,NotOut,Edged,0,Cut,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,1199,False,False,True,False,False,False,4,0,0,0,0,False,True,
1286887,2,5.5,5.0,0.0,1.0,11.0,0.0,5.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:04:05Z,1,False,,,,10670,Ella Wilson,539,Katie Mack,1092,Tahlia Wilson,90,48,Wicketkeeper,1,1,1,0,,Short,Null,NotOut,Left,0,Leave,Null,Over,Medium,Right,Null,NotReferred,Null,True,False,False,False,False,False,227,False,True,True,False,False,False,1,0,1,0,0,False,False,
1286887,2,5.5,5.0,0.0,1.0,11.0,0.0,5.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:04:42Z,1,False,,,,10670,Ella Wilson,539,Katie Mack,1092,Tahlia Wilson,90,48,Wicketkeeper,0,0,0,0,,LengthBall,Null,NotOut,Left,0,Leave,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,227,False,False,True,False,False,False,0,0,0,0,0,False,False,
1286887,2,5.5,5.0,0.0,1.0,11.0,0.0,5.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:05:12Z,2,False,,,,10670,Ella Wilson,539,Katie Mack,1092,Tahlia Wilson,243,90,Mid Off,0,0,0,0,,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,227,False,False,True,False,False,False,0,0,0,0,0,False,False,
1286887,2,5.5,5.0,0.0,1.0,11.0,0.0,5.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:05:45Z,3,False,,,,10670,Ella Wilson,539,Katie Mack,1092,Tahlia Wilson,178,71,Point,0,0,0,0,,LengthBall,Null,NotOut,Played,0,BackwardDefensive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,227,False,False,True,False,False,False,0,0,0,0,0,False,False,
1286887,2,5.5,5.0,0.0,1.0,11.0,0.0,5.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:06:13Z,4,False,,,,10670,Ella Wilson,539,Katie Mack,1092,Tahlia Wilson,212,186,Deep Extra Cover,4,0,4,4,,HalfVolley,Null,NotOut,Middled,0,Drive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,227,False,False,True,False,False,False,4,0,0,0,0,False,False,
1286887,2,5.5,5.0,0.0,1.0,11.0,0.0,5.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:06:50Z,5,False,,,,10670,Ella Wilson,539,Katie Mack,1092,Tahlia Wilson,90,48,Wicketkeeper,0,0,0,0,,LengthBall,Null,NotOut,Left,0,Leave,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,227,False,False,True,False,False,False,0,0,0,0,0,False,False,
1286887,2,5.5,5.0,0.0,1.0,11.0,0.0,5.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:07:25Z,6,False,,,,10670,Ella Wilson,539,Katie Mack,1092,Tahlia Wilson,90,48,Wicketkeeper,0,0,0,0,,LengthBall,Null,NotOut,ShouldersArms,0,ShouldersArms,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,227,False,False,True,False,False,False,0,0,0,0,0,False,False,
1286893,3,5.33,5.0,0.0,0.0,16.0,0.0,5.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:08:22Z,1,False,,,,3520,Courtney Neale,1092,Tahlia Wilson,539,Katie Mack,270,40,Bowler,0,0,0,0,,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,1199,False,False,True,False,False,False,0,0,0,0,0,False,False,
1286893,3,5.33,5.0,0.0,0.0,16.0,0.0,5.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:08:54Z,2,False,,,,3520,Courtney Neale,1092,Tahlia Wilson,539,Katie Mack,216,57,Short Extra Cover,1,0,1,1,,LengthBall,Null,NotOut,WellTimed,0,Drive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,1199,False,False,True,False,False,False,1,0,0,0,0,False,False,
1286893,3,5.33,5.0,0.0,0.0,16.0,0.0,5.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:09:34Z,3,False,,,,3520,Courtney Neale,539,Katie Mack,1092,Tahlia Wilson,329,75,Mid Wicket,0,0,0,0,,LengthBall,Null,NotOut,Played,0,Worked,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,1199,False,False,True,False,False,False,0,0,0,0,0,False,False,
1286893,3,5.33,5.0,0.0,0.0,16.0,0.0,5.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:10:07Z,4,False,,,,3520,Courtney Neale,539,Katie Mack,1092,Tahlia Wilson,164,169,Deep Backward Point,4,0,4,4,,HalfVolley,Null,NotOut,WellTimed,0,Drive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,1199,False,False,True,False,False,False,4,0,0,0,0,False,True,
1286893,3,5.33,5.0,0.0,0.0,16.0,0.0,5.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:10:43Z,5,False,,,,3520,Courtney Neale,539,Katie Mack,1092,Tahlia Wilson,90,48,Wicketkeeper,0,0,0,0,,HalfVolley,Null,NotOut,Missed,0,Drive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,1199,False,False,True,False,False,False,0,0,0,0,0,False,False,
1286893,3,5.33,5.0,0.0,0.0,16.0,0.0,5.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:11:17Z,6,False,,,,3520,Courtney Neale,539,Katie Mack,1092,Tahlia Wilson,202,76,Cover,0,0,0,0,,LengthBall,Null,NotOut,Played,0,BackwardDefensive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,1199,False,False,True,False,False,False,0,0,0,0,0,False,False,
1286898,4,4.25,1.0,0.0,1.0,17.0,0.0,1.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:12:15Z,1,False,,,,10670,Ella Wilson,1092,Tahlia Wilson,539,Katie Mack,90,48,Wicketkeeper,0,0,0,0,,LengthBall,Null,NotOut,Left,0,Leave,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,227,False,False,True,False,False,False,0,0,0,0,0,False,False,
1286898,4,4.25,1.0,0.0,1.0,17.0,0.0,1.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:12:44Z,2,False,,,,10670,Ella Wilson,1092,Tahlia Wilson,539,Katie Mack,90,48,Wicketkeeper,1,1,1,0,,LengthBall,Null,NotOut,Left,0,Leave,Null,Over,Medium,Right,Null,NotReferred,Null,True,False,False,False,False,False,227,False,False,True,False,False,False,1,0,1,0,0,False,False,
1286898,4,4.25,1.0,0.0,1.0,17.0,0.0,1.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:13:17Z,2,False,,,,10670,Ella Wilson,1092,Tahlia Wilson,539,Katie Mack,90,48,Wicketkeeper,0,0,0,0,,LengthBall,Null,NotOut,Left,0,Leave,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,227,False,False,True,False,False,False,0,0,0,0,0,False,False,
1286898,4,4.25,1.0,0.0,1.0,17.0,0.0,1.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:13:47Z,3,False,,,,10670,Ella Wilson,1092,Tahlia Wilson,539,Katie Mack,202,76,Cover,0,0,0,0,,LengthBall,Null,NotOut,WellTimed,0,Drive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,227,False,False,True,False,False,False,0,0,0,0,0,False,False,
1286898,4,4.25,1.0,0.0,1.0,17.0,0.0,1.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:14:21Z,4,False,,,,10670,Ella Wilson,1092,Tahlia Wilson,539,Katie Mack,202,77,Cover,0,0,0,0,,BackOfALength,Null,NotOut,Played,0,Cut,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,227,False,False,True,False,False,False,0,0,0,0,0,False,False,
1286898,4,4.25,1.0,0.0,1.0,17.0,0.0,1.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:14:53Z,5,False,,,,10670,Ella Wilson,1092,Tahlia Wilson,539,Katie Mack,90,48,Wicketkeeper,0,0,0,0,,LengthBall,Null,NotOut,Missed,0,Drive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,227,False,False,True,False,False,False,0,0,0,0,0,False,False,
1286898,4,4.25,1.0,0.0,1.0,17.0,0.0,1.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:15:25Z,6,False,,,,10670,Ella Wilson,1092,Tahlia Wilson,539,Katie Mack,209,53,Short Extra Cover,0,0,0,0,,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,227,False,False,True,False,False,False,0,0,0,0,0,False,False,
1286903,5,4.4,5.0,0.0,0.0,22.0,0.0,5.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:16:24Z,1,False,,,,3520,Courtney Neale,539,Katie Mack,1092,Tahlia Wilson,4,137,Deep Square Leg,2,0,2,2,,FullToss,Null,NotOut,Played,0,Pull,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,1199,False,False,True,False,False,False,2,0,0,0,0,False,False,
1286903,5,4.4,5.0,0.0,0.0,22.0,0.0,5.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:17:06Z,2,False,,,,3520,Courtney Neale,539,Katie Mack,1092,Tahlia Wilson,56,144,Fine Leg,2,0,2,2,,BackOfALength,Null,NotOut,Played,0,Worked,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,1199,False,False,True,False,False,False,2,0,0,0,0,False,False,
1286903,5,4.4,5.0,0.0,0.0,22.0,0.0,5.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:17:44Z,3,False,,,,3520,Courtney Neale,539,Katie Mack,1092,Tahlia Wilson,200,78,Cover,0,0,0,0,,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,1199,False,False,True,False,False,False,0,0,0,0,0,False,False,
1286903,5,4.4,5.0,0.0,0.0,22.0,0.0,5.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:18:14Z,4,False,,,,3520,Courtney Neale,539,Katie Mack,1092,Tahlia Wilson,183,80,Point,0,0,0,0,,HalfVolley,Null,NotOut,Played,0,Drive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,1199,False,False,True,False,False,False,0,0,0,0,0,False,False,
1286903,5,4.4,5.0,0.0,0.0,22.0,0.0,5.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:18:44Z,5,False,,,,3520,Courtney Neale,539,Katie Mack,1092,Tahlia Wilson,90,48,Wicketkeeper,0,0,0,0,,Short,Null,NotOut,Left,0,Leave,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,1199,False,False,True,False,False,False,0,0,0,0,0,False,False,
1286903,5,4.4,5.0,0.0,0.0,22.0,0.0,5.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:19:21Z,6,False,,,,3520,Courtney Neale,539,Katie Mack,1092,Tahlia Wilson,5,85,Square Leg,1,0,1,1,,BackOfALength,Null,NotOut,Played,0,Worked,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,1199,False,False,True,False,False,False,1,0,0,0,0,False,False,
1286908,6,4.5,5.0,0.0,1.0,27.0,0.0,5.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:20:15Z,1,False,,,,10670,Ella Wilson,539,Katie Mack,1092,Tahlia Wilson,248,90,Mid Off,0,0,0,0,,LengthBall,Null,NotOut,Played,0,Drive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,227,False,False,True,False,False,False,0,0,0,0,0,False,False,
1286908,6,4.5,5.0,0.0,1.0,27.0,0.0,5.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:20:47Z,2,False,,,,10670,Ella Wilson,539,Katie Mack,1092,Tahlia Wilson,90,48,Wicketkeeper,1,1,1,0,,Short,Null,NotOut,ShouldersArms,0,ShouldersArms,Null,Over,Medium,Right,Null,NotReferred,Null,True,False,False,False,False,False,227,False,False,True,False,False,False,1,0,1,0,0,False,False,
1286908,6,4.5,5.0,0.0,1.0,27.0,0.0,5.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:21:22Z,2,False,,,,10670,Ella Wilson,539,Katie Mack,1092,Tahlia Wilson,270,40,Bowler,0,0,0,0,,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,227,False,False,True,False,False,False,0,0,0,0,0,False,False,
1286908,6,4.5,5.0,0.0,1.0,27.0,0.0,5.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:21:52Z,3,False,,,,10670,Ella Wilson,539,Katie Mack,1092,Tahlia Wilson,160,72,Backward Point,0,0,0,0,,LengthBall,Null,NotOut,Played,0,BackwardDefensive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,227,False,False,True,False,False,False,0,0,0,0,0,False,False,
1286908,6,4.5,5.0,0.0,1.0,27.0,0.0,5.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:22:47Z,4,False,,,,10670,Ella Wilson,539,Katie Mack,1092,Tahlia Wilson,90,48,Wicketkeeper,0,0,0,0,,LengthBall,Null,NotOut,Left,0,Leave,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,227,False,False,True,False,False,False,0,0,0,0,0,False,False,
1286908,6,4.5,5.0,0.0,1.0,27.0,0.0,5.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:22:56Z,5,False,,,,10670,Ella Wilson,539,Katie Mack,1092,Tahlia Wilson,90,48,Wicketkeeper,0,0,0,0,,HalfVolley,Null,NotOut,MissedLegSide,0,Flick,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,227,False,False,True,False,False,False,0,0,0,0,0,False,False,
1286908,6,4.5,5.0,0.0,1.0,27.0,0.0,5.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:23:26Z,6,False,,,,10670,Ella Wilson,539,Katie Mack,1092,Tahlia Wilson,116,173,Third Man,4,0,4,4,,BackOfALength,Null,NotOut,Edged,0,Cut,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,227,False,False,True,False,False,False,4,0,0,0,0,False,False,
1286913,7,4.71,6.0,1.0,0.0,33.0,1.0,6.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:24:19Z,1,True,Lbw,1092.0,Tahlia Wilson,3520,Courtney Neale,1092,Tahlia Wilson,539,Katie Mack,0,0,,0,0,0,0,LBW,LengthBall,Null,NotOut,HitPad,0,Drive,Null,Over,Medium,Right,Out2ndUmpire,NotReferred,Null,False,False,False,False,False,False,1199,False,False,True,False,False,False,0,0,0,0,0,False,False,
1286913,7,4.71,6.0,1.0,0.0,33.0,1.0,6.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:26:21Z,2,False,,,,3520,Courtney Neale,2130,Anika Learoyd,539,Katie Mack,286,136,Long On,2,0,2,2,,LengthBall,Null,NotOut,Played,0,Drive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,1199,False,False,True,False,False,False,2,0,0,0,0,False,False,
1286913,7,4.71,6.0,1.0,0.0,33.0,1.0,6.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:27:21Z,3,False,,,,3520,Courtney Neale,2130,Anika Learoyd,539,Katie Mack,158,168,Deep Backward Point,4,0,4,4,,LengthBall,Null,NotOut,WellTimed,0,Drive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,1199,False,False,True,False,False,False,4,0,0,0,0,False,True,
1286913,7,4.71,6.0,1.0,0.0,33.0,1.0,6.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:28:01Z,4,False,,,,3520,Courtney Neale,2130,Anika Learoyd,539,Katie Mack,90,48,Wicketkeeper,0,0,0,0,,LengthBall,Null,NotOut,Missed,0,Drive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,1199,False,False,True,False,False,False,0,0,0,0,0,False,False,
1286913,7,4.71,6.0,1.0,0.0,33.0,1.0,6.0,74033,,24433,WNCL 2025-26,1,90,NSW Women,93,South Australia Women,2026-03-14T10:28:32Z,5,False,,,,3520,Courtney Neale,2130,Anika Learoyd,539,Katie Mack,200,77,Cover,0,0,0,0,,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,1199,False,False,True,False,False,False,0,0,0,0,0,False,False,
