over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled
551002,1,2.0,1.0,0.0,1.0,2.0,0.0,2.0,26067,,13430,IPL 2022,1,245,Rajasthan Royals,1166,Gujarat Titans,2022-05-29T20:01:36Z,1,False,,,,213,,2993,Yashasvi Jaiswal,197,Jos Buttler,308,73,Mid Off,0,0,0,0,,BackOfALength,OutsideOff,NotOut,None,BackFoot,Drive,InSwinger,Round,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,89,False,True,True,False,True,False,0,0,0,0,0,False,False
551002,1,2.0,1.0,0.0,1.0,2.0,0.0,2.0,26067,,13430,IPL 2022,1,245,Rajasthan Royals,1166,Gujarat Titans,2022-05-29T20:02:12Z,2,False,,,,213,,2993,Yashasvi Jaiswal,197,Jos Buttler,44,81,Short Third Man,0,1,1,0,,LengthBall,OutsideOff,Lbw,HitPad,FrontFoot,Flick,InSwinger,Round,Fast,Left,NotOut2ndUmpire,NotReferred,Null,False,False,False,True,False,True,89,False,False,True,False,True,False,0,0,0,1,0,False,False
551002,1,2.0,1.0,0.0,1.0,2.0,0.0,2.0,26067,,13430,IPL 2022,1,245,Rajasthan Royals,1166,Gujarat Titans,2022-05-29T20:03:14Z,3,False,,,,213,,197,Jos Buttler,2993,Yashasvi Jaiswal,308,100,Mid On,1,0,1,1,,LengthBall,OutsideOff,NotOut,None,BackFoot,Pushed,InSwinger,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,89,False,False,True,False,True,False,1,0,0,0,0,False,False
551002,1,2.0,1.0,0.0,1.0,2.0,0.0,2.0,26067,,13430,IPL 2022,1,245,Rajasthan Royals,1166,Gujarat Titans,2022-05-29T20:03:50Z,4,False,,,,213,,2993,Yashasvi Jaiswal,197,Jos Buttler,90,48,Wicketkeeper,0,0,0,0,,LengthBall,OutsideOff,NotOut,Left,NoMovement,ShouldersArms,InSwinger,Round,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,89,False,False,True,False,True,False,0,0,0,0,0,False,False
551002,1,2.0,1.0,0.0,1.0,2.0,0.0,2.0,26067,,13430,IPL 2022,1,245,Rajasthan Royals,1166,Gujarat Titans,2022-05-29T20:04:29Z,5,False,,,,213,,2993,Yashasvi Jaiswal,197,Jos Buttler,182,93,Square Leg,0,0,0,0,,LengthBall,OutsideOff,NotOut,MisTimed,FrontFoot,Flick,InSwinger,Round,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,89,False,False,True,False,True,False,0,0,0,0,0,False,False
551002,1,2.0,1.0,0.0,1.0,2.0,0.0,2.0,26067,,13430,IPL 2022,1,245,Rajasthan Royals,1166,Gujarat Titans,2022-05-29T20:05:12Z,6,False,,,,213,,2993,Yashasvi Jaiswal,197,Jos Buttler,140,54,Leg Gully,0,0,0,0,,BackOfALength,OutsideOff,NotOut,Gloved,BackFoot,Drive,InSwinger,Round,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,89,False,False,True,False,True,False,0,0,0,0,0,False,False
551011,2,3.5,5.0,0.0,0.0,7.0,0.0,5.0,26067,,13430,IPL 2022,1,245,Rajasthan Royals,1166,Gujarat Titans,2022-05-29T20:06:46Z,1,False,,,,8493,Yash Dayal,197,Jos Buttler,2993,Yashasvi Jaiswal,90,48,Wicketkeeper,0,0,0,0,,LengthBall,OffStump,NotOut,Left,NoMovement,ShouldersArms,AwaySwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,27,False,False,True,False,True,False,0,0,0,0,0,False,False
551011,2,3.5,5.0,0.0,0.0,7.0,0.0,5.0,26067,,13430,IPL 2022,1,245,Rajasthan Royals,1166,Gujarat Titans,2022-05-29T20:07:36Z,2,False,,,,8493,Yash Dayal,197,Jos Buttler,2993,Yashasvi Jaiswal,298,82,Mid On,0,0,0,0,,LengthBall,LegStump,NotOut,None,BackFoot,Worked,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,27,False,False,True,False,True,False,0,0,0,0,0,False,False
551011,2,3.5,5.0,0.0,0.0,7.0,0.0,5.0,26067,,13430,IPL 2022,1,245,Rajasthan Royals,1166,Gujarat Titans,2022-05-29T20:08:12Z,3,False,,,,8493,Yash Dayal,197,Jos Buttler,2993,Yashasvi Jaiswal,169,189,Deep Backward Point,4,0,4,4,,BackOfALength,OffStump,NotOut,WellTimed,BackFoot,Cut,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,27,False,False,True,False,True,False,4,0,0,0,0,False,True
551011,2,3.5,5.0,0.0,0.0,7.0,0.0,5.0,26067,,13430,IPL 2022,1,245,Rajasthan Royals,1166,Gujarat Titans,2022-05-29T20:08:49Z,4,False,,,,8493,Yash Dayal,197,Jos Buttler,2993,Yashasvi Jaiswal,214,56,Short Extra Cover,0,0,0,0,,LengthBall,MiddleStump,NotOut,None,FrontFoot,Dropped,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,27,False,False,True,False,True,False,0,0,0,0,0,False,False
551011,2,3.5,5.0,0.0,0.0,7.0,0.0,5.0,26067,,13430,IPL 2022,1,245,Rajasthan Royals,1166,Gujarat Titans,2022-05-29T20:09:26Z,5,False,,,,8493,Yash Dayal,197,Jos Buttler,2993,Yashasvi Jaiswal,18,146,Deep Backward Square Leg,1,0,1,1,,Short,DownLeg,NotOut,MisTimed,BackFoot,Pull,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,27,False,False,True,False,True,False,1,0,0,0,0,False,False
551011,2,3.5,5.0,0.0,0.0,7.0,0.0,5.0,26067,,13430,IPL 2022,1,245,Rajasthan Royals,1166,Gujarat Titans,2022-05-29T20:10:11Z,6,False,,,,8493,Yash Dayal,2993,Yashasvi Jaiswal,197,Jos Buttler,173,21,Short Leg,0,0,0,0,,BackOfALength,OutsideOff,NotOut,HitPad,BackFoot,Pull,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,27,False,False,True,False,True,False,0,0,0,0,0,False,False
551017,3,7.0,14.0,0.0,0.0,21.0,0.0,14.0,26067,,13430,IPL 2022,1,245,Rajasthan Royals,1166,Gujarat Titans,2022-05-29T20:11:11Z,1,False,,,,213,,197,Jos Buttler,2993,Yashasvi Jaiswal,233,87,Mid Off,1,0,1,1,,BackOfALength,OutsideOff,NotOut,None,BackFoot,Pushed,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,89,False,False,True,False,True,False,1,0,0,0,0,False,False
