over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
878276,1,8.0,8.0,1.0,0.0,8.0,1.0,8.0,32299,,17725,KFC BBL|13,1,109,Sydney Sixers Men,107,Sydney Thunder Men,2024-01-12T13:45:43Z,1,True,1294,Daniel Sams,1075,Steve Smith,136,James Vince,17,151,Deep Backward Square Leg,0,0,0,0,BackOfALength,DownLeg,NotOut,MisTimed,DownTheTrack,Pull,NoMovement,Over,Fast,Left,Out1stUmpire,NotReferred,Null,False,False,False,False,False,False,219,False,True,True,False,True,False,0,0,0,0,0,False,False,Caught,1075.0,Steve Smith,Caught
878276,1,8.0,8.0,1.0,0.0,8.0,1.0,8.0,32299,,17725,KFC BBL|13,1,109,Sydney Sixers Men,107,Sydney Thunder Men,2024-01-12T13:47:17Z,2,False,1294,Daniel Sams,1612,Josh Philippe,136,James Vince,160,86,Backward Point,0,0,0,0,BackOfALength,LegStump,NotOut,None,BackFoot,Dropped,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,99,False,False,True,False,True,False,0,0,0,0,0,False,False,,,,
878276,1,8.0,8.0,1.0,0.0,8.0,1.0,8.0,32299,,17725,KFC BBL|13,1,109,Sydney Sixers Men,107,Sydney Thunder Men,2024-01-12T13:47:55Z,3,False,1294,Daniel Sams,1612,Josh Philippe,136,James Vince,90,48,Wicketkeeper,0,0,0,0,LengthBall,OffStump,NotOut,Missed,FrontFoot,Pushed,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,99,False,False,True,False,True,False,0,0,0,0,0,False,False,,,,
878276,1,8.0,8.0,1.0,0.0,8.0,1.0,8.0,32299,,17725,KFC BBL|13,1,109,Sydney Sixers Men,107,Sydney Thunder Men,2024-01-12T13:48:31Z,4,False,1294,Daniel Sams,1612,Josh Philippe,136,James Vince,239,93,Mid Off,0,0,0,0,LengthBall,OffStump,NotOut,None,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,99,False,False,True,False,True,False,0,0,0,0,0,False,False,,,,
878276,1,8.0,8.0,1.0,0.0,8.0,1.0,8.0,32299,,17725,KFC BBL|13,1,109,Sydney Sixers Men,107,Sydney Thunder Men,2024-01-12T13:49:09Z,5,False,1294,Daniel Sams,1612,Josh Philippe,136,James Vince,64,224,Fine Leg,4,0,4,4,LengthBall,MiddleStump,NotOut,WellTimed,MovesInfront,Scoop,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,True,False,99,False,False,True,False,True,False,4,0,0,0,0,False,True,,,,
878276,1,8.0,8.0,1.0,0.0,8.0,1.0,8.0,32299,,17725,KFC BBL|13,1,109,Sydney Sixers Men,107,Sydney Thunder Men,2024-01-12T13:49:54Z,6,False,1294,Daniel Sams,1612,Josh Philippe,136,James Vince,16,193,Deep Backward Square Leg,4,0,4,4,BackOfALength,DownLeg,NotOut,WellTimed,BackFoot,Pull,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,True,False,99,False,False,True,False,True,False,4,0,0,0,0,False,True,,,,
878278,2,7.5,7.0,0.0,2.0,15.0,1.0,7.0,32299,,17725,KFC BBL|13,1,109,Sydney Sixers Men,107,Sydney Thunder Men,2024-01-12T13:51:10Z,1,False,775,Liam Hatcher,136,James Vince,1612,Josh Philippe,345,100,Mid Wicket,1,0,1,1,LengthBall,OutsideOff,NotOut,None,FrontFoot,Worked,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,99,False,False,True,False,True,False,1,0,0,0,0,False,False,,,,
878278,2,7.5,7.0,0.0,2.0,15.0,1.0,7.0,32299,,17725,KFC BBL|13,1,109,Sydney Sixers Men,107,Sydney Thunder Men,2024-01-12T13:51:58Z,2,False,775,Liam Hatcher,1612,Josh Philippe,136,James Vince,346,165,Deep Mid Wicket,3,0,3,3,LengthBall,OutsideOff,NotOut,WellTimed,FrontFoot,Flick,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,99,False,False,True,False,True,False,3,0,0,0,0,False,False,,,,
878278,2,7.5,7.0,0.0,2.0,15.0,1.0,7.0,32299,,17725,KFC BBL|13,1,109,Sydney Sixers Men,107,Sydney Thunder Men,2024-01-12T13:52:39Z,3,False,775,Liam Hatcher,136,James Vince,1612,Josh Philippe,90,48,Wicketkeeper,1,1,1,0,HalfVolley,DownLeg,NotOut,PlayAndMissLegSide,FrontFoot,Glance,NoMovement,Over,Fast,Right,Null,NotReferred,Null,True,False,False,False,False,False,99,False,False,True,False,True,False,0,0,1,0,0,False,False,,,,
878278,2,7.5,7.0,0.0,2.0,15.0,1.0,7.0,32299,,17725,KFC BBL|13,1,109,Sydney Sixers Men,107,Sydney Thunder Men,2024-01-12T13:53:12Z,3,False,775,Liam Hatcher,136,James Vince,1612,Josh Philippe,45,87,Short Fine Leg,1,0,1,1,LengthBall,OutsideOff,NotOut,None,FrontFoot,Worked,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,99,False,False,True,False,True,False,1,0,0,0,0,False,False,,,,
