over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,catchDifficulty
1090831,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,39497,,22202,T20 Blast 2025 – Men,1,40,Durham Men,33,Warwickshire Men,2025-07-06T15:44:23Z,1,False,2684,George Garton,103,Graham Clark,101,Alex Lees,245,64,Silly Mid Off,0,0,0,0,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,32,False,True,True,False,False,False,0,0,0,0,0,False,False,,,,,
1090831,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,39497,,22202,T20 Blast 2025 – Men,1,40,Durham Men,33,Warwickshire Men,2025-07-06T15:44:40Z,2,False,2684,George Garton,103,Graham Clark,101,Alex Lees,199,75,Cover,0,0,0,0,LengthBall,Null,NotOut,Played,0,Drive,Null,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,32,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
1090831,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,39497,,22202,T20 Blast 2025 – Men,1,40,Durham Men,33,Warwickshire Men,2025-07-06T15:45:10Z,3,False,2684,George Garton,103,Graham Clark,101,Alex Lees,202,11,Silly Point,0,0,0,0,LengthBall,Null,NotOut,HitPad,0,ForwardDefensive,Null,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,32,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
1090831,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,39497,,22202,T20 Blast 2025 – Men,1,40,Durham Men,33,Warwickshire Men,2025-07-06T15:45:49Z,4,False,2684,George Garton,103,Graham Clark,101,Alex Lees,182,15,Silly Point,1,0,1,1,Yorker,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,32,False,False,True,False,False,False,1,0,0,0,0,False,False,,,,,
1090831,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,39497,,22202,T20 Blast 2025 – Men,1,40,Durham Men,33,Warwickshire Men,2025-07-06T15:46:28Z,5,False,2684,George Garton,101,Alex Lees,103,Graham Clark,90,48,Wicketkeeper,0,0,0,0,LengthBall,Null,NotOut,Missed,0,ForwardDefensive,Null,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,32,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
1090831,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,39497,,22202,T20 Blast 2025 – Men,1,40,Durham Men,33,Warwickshire Men,2025-07-06T15:46:56Z,6,False,2684,George Garton,101,Alex Lees,103,Graham Clark,158,174,Deep Backward Square Leg,4,0,4,4,LengthBall,Null,NotOut,HitHard,0,Flick,Null,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,True,False,32,False,False,True,False,False,False,4,0,0,0,0,False,True,,,,,
1090839,2,4.0,2.0,1.0,1.0,8.0,1.0,4.0,39497,,22202,T20 Blast 2025 – Men,1,40,Durham Men,33,Warwickshire Men,2025-07-06T15:47:49Z,1,False,575,Hasan Ali,103,Graham Clark,101,Alex Lees,250,108,Mid Off,1,0,1,1,FullToss,Null,NotOut,Played,0,Drive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,358,False,False,True,False,False,False,1,0,0,0,0,False,False,,,,,
1090839,2,4.0,2.0,1.0,1.0,8.0,1.0,4.0,39497,,22202,T20 Blast 2025 – Men,1,40,Durham Men,33,Warwickshire Men,2025-07-06T15:48:26Z,2,False,575,Hasan Ali,101,Alex Lees,103,Graham Clark,90,48,Wicketkeeper,0,0,0,0,LengthBall,Null,NotOut,Missed,0,ForwardDefensive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,358,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
1090839,2,4.0,2.0,1.0,1.0,8.0,1.0,4.0,39497,,22202,T20 Blast 2025 – Men,1,40,Durham Men,33,Warwickshire Men,2025-07-06T15:48:56Z,3,False,575,Hasan Ali,101,Alex Lees,103,Graham Clark,241,99,Mid On,0,0,0,0,LengthBall,Null,NotOut,Played,0,Drive,Null,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,358,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
1090839,2,4.0,2.0,1.0,1.0,8.0,1.0,4.0,39497,,22202,T20 Blast 2025 – Men,1,40,Durham Men,33,Warwickshire Men,2025-07-06T15:49:25Z,4,True,575,Hasan Ali,101,Alex Lees,103,Graham Clark,337,67,Cover,0,0,0,0,LengthBall,Null,NotOut,MisTimed,0,Flick,Null,Over,Fast,Right,Out1stUmpire,NotReferred,Null,False,False,False,False,False,False,32,False,False,True,False,False,False,0,0,0,0,0,False,False,Caught,101.0,Alex Lees,Caught,
