over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ball_id,ballDateTime,ballNumber,totalBallNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,appealDismissalTypeId,decisionOfficialId
1626391,2,6.5,11,0,0,13,0,11,75995,,39787,The Hundred 2026 – Men,1,927,London Spirit Men,925,Welsh Fire Men,8673348,2026-08-12T14:03:46Z,1,6,False,22,Sam Cook,14169,Lhuan-dre Pretorius,195,Jonny Bairstow,217.0,38.0,Left,Mid Wicket,0,0,0,0,BackOfALength,LegStump,MisTimed,BackFoot,Pull,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,,
1626391,2,6.5,11,0,0,13,0,11,75995,,39787,The Hundred 2026 – Men,1,927,London Spirit Men,925,Welsh Fire Men,8673351,2026-08-12T14:04:19Z,2,7,False,22,Sam Cook,14169,Lhuan-dre Pretorius,195,Jonny Bairstow,164.0,137.0,Left,Deep Backward Square Leg,1,0,1,1,BackOfALength,DownLeg,MisTimed,FrontFoot,Flick,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,True,,,,,,
1626391,2,6.5,11,0,0,13,0,11,75995,,39787,The Hundred 2026 – Men,1,927,London Spirit Men,925,Welsh Fire Men,8673355,2026-08-12T14:04:53Z,3,8,False,22,Sam Cook,195,Jonny Bairstow,14169,Lhuan-dre Pretorius,23.0,174.0,Right,,6,0,6,6,BackOfALength,OutsideOff,Middled,BackFoot,Pull,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,6,0,0,0,0,True,False,,,,,,
1626391,2,6.5,11,0,0,13,0,11,75995,,39787,The Hundred 2026 – Men,1,927,London Spirit Men,925,Welsh Fire Men,8673357,2026-08-12T14:05:31Z,4,9,False,22,Sam Cook,195,Jonny Bairstow,14169,Lhuan-dre Pretorius,140.0,148.0,Right,Third Man,2,0,2,2,LengthBall,OutsideOff,None,BackFoot,Steer,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,2,0,0,0,0,False,False,,,,,,
1626391,2,6.5,11,0,0,13,0,11,75995,,39787,The Hundred 2026 – Men,1,927,London Spirit Men,925,Welsh Fire Men,8673360,2026-08-12T14:06:06Z,5,10,False,22,Sam Cook,195,Jonny Bairstow,14169,Lhuan-dre Pretorius,357.0,139.0,Right,Deep Square Leg,2,0,2,2,BackOfALength,OutsideOff,None,BackFoot,Pull,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,2,0,0,0,0,False,False,,,,,,
1626393,3,6.33,6,0,0,19,0,6,75995,,39787,The Hundred 2026 – Men,1,927,London Spirit Men,925,Welsh Fire Men,8673363,2026-08-12T14:07:27Z,1,11,False,2705,Marco Jansen,14169,Lhuan-dre Pretorius,195,Jonny Bairstow,,,Left,Bowler,0,0,0,0,BackOfALength,OutsideOff,None,BackFoot,BackwardDefensive,NoMovement,Over,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,,
1626393,3,6.33,6,0,0,19,0,6,75995,,39787,The Hundred 2026 – Men,1,927,London Spirit Men,925,Welsh Fire Men,8673365,2026-08-12T14:07:59Z,2,12,False,2705,Marco Jansen,14169,Lhuan-dre Pretorius,195,Jonny Bairstow,,,Left,Wicketkeeper,1,1,1,0,HalfVolley,WideDownLeg,PlayAndMissLegSide,FrontFoot,Flick,NoMovement,Over,FastSeam,Left,Null,NotReferred,Null,True,False,False,False,False,True,False,False,True,False,False,False,1,0,1,0,0,False,False,,,,,,
1626393,3,6.33,6,0,0,19,0,6,75995,,39787,The Hundred 2026 – Men,1,927,London Spirit Men,925,Welsh Fire Men,8673370,2026-08-12T14:08:49Z,2,13,False,2705,Marco Jansen,14169,Lhuan-dre Pretorius,195,Jonny Bairstow,129.0,25.0,Left,Short Fine Leg,1,0,1,1,HalfVolley,OffStump,InsideEdge,FrontFoot,Flick,NoMovement,Over,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,,,,,,
1626393,3,6.33,6,0,0,19,0,6,75995,,39787,The Hundred 2026 – Men,1,927,London Spirit Men,925,Welsh Fire Men,8673375,2026-08-12T14:09:40Z,3,14,False,2705,Marco Jansen,195,Jonny Bairstow,14169,Lhuan-dre Pretorius,76.0,160.0,Right,,4,0,4,4,LengthBall,Wide,InsideEdge,BackFoot,Pushed,NoMovement,Round,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,4,0,0,0,0,True,False,,,,,,
1626393,3,6.33,6,0,0,19,0,6,75995,,39787,The Hundred 2026 – Men,1,927,London Spirit Men,925,Welsh Fire Men,8673378,2026-08-12T14:10:29Z,4,15,False,2705,Marco Jansen,195,Jonny Bairstow,14169,Lhuan-dre Pretorius,,,Right,Wicketkeeper,0,0,0,0,Yorker,Wide,Missed,FrontFoot,Drive,NoMovement,Over,FastSeam,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,,
