over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ball_id,ballDateTime,ballNumber,totalBallNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,battingHandId,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,shotAngle,shotMagnitude,fieldingPosition
1628464,2,8.0,10,0,0,16,0,10,76049,,39790,The Hundred 2026 – Men,1,931,Trent Rockets Men,1447,Manchester Super Giants Men,8695745,2026-08-16T17:04:22Z,1,7,False,,,,13841,Josh Tongue,3149,Finn Allen,67,Ben Duckett,Right,1,1,1,0,,LengthBall,MiddleStump,,PlayAndMissLegSide,MovesInfront,Flick,SeamIn,Over,FastSeam,Right,Null,NotReferred,Null,True,False,False,False,False,True,,False,False,True,False,False,False,1,0,1,0,0,False,False,,,Wicketkeeper
1628464,2,8.0,10,0,0,16,0,10,76049,,39790,The Hundred 2026 – Men,1,931,Trent Rockets Men,1447,Manchester Super Giants Men,8695749,2026-08-16T17:04:54Z,1,8,False,,,,13841,Josh Tongue,3149,Finn Allen,67,Ben Duckett,Right,4,0,4,4,,HalfVolley,OffStump,,WellTimed,MovesInfront,Flick,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,4,0,0,0,0,True,False,71.0,161.0,
1628464,2,8.0,10,0,0,16,0,10,76049,,39790,The Hundred 2026 – Men,1,931,Trent Rockets Men,1447,Manchester Super Giants Men,8695751,2026-08-16T17:05:30Z,2,9,False,,,,13841,Josh Tongue,3149,Finn Allen,67,Ben Duckett,Right,0,0,0,0,,BackOfALength,OutsideOff,,None,BackFoot,BackwardDefensive,SeamIn,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,0,0,0,0,0,False,False,256.0,39.0,Bowler
1628464,2,8.0,10,0,0,16,0,10,76049,,39790,The Hundred 2026 – Men,1,931,Trent Rockets Men,1447,Manchester Super Giants Men,8695756,2026-08-16T17:06:07Z,3,10,False,,,,13841,Josh Tongue,3149,Finn Allen,67,Ben Duckett,Right,1,0,1,1,,Yorker,OutsideOff,,None,BackFoot,Pushed,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,1,0,0,0,0,False,False,288.0,74.0,Mid On
1628464,2,8.0,10,0,0,16,0,10,76049,,39790,The Hundred 2026 – Men,1,931,Trent Rockets Men,1447,Manchester Super Giants Men,8695758,2026-08-16T17:06:46Z,4,11,False,,,,13841,Josh Tongue,67,Ben Duckett,3149,Finn Allen,Left,0,0,0,0,,LengthBall,OffStump,,Missed,FrontFoot,Drive,SeamAway,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,0,0,0,0,0,False,False,,,Wicketkeeper
1628464,2,8.0,10,0,0,16,0,10,76049,,39790,The Hundred 2026 – Men,1,931,Trent Rockets Men,1447,Manchester Super Giants Men,8695761,2026-08-16T17:07:20Z,5,12,False,,,,13841,Josh Tongue,67,Ben Duckett,3149,Finn Allen,Left,4,0,4,4,,HalfVolley,OutsideOff,,WellTimed,FrontFoot,Drive,SeamAway,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,4,0,0,0,0,True,False,324.0,176.0,
1628467,3,7.67,7,0,0,23,0,7,76049,,39790,The Hundred 2026 – Men,1,931,Trent Rockets Men,1447,Manchester Super Giants Men,8695765,2026-08-16T17:08:32Z,1,13,False,,,,7016,Gus Atkinson,3149,Finn Allen,67,Ben Duckett,Right,1,0,1,1,,BackOfALength,OutsideOff,,None,BackFoot,Dropped,SeamIn,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,1,0,0,0,0,False,False,329.0,53.0,Mid Wicket
1628467,3,7.67,7,0,0,23,0,7,76049,,39790,The Hundred 2026 – Men,1,931,Trent Rockets Men,1447,Manchester Super Giants Men,8695767,2026-08-16T17:09:20Z,2,14,False,,,,7016,Gus Atkinson,67,Ben Duckett,3149,Finn Allen,Left,6,0,6,6,,HalfVolley,OutsideOff,,WellTimed,MovesInfront,Scoop,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,True,True,,False,False,True,False,False,False,6,0,0,0,0,True,False,99.0,160.0,
1628467,3,7.67,7,0,0,23,0,7,76049,,39790,The Hundred 2026 – Men,1,931,Trent Rockets Men,1447,Manchester Super Giants Men,8695771,2026-08-16T17:10:13Z,3,15,False,,,,7016,Gus Atkinson,67,Ben Duckett,3149,Finn Allen,Left,0,0,0,0,,LengthBall,Wide,,Missed,BackFoot,Cut,SeamIn,Round,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,0,0,0,0,0,False,False,,,Wicketkeeper
1628467,3,7.67,7,0,0,23,0,7,76049,,39790,The Hundred 2026 – Men,1,931,Trent Rockets Men,1447,Manchester Super Giants Men,8695774,2026-08-16T17:10:50Z,4,16,False,,,,7016,Gus Atkinson,67,Ben Duckett,3149,Finn Allen,Left,0,0,0,0,,LengthBall,OutsideOff,,MisTimed,BackFoot,Cut,NoMovement,Round,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,0,0,0,0,0,False,False,333.0,47.0,Cover
