over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,id,ballDateTime,ballNumber,totalBallNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,fieldingPosition,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,appealDismissalTypeId,matchName
1603243,2,6.0,2,1,0,12,1,2,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534810,2026-06-26T21:36:47Z,1,8,False,323,Adam Milne,3472,Monank Patel,729,Quinton de Kock,6.0,48.0,Right,1,0,1,1,BackOfALength,OutsideOff,None,BackFoot,Dropped,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,Backward Square Leg,,,,,,
1603243,2,6.0,2,1,0,12,1,2,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534812,2026-06-26T21:37:32Z,2,9,False,323,Adam Milne,729,Quinton de Kock,3472,Monank Patel,319.0,41.0,Left,0,0,0,0,BackOfALength,LegStump,None,BackFoot,BackwardDefensive,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,Extra Cover,,,,,,
1603243,2,6.0,2,1,0,12,1,2,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534813,2026-06-26T21:38:07Z,3,10,False,323,Adam Milne,729,Quinton de Kock,3472,Monank Patel,28.0,111.0,Left,1,0,1,1,BackOfALength,MiddleStump,None,BackFoot,Drive,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,Deep Backward Point,,,,,,
1603243,2,6.0,2,1,0,12,1,2,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534814,2026-06-26T21:38:48Z,4,11,True,323,Adam Milne,3472,Monank Patel,729,Quinton de Kock,300.0,61.0,Right,0,0,0,0,HalfVolley,OutsideOff,MisTimed,FrontFoot,Flick,InSwinger,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,True,Mid Wicket,Caught,3472.0,Monank Patel,Caught,Caught,
1603243,2,6.0,2,1,0,12,1,2,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534815,2026-06-26T21:40:42Z,5,12,False,323,Adam Milne,2646,Ryan Rickelton,729,Quinton de Kock,9.0,36.0,Left,0,0,0,0,LengthBall,DownLeg,ThickEdge,BackFoot,BackwardDefensive,AwaySwinger,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,Backward Point,,,,,,
1603243,2,6.0,2,1,0,12,1,2,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534816,2026-06-26T21:41:18Z,6,13,False,323,Adam Milne,2646,Ryan Rickelton,729,Quinton de Kock,18.0,33.0,Left,0,0,0,0,LengthBall,LegStump,None,BackFoot,BackwardDefensive,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,Backward Point,,,,,,
1603244,3,6.67,8,0,0,20,1,8,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534817,2026-06-26T21:42:14Z,1,14,False,3789,Donovan Ferreira,729,Quinton de Kock,2646,Ryan Rickelton,224.0,177.0,Left,6,0,6,6,FullToss,LegStump,Middled,FrontFoot,Slog,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,True,True,False,False,True,False,False,False,6,0,0,0,0,True,False,,,,,,,
1603244,3,6.67,8,0,0,20,1,8,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534818,2026-06-26T21:42:44Z,2,15,False,3789,Donovan Ferreira,729,Quinton de Kock,2646,Ryan Rickelton,248.0,76.0,Left,1,0,1,1,HalfVolley,LegStump,None,FrontFoot,Worked,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,Mid On,,,,,,
1603244,3,6.67,8,0,0,20,1,8,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534819,2026-06-26T21:43:16Z,3,16,False,3789,Donovan Ferreira,2646,Ryan Rickelton,729,Quinton de Kock,0.0,0.0,Left,0,0,0,0,BackOfALength,OffStump,Missed,FrontFoot,ForwardDefensive,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,Wicketkeeper,,,,,,
1603244,3,6.67,8,0,0,20,1,8,75259,40135,Major League Cricket 2026,1,1293,MI New York,1291,Texas Super Kings,8534820,2026-06-26T21:43:38Z,4,17,False,3789,Donovan Ferreira,2646,Ryan Rickelton,729,Quinton de Kock,0.0,0.0,Left,0,0,0,0,BackOfALength,OffStump,None,FrontFoot,ForwardDefensive,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,Bowler,,,,,,
