over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,catchDifficulty
1308313,1,11.0,11.0,0.0,1.0,11.0,0.0,11.0,74521,,40257,IPL 2026,1,247,Sunrisers Hyderabad,242,Punjab Kings,2026-05-06T19:30:41Z,1,False,,,,2667,Arshdeep Singh,2665,Abhishek Sharma,288,Travis Head,327,42,Short Extra Cover,0,0,0,0,,HalfVolley,OutsideOff,NotOut,Played,FrontFoot,Pushed,AwaySwinger,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,444,False,True,True,False,True,False,0,0,0,0,0,False,False,
1308313,1,11.0,11.0,0.0,1.0,11.0,0.0,11.0,74521,,40257,IPL 2026,1,247,Sunrisers Hyderabad,242,Punjab Kings,2026-05-06T19:31:20Z,2,False,,,,2667,Arshdeep Singh,2665,Abhishek Sharma,288,Travis Head,328,210,Deep Extra Cover,6,0,6,6,,LengthBall,OffStump,NotOut,Middled,FrontFoot,Drive,AwaySwinger,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,True,False,444,False,False,True,False,True,False,6,0,0,0,0,False,True,
1308313,1,11.0,11.0,0.0,1.0,11.0,0.0,11.0,74521,,40257,IPL 2026,1,247,Sunrisers Hyderabad,242,Punjab Kings,2026-05-06T19:32:01Z,3,False,,,,2667,Arshdeep Singh,2665,Abhishek Sharma,288,Travis Head,328,96,Extra Cover,0,0,0,0,,LengthBall,OutsideOff,NotOut,Played,FrontFoot,Drive,AwaySwinger,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,444,False,False,True,False,True,False,0,0,0,0,0,False,False,
1308313,1,11.0,11.0,0.0,1.0,11.0,0.0,11.0,74521,,40257,IPL 2026,1,247,Sunrisers Hyderabad,242,Punjab Kings,2026-05-06T19:32:31Z,4,False,,,,2667,Arshdeep Singh,2665,Abhishek Sharma,288,Travis Head,307,97,Mid Off,1,0,1,1,,FullToss,OutsideOff,NotOut,Played,FrontFoot,Pushed,AwaySwinger,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,444,False,False,True,False,True,False,1,0,0,0,0,False,False,
1308313,1,11.0,11.0,0.0,1.0,11.0,0.0,11.0,74521,,40257,IPL 2026,1,247,Sunrisers Hyderabad,242,Punjab Kings,2026-05-06T19:33:29Z,5,False,,,,2667,Arshdeep Singh,288,Travis Head,2665,Abhishek Sharma,90,48,Wicketkeeper,1,1,1,0,,LengthBall,DownLeg,NotOut,Left,BackFoot,Leave,NoMovement,Over,Fast,Left,Null,NotReferred,Null,True,False,False,False,False,False,444,False,False,True,False,True,False,1,0,1,0,0,False,False,
1308313,1,11.0,11.0,0.0,1.0,11.0,0.0,11.0,74521,,40257,IPL 2026,1,247,Sunrisers Hyderabad,242,Punjab Kings,2026-05-06T19:34:06Z,5,False,,,,2667,Arshdeep Singh,288,Travis Head,2665,Abhishek Sharma,356,141,Deep Point,1,0,1,1,,LengthBall,OutsideOff,NotOut,Played,FrontFoot,Drive,AwaySwinger,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,444,False,False,True,False,True,False,1,0,0,0,0,False,False,
1308313,1,11.0,11.0,0.0,1.0,11.0,0.0,11.0,74521,,40257,IPL 2026,1,247,Sunrisers Hyderabad,242,Punjab Kings,2026-05-06T19:34:44Z,7,False,,,,2667,Arshdeep Singh,2665,Abhishek Sharma,288,Travis Head,340,143,Deep Cover,2,0,2,2,,HalfVolley,Wide,NotOut,Played,FrontFoot,Drive,AwaySwinger,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,444,False,False,True,False,True,False,2,0,0,0,0,False,False,
1308318,2,16.0,21.0,0.0,0.0,32.0,0.0,21.0,74521,,40257,IPL 2026,1,247,Sunrisers Hyderabad,242,Punjab Kings,2026-05-06T19:35:55Z,1,False,,,,2705,Marco Jansen,288,Travis Head,2665,Abhishek Sharma,167,64,Leg Gully,1,0,1,1,,LengthBall,OutsideOff,NotOut,InsideEdge,BackFoot,Pushed,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,1247,False,False,True,False,True,False,1,0,0,0,0,False,False,
1308318,2,16.0,21.0,0.0,0.0,32.0,0.0,21.0,74521,,40257,IPL 2026,1,247,Sunrisers Hyderabad,242,Punjab Kings,2026-05-06T19:36:34Z,2,False,,,,2705,Marco Jansen,2665,Abhishek Sharma,288,Travis Head,295,225,Long Off,6,0,6,6,,LengthBall,OutsideOff,NotOut,Middled,FrontFoot,Drive,AwaySwinger,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,True,False,1247,False,False,True,False,True,False,6,0,0,0,0,False,True,
1308318,2,16.0,21.0,0.0,0.0,32.0,0.0,21.0,74521,,40257,IPL 2026,1,247,Sunrisers Hyderabad,242,Punjab Kings,2026-05-06T19:37:15Z,3,False,,,,2705,Marco Jansen,2665,Abhishek Sharma,288,Travis Head,131,215,Fine Leg,4,0,4,4,,Short,OutsideOff,NotOut,TopEdge,BackFoot,Pull,SeamIn,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,1247,False,False,True,False,True,False,4,0,0,0,0,False,True,
1308318,2,16.0,21.0,0.0,0.0,32.0,0.0,21.0,74521,,40257,IPL 2026,1,247,Sunrisers Hyderabad,242,Punjab Kings,2026-05-06T19:38:00Z,4,False,,,,2705,Marco Jansen,2665,Abhishek Sharma,288,Travis Head,236,205,Long On,6,0,6,6,,LengthBall,OutsideOff,NotOut,Middled,FrontFoot,Slog,SlowerBall,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,True,False,1247,False,False,True,False,True,False,6,0,0,0,0,False,True,
1308318,2,16.0,21.0,0.0,0.0,32.0,0.0,21.0,74521,,40257,IPL 2026,1,247,Sunrisers Hyderabad,242,Punjab Kings,2026-05-06T19:39:10Z,5,False,,,,2705,Marco Jansen,2665,Abhishek Sharma,288,Travis Head,316,28,Silly Point,0,0,0,0,,BackOfALength,OutsideOff,NotOut,HitBody,BackFoot,Pull,SeamIn,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,1247,False,False,True,False,True,False,0,0,0,0,0,False,False,
1308318,2,16.0,21.0,0.0,0.0,32.0,0.0,21.0,74521,,40257,IPL 2026,1,247,Sunrisers Hyderabad,242,Punjab Kings,2026-05-06T19:39:51Z,6,False,,,,2705,Marco Jansen,2665,Abhishek Sharma,288,Travis Head,164,189,Deep Backward Square Leg,4,0,4,4,,BackOfALength,OutsideOff,NotOut,MisTimed,BackFoot,Pull,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,1247,False,False,True,False,True,False,4,0,0,0,0,False,True,
1308322,3,16.0,16.0,0.0,0.0,48.0,0.0,16.0,74521,,40257,IPL 2026,1,247,Sunrisers Hyderabad,242,Punjab Kings,2026-05-06T19:40:44Z,1,False,,,,2667,Arshdeep Singh,288,Travis Head,2665,Abhishek Sharma,90,48,Wicketkeeper,0,0,0,0,,BackOfALength,OutsideOff,NotOut,Missed,BackFoot,Pull,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,444,False,False,True,False,True,False,0,0,0,0,0,False,False,
