over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,id,ballDateTime,ballNumber,totalBallNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,fieldingPosition,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,appealDismissalTypeId,decisionOfficialId,matchName
1587814,2,6.5,10,1,0,13,2,10,74803,40388,IPL 2026,1,245,Rajasthan Royals,1166,Gujarat Titans,8442008,2026-05-29T14:07:07Z,1,7,False,675,Kagiso Rabada,2998,Dhruv Jurel,14763,Vaibhav Sooryavanshi,351.0,144.0,Right,2,0,2,2,BackOfALength,MiddleStump,None,BackFoot,Worked,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,2,0,0,0,0,False,False,Deep Square Leg,,,,,,,
1587814,2,6.5,10,1,0,13,2,10,74803,40388,IPL 2026,1,245,Rajasthan Royals,1166,Gujarat Titans,8442012,2026-05-29T14:07:47Z,2,8,False,675,Kagiso Rabada,2998,Dhruv Jurel,14763,Vaibhav Sooryavanshi,165.0,167.0,Right,4,0,4,4,Short,OutsideOff,WellTimed,BackFoot,Cut,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,True,True,False,False,True,False,False,False,4,0,0,0,0,True,False,,,,,,,,
1587814,2,6.5,10,1,0,13,2,10,74803,40388,IPL 2026,1,245,Rajasthan Royals,1166,Gujarat Titans,8442017,2026-05-29T14:08:27Z,3,9,False,675,Kagiso Rabada,2998,Dhruv Jurel,14763,Vaibhav Sooryavanshi,325.0,70.0,Right,0,0,0,0,LengthBall,OffStump,None,FrontFoot,Flick,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,Short Mid Wicket,,,,,,,
1587814,2,6.5,10,1,0,13,2,10,74803,40388,IPL 2026,1,245,Rajasthan Royals,1166,Gujarat Titans,8442023,2026-05-29T14:08:54Z,4,10,False,675,Kagiso Rabada,2998,Dhruv Jurel,14763,Vaibhav Sooryavanshi,0.0,0.0,Right,0,0,0,0,LengthBall,OutsideOff,MisTimed,FrontFoot,Drive,SeamIn,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,Bowler,,,,,,,
1587814,2,6.5,10,1,0,13,2,10,74803,40388,IPL 2026,1,245,Rajasthan Royals,1166,Gujarat Titans,8442032,2026-05-29T14:09:31Z,5,11,True,675,Kagiso Rabada,2998,Dhruv Jurel,14763,Vaibhav Sooryavanshi,259.0,85.0,Right,0,0,0,0,LengthBall,OffStump,MisTimed,FrontFoot,Drive,SeamIn,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,True,Mid Off,Caught,2998.0,Dhruv Jurel,Caught,Caught,1836.0,
1587814,2,6.5,10,1,0,13,2,10,74803,40388,IPL 2026,1,245,Rajasthan Royals,1166,Gujarat Titans,8442039,2026-05-29T14:11:12Z,6,12,False,675,Kagiso Rabada,517,Ravindra Jadeja,14763,Vaibhav Sooryavanshi,73.0,160.0,Left,4,0,4,4,BackOfALength,MiddleStump,WellTimed,BackFoot,Steer,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,4,0,0,0,0,True,False,,,,,,,,
1587818,3,11.33,21,0,0,34,2,21,74803,40388,IPL 2026,1,245,Rajasthan Royals,1166,Gujarat Titans,8442042,2026-05-29T14:11:57Z,1,13,False,10986,Mohammed Siraj,14763,Vaibhav Sooryavanshi,517,Ravindra Jadeja,,,Left,0,0,0,0,Short,DownLeg,Missed,BackFoot,Pull,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,Wicketkeeper,,,,,,,
1587818,3,11.33,21,0,0,34,2,21,74803,40388,IPL 2026,1,245,Rajasthan Royals,1166,Gujarat Titans,8442047,2026-05-29T14:12:36Z,2,14,False,10986,Mohammed Siraj,14763,Vaibhav Sooryavanshi,517,Ravindra Jadeja,261.0,180.0,Left,4,0,4,4,BackOfALength,LegStump,WellTimed,FrontFoot,Slog,SeamAway,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,True,True,False,False,True,False,False,False,4,0,0,0,0,True,False,,,,,,,,
1587818,3,11.33,21,0,0,34,2,21,74803,40388,IPL 2026,1,245,Rajasthan Royals,1166,Gujarat Titans,8442057,2026-05-29T14:13:22Z,3,15,False,10986,Mohammed Siraj,14763,Vaibhav Sooryavanshi,517,Ravindra Jadeja,178.0,154.0,Left,2,0,2,2,BackOfALength,DownLeg,MisTimed,FrontFoot,Slog,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,2,0,0,0,0,False,True,Deep Square Leg,,,,,,,
1587818,3,11.33,21,0,0,34,2,21,74803,40388,IPL 2026,1,245,Rajasthan Royals,1166,Gujarat Titans,8442067,2026-05-29T14:14:34Z,4,16,False,10986,Mohammed Siraj,14763,Vaibhav Sooryavanshi,517,Ravindra Jadeja,189.0,155.0,Left,2,0,2,2,BackOfALength,DownLeg,MisTimed,BacksAway,Slog,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,2,0,0,0,0,False,True,Deep Square Leg,,,,,,,
