over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,appealDismissalTypeId,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,referralOutcomeId
56343,1,,5.0,0.0,0.0,5.0,0.0,5.0,1248,,5266,IPL 2019,1,245,Rajasthan Royals,243,Kolkata Knight Riders,2019-04-07T15:30:49Z,1,False,1911.0,Piyush Chawla,208.0,,197.0,Jos Buttler,203.0,65.0,Left,Short Extra Cover,0.0,0,0,0.0,HalfVolley,OutsideOff,None,FrontFoot,ForwardDefensive,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,27.0,False,True,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
56343,1,,5.0,0.0,0.0,5.0,0.0,5.0,1248,,5266,IPL 2019,1,245,Rajasthan Royals,243,Kolkata Knight Riders,2019-04-07T15:31:53Z,2,False,1911.0,Piyush Chawla,208.0,,197.0,Jos Buttler,0.0,0.0,Left,-,0.0,0,0,0.0,LengthBall,OffStump,InsideEdge,FrontFoot,ForwardDefensive,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,27.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
56343,1,,5.0,0.0,0.0,5.0,0.0,5.0,1248,,5266,IPL 2019,1,245,Rajasthan Royals,243,Kolkata Knight Riders,2019-04-07T15:32:21Z,3,False,1911.0,Piyush Chawla,208.0,,197.0,Jos Buttler,256.0,33.0,Left,Silly Mid Off,0.0,0,0,0.0,LengthBall,OffStump,None,FrontFoot,Worked,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,27.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
56343,1,,5.0,0.0,0.0,5.0,0.0,5.0,1248,,5266,IPL 2019,1,245,Rajasthan Royals,243,Kolkata Knight Riders,2019-04-07T15:32:37Z,4,False,1911.0,Piyush Chawla,208.0,,197.0,Jos Buttler,325.0,219.0,Left,Deep Mid Wicket,4.0,0,4,4.0,LengthBall,OutsideOff,WellTimed,FrontFoot,Sweep,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,True,False,27.0,False,False,True,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True,,,,,,
56343,1,,5.0,0.0,0.0,5.0,0.0,5.0,1248,,5266,IPL 2019,1,245,Rajasthan Royals,243,Kolkata Knight Riders,2019-04-07T15:33:10Z,5,False,1911.0,Piyush Chawla,208.0,,197.0,Jos Buttler,25.0,60.0,Left,Leg Gully,0.0,0,0,0.0,LengthBall,LegStump,HitPad,FrontFoot,Worked,Googly,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,27.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
56343,1,,5.0,0.0,0.0,5.0,0.0,5.0,1248,,5266,IPL 2019,1,245,Rajasthan Royals,243,Kolkata Knight Riders,2019-04-07T15:33:39Z,6,False,1911.0,Piyush Chawla,208.0,,197.0,Jos Buttler,12.0,100.0,Left,Backward Square Leg,1.0,0,1,1.0,BackOfALength,LegStump,None,BackFoot,Worked,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,27.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
56352,2,,1.0,1.0,0.0,6.0,1.0,1.0,1248,,5266,IPL 2019,1,245,Rajasthan Royals,243,Kolkata Knight Riders,2019-04-07T15:35:04Z,1,True,304.0,Prasidh Krishna,208.0,,197.0,Jos Buttler,217.0,16.0,Left,Silly Point,0.0,0,0,0.0,BackOfALength,OffStump,HitPad,BackFoot,Worked,NoMovement,Over,Fast,Left,Out1stUmpire,Null,False,False,False,False,False,False,27.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,Lbw,208.0,,LBW,
56352,2,,1.0,1.0,0.0,6.0,1.0,1.0,1248,,5266,IPL 2019,1,245,Rajasthan Royals,243,Kolkata Knight Riders,2019-04-07T15:36:55Z,2,False,304.0,Prasidh Krishna,1075.0,Steve Smith,197.0,Jos Buttler,199.0,79.0,Left,Cover,0.0,0,0,0.0,BackOfALength,OutsideOff,None,BackFoot,Pushed,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,94.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
56352,2,,1.0,1.0,0.0,6.0,1.0,1.0,1248,,5266,IPL 2019,1,245,Rajasthan Royals,243,Kolkata Knight Riders,2019-04-07T15:37:24Z,3,False,304.0,Prasidh Krishna,1075.0,Steve Smith,197.0,Jos Buttler,213.0,86.0,Left,Extra Cover,0.0,0,0,0.0,BackOfALength,OutsideOff,MisTimed,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,94.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
56352,2,,1.0,1.0,0.0,6.0,1.0,1.0,1248,,5266,IPL 2019,1,245,Rajasthan Royals,243,Kolkata Knight Riders,,4,False,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,,
56352,2,,1.0,1.0,0.0,6.0,1.0,1.0,1248,,5266,IPL 2019,1,245,Rajasthan Royals,243,Kolkata Knight Riders,2019-04-07T15:39:01Z,5,False,304.0,Prasidh Krishna,197.0,Jos Buttler,1075.0,Steve Smith,230.0,57.0,Left,Short Extra Cover,0.0,0,0,0.0,BackOfALength,OutsideOff,None,BackFoot,BackwardDefensive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,94.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
56352,2,,1.0,1.0,0.0,6.0,1.0,1.0,1248,,5266,IPL 2019,1,245,Rajasthan Royals,243,Kolkata Knight Riders,2019-04-07T15:39:27Z,6,False,304.0,Prasidh Krishna,197.0,Jos Buttler,1075.0,Steve Smith,207.0,86.0,Left,Extra Cover,0.0,0,0,0.0,LengthBall,OutsideOff,None,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,94.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
56364,3,,6.0,0.0,0.0,12.0,1.0,6.0,1248,,5266,IPL 2019,1,245,Rajasthan Royals,243,Kolkata Knight Riders,2019-04-07T15:40:55Z,1,False,1911.0,Piyush Chawla,1075.0,Steve Smith,197.0,Jos Buttler,315.0,173.0,Left,Long On,1.0,0,1,1.0,HalfVolley,LegStump,None,FrontFoot,Worked,Googly,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,27.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
56364,3,,6.0,0.0,0.0,12.0,1.0,6.0,1248,,5266,IPL 2019,1,245,Rajasthan Royals,243,Kolkata Knight Riders,2019-04-07T15:41:34Z,2,False,1911.0,Piyush Chawla,197.0,Jos Buttler,1075.0,Steve Smith,20.0,195.0,Left,Deep Backward Square Leg,4.0,0,4,4.0,BackOfALength,MiddleStump,WellTimed,BackFoot,Pull,Googly,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,27.0,False,False,True,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True,NotOut,,,,,NotReferred
56364,3,,6.0,0.0,0.0,12.0,1.0,6.0,1248,,5266,IPL 2019,1,245,Rajasthan Royals,243,Kolkata Knight Riders,2019-04-07T15:42:24Z,3,False,1911.0,Piyush Chawla,197.0,Jos Buttler,1075.0,Steve Smith,221.0,88.0,Left,Extra Cover,0.0,0,0,0.0,BackOfALength,MiddleStump,None,FrontFoot,ForwardDefensive,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,27.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
56364,3,,6.0,0.0,0.0,12.0,1.0,6.0,1248,,5266,IPL 2019,1,245,Rajasthan Royals,243,Kolkata Knight Riders,2019-04-07T15:42:55Z,4,False,1911.0,Piyush Chawla,197.0,Jos Buttler,1075.0,Steve Smith,206.0,90.0,Left,Extra Cover,0.0,0,0,0.0,BackOfALength,OutsideOff,None,BackFoot,Cut,Googly,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,27.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
56364,3,,6.0,0.0,0.0,12.0,1.0,6.0,1248,,5266,IPL 2019,1,245,Rajasthan Royals,243,Kolkata Knight Riders,2019-04-07T15:43:19Z,5,False,1911.0,Piyush Chawla,197.0,Jos Buttler,1075.0,Steve Smith,253.0,32.0,Left,Silly Mid Off,0.0,0,0,0.0,LengthBall,MiddleStump,None,BackFoot,BackwardDefensive,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,27.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
56364,3,,6.0,0.0,0.0,12.0,1.0,6.0,1248,,5266,IPL 2019,1,245,Rajasthan Royals,243,Kolkata Knight Riders,2019-04-07T15:43:41Z,6,False,1911.0,Piyush Chawla,197.0,Jos Buttler,1075.0,Steve Smith,61.0,46.0,Left,Leg Slip,1.0,0,1,1.0,BackOfALength,OffStump,BottomEdge,BackFoot,Cut,LegSpinner,Over,LegSpin,Left,Null,Null,False,False,False,False,False,False,27.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
56370,4,,11.0,0.0,0.0,23.0,1.0,11.0,1248,,5266,IPL 2019,1,245,Rajasthan Royals,243,Kolkata Knight Riders,2019-04-07T15:44:45Z,1,False,304.0,Prasidh Krishna,197.0,Jos Buttler,1075.0,Steve Smith,242.0,91.0,Left,Mid Off,0.0,0,0,0.0,BackOfALength,OutsideOff,None,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,94.0,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,,,
56370,4,,11.0,0.0,0.0,23.0,1.0,11.0,1248,,5266,IPL 2019,1,245,Rajasthan Royals,243,Kolkata Knight Riders,2019-04-07T15:45:12Z,2,False,304.0,Prasidh Krishna,197.0,Jos Buttler,1075.0,Steve Smith,345.0,201.0,Left,Deep Mid Wicket,4.0,0,4,4.0,BackOfALength,OutsideOff,WellTimed,BackFoot,Worked,SlowerBall,Over,Fast,Left,Null,Null,False,False,False,False,False,False,94.0,False,False,True,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True,,,,,,
56370,4,,11.0,0.0,0.0,23.0,1.0,11.0,1248,,5266,IPL 2019,1,245,Rajasthan Royals,243,Kolkata Knight Riders,2019-04-07T15:45:58Z,3,False,304.0,Prasidh Krishna,197.0,Jos Buttler,1075.0,Steve Smith,72.0,205.0,Left,Fine Leg,4.0,0,4,4.0,BackOfALength,OutsideOff,WellTimed,MovesInfront,Scoop,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,True,False,94.0,False,False,True,False,False,False,4.0,0.0,0.0,0.0,0.0,False,True,,,,,,
56370,4,,11.0,0.0,0.0,23.0,1.0,11.0,1248,,5266,IPL 2019,1,245,Rajasthan Royals,243,Kolkata Knight Riders,2019-04-07T15:47:00Z,4,False,304.0,Prasidh Krishna,197.0,Jos Buttler,1075.0,Steve Smith,249.0,89.0,Left,Mid Off,1.0,0,1,1.0,LengthBall,OutsideOff,WellTimed,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,94.0,False,False,True,False,False,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,,,
