over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
326816,1,5.0,4.0,0.0,0.0,5.0,0.0,4.0,10543,,7446,IPL 2020,1,242,Punjab Kings,247,Sunrisers Hyderabad,2020-10-24T19:30:25Z,1,False,2476.0,Sandeep Sharma,203.0,,2481.0,Mandeep Singh,265.0,32.0,Left,Silly Mid Off,0.0,0,0,0.0,LengthBall,OffStump,NotOut,None,FrontFoot,Pushed,InSwinger,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,119.0,False,True,True,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
326816,1,5.0,4.0,0.0,0.0,5.0,0.0,4.0,10543,,7446,IPL 2020,1,242,Punjab Kings,247,Sunrisers Hyderabad,2020-10-24T19:30:56Z,2,False,2476.0,Sandeep Sharma,203.0,,2481.0,Mandeep Singh,313.0,100.0,Left,Mid On,1.0,0,1,1.0,LengthBall,OutsideOff,NotOut,None,DownTheTrack,Worked,InSwinger,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,119.0,False,False,True,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
326816,1,5.0,4.0,0.0,0.0,5.0,0.0,4.0,10543,,7446,IPL 2020,1,242,Punjab Kings,247,Sunrisers Hyderabad,2020-10-24T19:31:50Z,3,False,2476.0,Sandeep Sharma,2481.0,Mandeep Singh,203.0,,301.0,141.0,Left,Long On,2.0,0,2,2.0,LengthBall,OffStump,NotOut,None,DownTheTrack,Worked,InSwinger,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,119.0,False,False,True,False,True,False,2.0,0.0,0.0,0.0,0.0,False,False,,,,
326816,1,5.0,4.0,0.0,0.0,5.0,0.0,4.0,10543,,7446,IPL 2020,1,242,Punjab Kings,247,Sunrisers Hyderabad,,4,False,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,
326816,1,5.0,4.0,0.0,0.0,5.0,0.0,4.0,10543,,7446,IPL 2020,1,242,Punjab Kings,247,Sunrisers Hyderabad,2020-10-24T19:33:37Z,5,False,2476.0,Sandeep Sharma,2481.0,Mandeep Singh,203.0,,136.0,120.0,Left,Third Man,1.0,0,1,1.0,LengthBall,OutsideOff,NotOut,None,FrontFoot,Steer,SeamIn,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,119.0,False,False,True,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
326816,1,5.0,4.0,0.0,0.0,5.0,0.0,4.0,10543,,7446,IPL 2020,1,242,Punjab Kings,247,Sunrisers Hyderabad,,6,False,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,
326817,2,4.5,4.0,0.0,0.0,9.0,0.0,4.0,10543,,7446,IPL 2020,1,242,Punjab Kings,247,Sunrisers Hyderabad,,1,False,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,
326817,2,4.5,4.0,0.0,0.0,9.0,0.0,4.0,10543,,7446,IPL 2020,1,242,Punjab Kings,247,Sunrisers Hyderabad,,2,False,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,
326817,2,4.5,4.0,0.0,0.0,9.0,0.0,4.0,10543,,7446,IPL 2020,1,242,Punjab Kings,247,Sunrisers Hyderabad,,3,False,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,
326817,2,4.5,4.0,0.0,0.0,9.0,0.0,4.0,10543,,7446,IPL 2020,1,242,Punjab Kings,247,Sunrisers Hyderabad,2020-10-24T19:38:28Z,4,False,342.0,,203.0,,2481.0,Mandeep Singh,115.0,191.0,Left,Third Man,4.0,0,4,4.0,LengthBall,OffStump,NotOut,OutsideEdge,FrontFoot,Drive,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,143.0,False,False,True,False,True,False,4.0,0.0,0.0,0.0,0.0,False,True,,,,
