over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled
254318,1,10.0,10.0,0.0,0.0,10.0,0.0,10.0,9989,,9454,CPL 2020,1,55,St Kitts and Nevis Patriots,57,Jamaica Tallawahs,2020-09-03T19:31:55Z,1,False,144,Fidel Edwards,1986,Evin Lewis,590,Chris Lynn,198,130,Right,Deep Mid Wicket,2,0,2,2,LengthBall,LegStump,NotOut,None,FrontFoot,Worked,InSwinger,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,256,False,True,True,False,False,False,2,0,0,0,0,False,False
254318,1,10.0,10.0,0.0,0.0,10.0,0.0,10.0,9989,,9454,CPL 2020,1,55,St Kitts and Nevis Patriots,57,Jamaica Tallawahs,2020-09-03T19:32:33Z,2,False,144,Fidel Edwards,1986,Evin Lewis,590,Chris Lynn,270,40,Right,Bowler,0,0,0,0,LengthBall,OffStump,NotOut,None,FrontFoot,ForwardDefensive,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,256,False,False,True,False,False,False,0,0,0,0,0,False,False
254318,1,10.0,10.0,0.0,0.0,10.0,0.0,10.0,9989,,9454,CPL 2020,1,55,St Kitts and Nevis Patriots,57,Jamaica Tallawahs,2020-09-03T19:33:07Z,3,False,144,Fidel Edwards,1986,Evin Lewis,590,Chris Lynn,90,48,Right,Wicketkeeper,0,0,0,0,LengthBall,OutsideOff,NotOut,Left,NoMovement,Leave,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,256,False,False,True,False,False,False,0,0,0,0,0,False,False
254318,1,10.0,10.0,0.0,0.0,10.0,0.0,10.0,9989,,9454,CPL 2020,1,55,St Kitts and Nevis Patriots,57,Jamaica Tallawahs,2020-09-03T19:33:44Z,4,False,144,Fidel Edwards,1986,Evin Lewis,590,Chris Lynn,208,195,Right,Deep Mid Wicket,4,0,4,4,LengthBall,LegStump,NotOut,WellTimed,FrontFoot,Slog,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,True,False,256,False,False,True,False,False,False,4,0,0,0,0,False,True
254318,1,10.0,10.0,0.0,0.0,10.0,0.0,10.0,9989,,9454,CPL 2020,1,55,St Kitts and Nevis Patriots,57,Jamaica Tallawahs,2020-09-03T19:34:49Z,5,False,144,Fidel Edwards,1986,Evin Lewis,590,Chris Lynn,110,182,Right,Fine Leg,4,0,4,4,BackOfALength,MiddleStump,NotOut,InsideEdge,BackFoot,Glance,InSwinger,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,256,False,False,True,False,False,False,4,0,0,0,0,False,True
254318,1,10.0,10.0,0.0,0.0,10.0,0.0,10.0,9989,,9454,CPL 2020,1,55,St Kitts and Nevis Patriots,57,Jamaica Tallawahs,2020-09-03T19:35:31Z,6,False,144,Fidel Edwards,1986,Evin Lewis,590,Chris Lynn,270,40,Right,Bowler,0,0,0,0,LengthBall,OffStump,NotOut,None,FrontFoot,ForwardDefensive,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,256,False,False,True,False,False,False,0,0,0,0,0,False,False
254321,2,6.5,3.0,0.0,1.0,13.0,0.0,3.0,9989,,9454,CPL 2020,1,55,St Kitts and Nevis Patriots,57,Jamaica Tallawahs,2020-09-03T19:36:33Z,1,False,271,Mujeeb Ur Rahman,590,Chris Lynn,1986,Evin Lewis,349,146,Left,Deep Mid Wicket,1,0,1,1,BackOfALength,OutsideOff,NotOut,None,BackFoot,Worked,OffBreak,Over,OffSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,510,False,False,True,False,False,False,1,0,0,0,0,False,False
254321,2,6.5,3.0,0.0,1.0,13.0,0.0,3.0,9989,,9454,CPL 2020,1,55,St Kitts and Nevis Patriots,57,Jamaica Tallawahs,2020-09-03T19:37:10Z,2,False,271,Mujeeb Ur Rahman,1986,Evin Lewis,590,Chris Lynn,18,79,Right,Backward Point,0,0,0,0,BackOfALength,OutsideOff,NotOut,None,BackFoot,Cut,OffBreak,Round,OffSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,510,False,False,True,False,False,False,0,0,0,0,0,False,False
254321,2,6.5,3.0,0.0,1.0,13.0,0.0,3.0,9989,,9454,CPL 2020,1,55,St Kitts and Nevis Patriots,57,Jamaica Tallawahs,2020-09-03T19:37:34Z,3,False,271,Mujeeb Ur Rahman,1986,Evin Lewis,590,Chris Lynn,162,74,Right,Backward Square Leg,1,0,1,1,BackOfALength,OutsideOff,NotOut,None,BackFoot,Worked,OffBreak,Round,OffSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,510,False,False,True,False,False,False,1,0,0,0,0,False,False
254321,2,6.5,3.0,0.0,1.0,13.0,0.0,3.0,9989,,9454,CPL 2020,1,55,St Kitts and Nevis Patriots,57,Jamaica Tallawahs,2020-09-03T19:37:49Z,4,False,271,Mujeeb Ur Rahman,590,Chris Lynn,1986,Evin Lewis,90,48,Left,Wicketkeeper,1,1,1,0,LengthBall,OffStump,NotOut,PlayAndMissLegSide,FrontFoot,Pull,OffBreak,Over,OffSpin,Left,Null,NotReferred,Null,True,False,False,False,False,False,510,False,False,True,False,False,False,0,0,1,0,0,False,False
254321,2,6.5,3.0,0.0,1.0,13.0,0.0,3.0,9989,,9454,CPL 2020,1,55,St Kitts and Nevis Patriots,57,Jamaica Tallawahs,2020-09-03T19:38:08Z,4,False,271,Mujeeb Ur Rahman,590,Chris Lynn,1986,Evin Lewis,22,70,Left,Leg Gully,0,0,0,0,BackOfALength,OutsideOff,NotOut,None,BackFoot,Worked,OffBreak,Over,OffSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,510,False,False,True,False,False,False,0,0,0,0,0,False,False
254321,2,6.5,3.0,0.0,1.0,13.0,0.0,3.0,9989,,9454,CPL 2020,1,55,St Kitts and Nevis Patriots,57,Jamaica Tallawahs,2020-09-03T19:38:20Z,5,False,271,Mujeeb Ur Rahman,590,Chris Lynn,1986,Evin Lewis,90,48,Left,Wicketkeeper,0,0,0,0,LengthBall,OutsideOff,NotOut,Missed,FrontFoot,ForwardDefensive,OffBreak,Over,OffSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,510,False,False,True,False,False,False,0,0,0,0,0,False,False
