over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,catchDifficulty,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
1071774,1,7.0,7.0,0.0,0.0,7.0,0.0,7.0,38897,,22248,T20 Blast 2025 – Women,1,1375,Somerset Women,162,Surrey Women,2025-05-30T14:31:03Z,1,False,7901,Kalea Moore,13751,Rebecca Odgers,11574,Amelie Munday,90,48,Wicketkeeper,0,0,0,0,BackOfALength,Null,NotOut,Missed,0,Cut,Null,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,1080,False,True,True,False,False,False,0,0,0,0,0,False,False,,,,,
1071774,1,7.0,7.0,0.0,0.0,7.0,0.0,7.0,38897,,22248,T20 Blast 2025 – Women,1,1375,Somerset Women,162,Surrey Women,2025-05-30T14:31:17Z,2,False,7901,Kalea Moore,13751,Rebecca Odgers,11574,Amelie Munday,211,51,Short Extra Cover,0,0,0,0,LengthBall,Null,NotOut,Played,0,Pushed,Null,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,1080,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
1071774,1,7.0,7.0,0.0,0.0,7.0,0.0,7.0,38897,,22248,T20 Blast 2025 – Women,1,1375,Somerset Women,162,Surrey Women,2025-05-30T14:31:25Z,3,False,7901,Kalea Moore,13751,Rebecca Odgers,11574,Amelie Munday,24,152,Deep Backward Square Leg,3,0,3,3,LengthBall,Null,NotOut,HitHard,0,Sweep,Null,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,1080,False,False,True,False,False,False,3,0,0,0,0,False,False,,,,,
1071774,1,7.0,7.0,0.0,0.0,7.0,0.0,7.0,38897,,22248,T20 Blast 2025 – Women,1,1375,Somerset Women,162,Surrey Women,2025-05-30T14:31:44Z,4,False,7901,Kalea Moore,11574,Amelie Munday,13751,Rebecca Odgers,90,48,Wicketkeeper,0,0,0,0,BackOfALength,Null,NotOut,Missed,0,Cut,Null,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,1080,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
1071774,1,7.0,7.0,0.0,0.0,7.0,0.0,7.0,38897,,22248,T20 Blast 2025 – Women,1,1375,Somerset Women,162,Surrey Women,2025-05-30T14:32:04Z,5,False,7901,Kalea Moore,11574,Amelie Munday,13751,Rebecca Odgers,90,48,Wicketkeeper,0,0,0,0,LengthBall,Null,NotOut,Missed,0,Pushed,Null,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,1080,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
1071774,1,7.0,7.0,0.0,0.0,7.0,0.0,7.0,38897,,22248,T20 Blast 2025 – Women,1,1375,Somerset Women,162,Surrey Women,2025-05-30T14:32:17Z,6,False,7901,Kalea Moore,11574,Amelie Munday,13751,Rebecca Odgers,146,165,Third Man,4,0,4,4,LengthBall,Null,NotOut,Edged,0,Drive,Null,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,1080,False,False,True,False,False,False,4,0,0,0,0,False,True,,,,,
1071776,2,8.0,8.0,0.0,1.0,16.0,0.0,10.0,38897,,22248,T20 Blast 2025 – Women,1,1375,Somerset Women,162,Surrey Women,2025-05-30T14:34:03Z,1,False,7902,Alexa Stonehouse,13751,Rebecca Odgers,11574,Amelie Munday,24,105,Backward Square Leg,0,1,2,0,LengthBall,Null,NotOut,HitPad,0,Glance,Null,Over,Fast,Left,Null,NotReferred,Null,False,False,False,True,False,False,344,False,False,True,False,False,False,1,0,0,1,0,False,False,0.0,,,,
1071776,2,8.0,8.0,0.0,1.0,16.0,0.0,10.0,38897,,22248,T20 Blast 2025 – Women,1,1375,Somerset Women,162,Surrey Women,2025-05-30T14:34:25Z,2,False,7902,Alexa Stonehouse,11574,Amelie Munday,13751,Rebecca Odgers,211,47,Short Extra Cover,0,0,0,0,LengthBall,Null,NotOut,Played,0,Pushed,Null,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,344,False,False,True,False,False,False,0,0,0,0,0,False,False,0.0,,,,
1071776,2,8.0,8.0,0.0,1.0,16.0,0.0,10.0,38897,,22248,T20 Blast 2025 – Women,1,1375,Somerset Women,162,Surrey Women,2025-05-30T14:34:35Z,3,False,7902,Alexa Stonehouse,11574,Amelie Munday,13751,Rebecca Odgers,210,198,Deep Extra Cover,4,0,4,4,LengthBall,Null,NotOut,HitHard,0,Drive,Null,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,True,False,344,False,False,True,False,False,False,4,0,0,0,0,False,True,0.0,,,,
1071776,2,8.0,8.0,0.0,1.0,16.0,0.0,10.0,38897,,22248,T20 Blast 2025 – Women,1,1375,Somerset Women,162,Surrey Women,2025-05-30T14:34:51Z,4,False,7902,Alexa Stonehouse,11574,Amelie Munday,13751,Rebecca Odgers,146,136,Third Man,2,0,2,2,BackOfALength,Null,NotOut,HitHard,0,Cut,Null,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,344,False,False,True,False,False,False,2,0,0,0,0,False,False,0.0,,,,
