over_id,over_overNumber,over_runrate,over_totalInningRuns,over_totalInningWickets,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballNumber,isWicket,fieldingPosition,extras,runs,isBoundry,isAirNotControlled
1078729,1,7.0,7.0,0.0,39224,,22277,T20 Blast 2025 – Women,1,1372,Hampshire Women,1375,Somerset Women,1,False,,0,0,False,False
1078729,1,7.0,7.0,0.0,39224,,22277,T20 Blast 2025 – Women,1,1372,Hampshire Women,1375,Somerset Women,2,False,,0,0,False,False
1078729,1,7.0,7.0,0.0,39224,,22277,T20 Blast 2025 – Women,1,1372,Hampshire Women,1375,Somerset Women,3,False,,0,0,False,False
1078729,1,7.0,7.0,0.0,39224,,22277,T20 Blast 2025 – Women,1,1372,Hampshire Women,1375,Somerset Women,4,False,,0,0,False,False
1078729,1,7.0,7.0,0.0,39224,,22277,T20 Blast 2025 – Women,1,1372,Hampshire Women,1375,Somerset Women,5,False,,0,0,False,False
1078729,1,7.0,7.0,0.0,39224,,22277,T20 Blast 2025 – Women,1,1372,Hampshire Women,1375,Somerset Women,6,False,,0,0,False,False
1078731,2,5.0,10.0,0.0,39224,,22277,T20 Blast 2025 – Women,1,1372,Hampshire Women,1375,Somerset Women,1,False,,0,0,False,False
1078731,2,5.0,10.0,0.0,39224,,22277,T20 Blast 2025 – Women,1,1372,Hampshire Women,1375,Somerset Women,2,False,,0,0,False,False
1078731,2,5.0,10.0,0.0,39224,,22277,T20 Blast 2025 – Women,1,1372,Hampshire Women,1375,Somerset Women,3,False,,0,0,False,False
1078731,2,5.0,10.0,0.0,39224,,22277,T20 Blast 2025 – Women,1,1372,Hampshire Women,1375,Somerset Women,4,False,,0,0,False,False
1078731,2,5.0,10.0,0.0,39224,,22277,T20 Blast 2025 – Women,1,1372,Hampshire Women,1375,Somerset Women,5,False,,0,0,False,False
1078731,2,5.0,10.0,0.0,39224,,22277,T20 Blast 2025 – Women,1,1372,Hampshire Women,1375,Somerset Women,6,False,,0,0,False,False
1078733,3,5.33,16.0,0.0,39224,,22277,T20 Blast 2025 – Women,1,1372,Hampshire Women,1375,Somerset Women,1,False,,0,0,False,False
1078733,3,5.33,16.0,0.0,39224,,22277,T20 Blast 2025 – Women,1,1372,Hampshire Women,1375,Somerset Women,2,False,,0,0,False,False
1078733,3,5.33,16.0,0.0,39224,,22277,T20 Blast 2025 – Women,1,1372,Hampshire Women,1375,Somerset Women,3,False,,0,0,False,False
