over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,catchDifficulty
1035897,1,7.0,7.0,0.0,0.0,7.0,0.0,7.0,37356,,22799,WPL 2025,1,1264,UP Warriorz,1261,Mumbai Indians Women,2025-03-06T19:30:29Z,1,False,,,,760,Shabnim Ismail,1101,Grace Harris,4112,Georgia Voll,135,133,Third Man,1,0,1,1,,BackOfALength,OutsideOff,NotOut,TopEdge,BackFoot,Leave,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,930,False,True,True,False,True,False,1,0,0,0,0,False,False,0.0
1035897,1,7.0,7.0,0.0,0.0,7.0,0.0,7.0,37356,,22799,WPL 2025,1,1264,UP Warriorz,1261,Mumbai Indians Women,2025-03-06T19:31:12Z,2,False,,,,760,Shabnim Ismail,4112,Georgia Voll,1101,Grace Harris,198,84,Cover,0,0,0,0,,LengthBall,OutsideOff,NotOut,None,BackFoot,Drive,AwaySwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,930,False,False,True,False,True,False,0,0,0,0,0,False,False,0.0
1035897,1,7.0,7.0,0.0,0.0,7.0,0.0,7.0,37356,,22799,WPL 2025,1,1264,UP Warriorz,1261,Mumbai Indians Women,2025-03-06T19:31:43Z,3,False,,,,760,Shabnim Ismail,4112,Georgia Voll,1101,Grace Harris,28,136,Fine Leg,1,0,1,1,,LengthBall,OutsideOff,NotOut,InsideEdge,FrontFoot,Pushed,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,930,False,False,True,False,True,False,1,0,0,0,0,False,False,0.0
1035897,1,7.0,7.0,0.0,0.0,7.0,0.0,7.0,37356,,22799,WPL 2025,1,1264,UP Warriorz,1261,Mumbai Indians Women,2025-03-06T19:32:21Z,4,False,,,,760,Shabnim Ismail,1101,Grace Harris,4112,Georgia Voll,148,132,Third Man,1,0,1,1,,LengthBall,Wide,NotOut,None,FrontFoot,Steer,AwaySwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,930,False,False,True,False,True,False,1,0,0,0,0,False,False,0.0
1035897,1,7.0,7.0,0.0,0.0,7.0,0.0,7.0,37356,,22799,WPL 2025,1,1264,UP Warriorz,1261,Mumbai Indians Women,2025-03-06T19:32:55Z,5,False,,,,760,Shabnim Ismail,4112,Georgia Voll,1101,Grace Harris,358,175,Deep Square Leg,4,0,4,4,,Short,Wide,NotOut,WellTimed,BackFoot,Pull,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,True,False,930,False,False,True,False,True,False,4,0,0,0,0,False,True,0.0
1035897,1,7.0,7.0,0.0,0.0,7.0,0.0,7.0,37356,,22799,WPL 2025,1,1264,UP Warriorz,1261,Mumbai Indians Women,2025-03-06T19:33:33Z,6,False,,,,760,Shabnim Ismail,4112,Georgia Voll,1101,Grace Harris,215,42,Short Extra Cover,0,0,0,0,,HalfVolley,MiddleStump,Lbw,InsideEdge,FrontFoot,Worked,NoMovement,Over,Fast,Right,NotOut2ndUmpire,NotOutReviewLost,Null,False,False,False,False,False,True,1342,False,False,True,False,True,True,0,0,0,0,0,False,False,0.0
1035898,2,6.5,2.0,0.0,5.0,13.0,0.0,6.0,37356,,22799,WPL 2025,1,1264,UP Warriorz,1261,Mumbai Indians Women,2025-03-06T19:35:51Z,1,False,,,,388,Natalie Sciver-Brunt,1101,Grace Harris,4112,Georgia Voll,78,172,Fine Leg,0,4,4,0,,LengthBall,OutsideOff,NotOut,Missed,BackFoot,Drive,SeamIn,Over,Medium,Right,Null,NotReferred,Null,False,False,True,False,False,False,1340,False,False,True,False,True,False,0,4,0,0,0,False,False,
1035898,2,6.5,2.0,0.0,5.0,13.0,0.0,6.0,37356,,22799,WPL 2025,1,1264,UP Warriorz,1261,Mumbai Indians Women,2025-03-06T19:36:30Z,2,False,,,,388,Natalie Sciver-Brunt,1101,Grace Harris,4112,Georgia Voll,134,82,Short Third Man,0,0,0,0,,LengthBall,Wide,NotOut,None,FrontFoot,Steer,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,1340,False,False,True,False,True,False,0,0,0,0,0,False,False,
1035898,2,6.5,2.0,0.0,5.0,13.0,0.0,6.0,37356,,22799,WPL 2025,1,1264,UP Warriorz,1261,Mumbai Indians Women,2025-03-06T19:37:00Z,3,False,,,,388,Natalie Sciver-Brunt,1101,Grace Harris,4112,Georgia Voll,161,84,Backward Point,0,0,0,0,,LengthBall,OutsideOff,NotOut,None,BackFoot,Pushed,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,1340,False,False,True,False,True,False,0,0,0,0,0,False,False,
1035898,2,6.5,2.0,0.0,5.0,13.0,0.0,6.0,37356,,22799,WPL 2025,1,1264,UP Warriorz,1261,Mumbai Indians Women,2025-03-06T19:37:27Z,4,False,,,,388,Natalie Sciver-Brunt,1101,Grace Harris,4112,Georgia Voll,90,48,Wicketkeeper,0,0,0,0,,BackOfALength,OutsideOff,NotOut,Missed,BackFoot,Cut,NoMovement,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,1340,False,False,True,False,True,False,0,0,0,0,0,False,False,
