over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,catchDifficulty,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
1251900,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,73221,,37206,Afghanistan v West Indies T20Is 2026 - Men,1,24,West Indies Men,6,Afghanistan Men,2026-01-22T20:00:04Z,1,False,271,Mujeeb Ur Rahman,3453,Brandon King,1076,Johnson Charles,240,92,Mid Off,0,0,0,0,HalfVolley,OutsideOff,NotOut,None,FrontFoot,Drive,CarromBall,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,85,False,True,True,False,True,False,0,0,0,0,0,False,False,,,,,
1251900,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,73221,,37206,Afghanistan v West Indies T20Is 2026 - Men,1,24,West Indies Men,6,Afghanistan Men,2026-01-22T20:00:24Z,2,False,271,Mujeeb Ur Rahman,3453,Brandon King,1076,Johnson Charles,298,152,Long On,1,0,1,1,HalfVolley,OutsideOff,NotOut,MisTimed,FrontFoot,Drive,CarromBall,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,257,False,False,True,False,True,False,1,0,0,0,0,False,False,,,,,
1251900,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,73221,,37206,Afghanistan v West Indies T20Is 2026 - Men,1,24,West Indies Men,6,Afghanistan Men,2026-01-22T20:00:54Z,3,False,271,Mujeeb Ur Rahman,1076,Johnson Charles,3453,Brandon King,333,51,Short Mid Wicket,0,0,0,0,LengthBall,OutsideOff,NotOut,None,FrontFoot,Worked,CarromBall,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,257,False,False,True,False,True,False,0,0,0,0,0,False,False,,,,,
1251900,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,73221,,37206,Afghanistan v West Indies T20Is 2026 - Men,1,24,West Indies Men,6,Afghanistan Men,2026-01-22T20:01:12Z,4,False,271,Mujeeb Ur Rahman,1076,Johnson Charles,3453,Brandon King,243,76,Mid Off,0,0,0,0,LengthBall,OutsideOff,NotOut,None,FrontFoot,Drive,CarromBall,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,257,False,False,True,False,True,False,0,0,0,0,0,False,False,,,,,
1251900,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,73221,,37206,Afghanistan v West Indies T20Is 2026 - Men,1,24,West Indies Men,6,Afghanistan Men,2026-01-22T20:01:27Z,5,False,271,Mujeeb Ur Rahman,1076,Johnson Charles,3453,Brandon King,250,150,Long Off,1,0,1,1,LengthBall,OutsideOff,NotOut,MisTimed,BacksAway,Drive,Googly,Over,LegSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,257,False,False,True,False,True,False,1,0,0,0,0,False,False,,,,,
1251900,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,73221,,37206,Afghanistan v West Indies T20Is 2026 - Men,1,24,West Indies Men,6,Afghanistan Men,2026-01-22T20:01:57Z,6,False,271,Mujeeb Ur Rahman,3453,Brandon King,1076,Johnson Charles,270,40,Bowler,0,0,0,0,LengthBall,OutsideOff,NotOut,None,FrontFoot,Worked,CarromBall,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,257,False,False,True,False,True,False,0,0,0,0,0,False,False,,,,,
1251904,2,3.0,4.0,0.0,0.0,6.0,0.0,4.0,73221,,37206,Afghanistan v West Indies T20Is 2026 - Men,1,24,West Indies Men,6,Afghanistan Men,2026-01-22T20:03:10Z,1,False,2297,Zia ur-Rahman Sharifi,1076,Johnson Charles,3453,Brandon King,90,48,Wicketkeeper,0,0,0,0,BackOfALength,OutsideOff,NotOut,Missed,FrontFoot,Pull,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,85,False,False,True,False,True,False,0,0,0,0,0,False,False,0.0,,,,
1251904,2,3.0,4.0,0.0,0.0,6.0,0.0,4.0,73221,,37206,Afghanistan v West Indies T20Is 2026 - Men,1,24,West Indies Men,6,Afghanistan Men,2026-01-22T20:03:45Z,2,False,2297,Zia ur-Rahman Sharifi,1076,Johnson Charles,3453,Brandon King,174,90,Point,0,0,0,0,LengthBall,OutsideOff,NotOut,None,BackFoot,Pushed,AwaySwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,85,False,False,True,False,True,False,0,0,0,0,0,False,False,0.0,,,,
1251904,2,3.0,4.0,0.0,0.0,6.0,0.0,4.0,73221,,37206,Afghanistan v West Indies T20Is 2026 - Men,1,24,West Indies Men,6,Afghanistan Men,2026-01-22T20:04:22Z,3,False,2297,Zia ur-Rahman Sharifi,1076,Johnson Charles,3453,Brandon King,90,48,Wicketkeeper,0,0,0,0,LengthBall,LegStump,Caught,HitPad,FrontFoot,Glance,InSwinger,Over,Fast,Right,NotOut1stUmpire,NotReferred,Null,False,False,False,False,False,True,85,False,False,True,False,True,False,0,0,0,0,0,False,False,0.0,,,,
1251904,2,3.0,4.0,0.0,0.0,6.0,0.0,4.0,73221,,37206,Afghanistan v West Indies T20Is 2026 - Men,1,24,West Indies Men,6,Afghanistan Men,2026-01-22T20:05:19Z,4,False,2297,Zia ur-Rahman Sharifi,1076,Johnson Charles,3453,Brandon King,128,182,Third Man,4,0,4,4,LengthBall,OutsideOff,NotOut,ThickEdge,FrontFoot,Slog,AwaySwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,85,False,False,True,False,True,False,4,0,0,0,0,False,True,0.0,,,,
1251904,2,3.0,4.0,0.0,0.0,6.0,0.0,4.0,73221,,37206,Afghanistan v West Indies T20Is 2026 - Men,1,24,West Indies Men,6,Afghanistan Men,2026-01-22T20:06:01Z,5,False,2297,Zia ur-Rahman Sharifi,1076,Johnson Charles,3453,Brandon King,301,88,Mid On,0,0,0,0,LengthBall,OutsideOff,NotOut,None,BackFoot,Pushed,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,85,False,False,True,False,True,False,0,0,0,0,0,False,False,0.0,,,,
1251904,2,3.0,4.0,0.0,0.0,6.0,0.0,4.0,73221,,37206,Afghanistan v West Indies T20Is 2026 - Men,1,24,West Indies Men,6,Afghanistan Men,2026-01-22T20:06:50Z,6,False,2297,Zia ur-Rahman Sharifi,1076,Johnson Charles,3453,Brandon King,192,102,Cover,0,0,0,0,BackOfALength,Wide,NotOut,None,BackFoot,Cut,OffCutter,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,85,False,False,True,False,True,False,0,0,0,0,0,False,False,0.0,,,,
1251909,3,5.0,9.0,0.0,0.0,15.0,0.0,9.0,73221,,37206,Afghanistan v West Indies T20Is 2026 - Men,1,24,West Indies Men,6,Afghanistan Men,2026-01-22T20:07:46Z,1,False,271,Mujeeb Ur Rahman,3453,Brandon King,1076,Johnson Charles,140,79,Short Third Man,0,0,0,0,LengthBall,OffStump,NotOut,MisTimed,BacksAway,Drive,CarromBall,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,257,False,False,True,False,True,False,0,0,0,0,0,False,False,0.0,,,,
1251909,3,5.0,9.0,0.0,0.0,15.0,0.0,9.0,73221,,37206,Afghanistan v West Indies T20Is 2026 - Men,1,24,West Indies Men,6,Afghanistan Men,2026-01-22T20:08:10Z,2,False,271,Mujeeb Ur Rahman,3453,Brandon King,1076,Johnson Charles,216,221,Deep Extra Cover,6,0,6,6,LengthBall,OutsideOff,NotOut,WellTimed,FrontFoot,Drive,Googly,Over,LegSpin,Right,Null,NotReferred,Null,False,False,False,False,True,False,257,False,False,True,False,True,False,6,0,0,0,0,False,True,0.0,,,,
1251909,3,5.0,9.0,0.0,0.0,15.0,0.0,9.0,73221,,37206,Afghanistan v West Indies T20Is 2026 - Men,1,24,West Indies Men,6,Afghanistan Men,2026-01-22T20:08:43Z,3,False,271,Mujeeb Ur Rahman,3453,Brandon King,1076,Johnson Charles,345,149,Deep Mid Wicket,1,0,1,1,LengthBall,OffStump,NotOut,None,BackFoot,Worked,CarromBall,Over,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,257,False,False,True,False,True,False,1,0,0,0,0,False,False,0.0,,,,
