over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,catchDifficulty
1277956,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,73489,,39170,ICC Men's T20 World Cup 2026,1,1,England Men,112,Nepal Men,2026-02-08T15:01:52Z,1,False,489,Karan KC,46,Phil Salt,197,Jos Buttler,289,122,Mid On,1,0,1,1,HalfVolley,OffStump,NotOut,None,FrontFoot,Worked,InSwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,256,False,True,True,False,False,False,1,0,0,0,0,False,False,,,,,
1277956,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,73489,,39170,ICC Men's T20 World Cup 2026,1,1,England Men,112,Nepal Men,2026-02-08T15:02:56Z,2,False,489,Karan KC,197,Jos Buttler,46,Phil Salt,223,56,Short Extra Cover,0,0,0,0,FullToss,OffStump,NotOut,None,DownTheTrack,Pushed,InSwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,256,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
1277956,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,73489,,39170,ICC Men's T20 World Cup 2026,1,1,England Men,112,Nepal Men,2026-02-08T15:03:41Z,3,False,489,Karan KC,197,Jos Buttler,46,Phil Salt,264,217,Long Off,4,0,4,4,LengthBall,OutsideOff,NotOut,MisTimed,FrontFoot,Drive,InSwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,256,False,False,True,False,False,False,4,0,0,0,0,False,True,,,,,
1277956,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,73489,,39170,ICC Men's T20 World Cup 2026,1,1,England Men,112,Nepal Men,2026-02-08T15:04:24Z,4,False,489,Karan KC,197,Jos Buttler,46,Phil Salt,90,48,Wicketkeeper,0,0,0,0,LengthBall,OutsideOff,NotOut,Missed,FrontFoot,Pushed,AwaySwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,256,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
1277956,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,73489,,39170,ICC Men's T20 World Cup 2026,1,1,England Men,112,Nepal Men,2026-02-08T15:05:13Z,5,False,489,Karan KC,197,Jos Buttler,46,Phil Salt,186,82,Point,0,0,0,0,LengthBall,OutsideOff,NotOut,None,FrontFoot,Pushed,AwaySwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,256,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
1277956,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,73489,,39170,ICC Men's T20 World Cup 2026,1,1,England Men,112,Nepal Men,2026-02-08T15:05:46Z,6,False,489,Karan KC,197,Jos Buttler,46,Phil Salt,164,76,Backward Point,0,0,0,0,LengthBall,OutsideOff,NotOut,None,DownTheTrack,Pushed,InSwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,256,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
1277957,2,9.5,14.0,1.0,0.0,19.0,1.0,14.0,73489,,39170,ICC Men's T20 World Cup 2026,1,1,England Men,112,Nepal Men,2026-02-08T15:07:22Z,1,True,21167,Sher Malla,46,Phil Salt,197,Jos Buttler,51,102,Short Fine Leg,0,0,0,0,LengthBall,LegStump,NotOut,TopEdge,FrontFoot,Slog,CarromBall,Over,OffSpin,Right,Out2ndUmpire,NotReferred,Null,False,False,False,False,False,False,87,False,False,True,False,False,False,0,0,0,0,0,False,False,Caught,46.0,Phil Salt,Caught,2.0
1277957,2,9.5,14.0,1.0,0.0,19.0,1.0,14.0,73489,,39170,ICC Men's T20 World Cup 2026,1,1,England Men,112,Nepal Men,2026-02-08T15:09:45Z,2,False,21167,Sher Malla,7891,Jacob Bethell,197,Jos Buttler,225,51,Short Mid Wicket,0,0,0,0,LengthBall,OutsideOff,NotOut,None,FrontFoot,Worked,CarromBall,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,87,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,0.0
1277957,2,9.5,14.0,1.0,0.0,19.0,1.0,14.0,73489,,39170,ICC Men's T20 World Cup 2026,1,1,England Men,112,Nepal Men,2026-02-08T15:10:21Z,3,False,21167,Sher Malla,7891,Jacob Bethell,197,Jos Buttler,357,195,Deep Point,4,0,4,4,LengthBall,OutsideOff,NotOut,WellTimed,BackFoot,Cut,CarromBall,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,False,87,False,False,True,False,False,False,4,0,0,0,0,False,True,,,,,0.0
1277957,2,9.5,14.0,1.0,0.0,19.0,1.0,14.0,73489,,39170,ICC Men's T20 World Cup 2026,1,1,England Men,112,Nepal Men,2026-02-08T15:10:56Z,4,False,21167,Sher Malla,7891,Jacob Bethell,197,Jos Buttler,204,205,Deep Mid Wicket,6,0,6,6,LengthBall,OutsideOff,NotOut,Middled,BackFoot,Pull,CarromBall,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,True,False,87,False,False,True,False,False,False,6,0,0,0,0,False,True,,,,,0.0
