over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,id,ballDateTime,ballNumber,totalBallNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,appealDismissalTypeId,decisionOfficialId,matchName
1614068,2,8.0,10,0,0,16,1,10,75641,40285,Zimbabwe v India T20Is 2026 - Men,1,22,Zimbabwe Men,3,India Men,8600421,2026-07-23T11:08:31Z,1,7,False,15923,Ashok Sharma,465,Ben Curran,3980,Dion Myers,,,Left,Wicketkeeper,0,0,0,0,LengthBall,OffStump,ShouldersArms,BackFoot,ShouldersArms,AwaySwinger,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,,,
1614068,2,8.0,10,0,0,16,1,10,75641,40285,Zimbabwe v India T20Is 2026 - Men,1,22,Zimbabwe Men,3,India Men,8600425,2026-07-23T11:09:07Z,2,8,False,15923,Ashok Sharma,465,Ben Curran,3980,Dion Myers,180.0,48.0,Left,Square Leg,0,0,0,0,Yorker,DownLeg,None,BackFoot,Worked,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,,,
1614068,2,8.0,10,0,0,16,1,10,75641,40285,Zimbabwe v India T20Is 2026 - Men,1,22,Zimbabwe Men,3,India Men,8600429,2026-07-23T11:09:38Z,3,9,False,15923,Ashok Sharma,465,Ben Curran,3980,Dion Myers,160.0,167.0,Left,,4,0,4,4,LengthBall,DownLeg,WellTimed,FrontFoot,Flick,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,True,True,False,False,True,False,False,False,4,0,0,0,0,True,False,,,,,,,
1614068,2,8.0,10,0,0,16,1,10,75641,40285,Zimbabwe v India T20Is 2026 - Men,1,22,Zimbabwe Men,3,India Men,8600436,2026-07-23T11:10:21Z,4,10,False,15923,Ashok Sharma,465,Ben Curran,3980,Dion Myers,219.0,176.0,Left,,4,0,4,4,HalfVolley,MiddleStump,WellTimed,FrontFoot,Slog,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,True,True,False,False,True,False,False,False,4,0,0,0,0,True,False,,,,,,,
1614068,2,8.0,10,0,0,16,1,10,75641,40285,Zimbabwe v India T20Is 2026 - Men,1,22,Zimbabwe Men,3,India Men,8600440,2026-07-23T11:11:02Z,5,11,False,15923,Ashok Sharma,465,Ben Curran,3980,Dion Myers,216.0,118.0,Left,Deep Mid Wicket,2,0,2,2,Short,DownLeg,None,BackFoot,Pull,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,2,0,0,0,0,False,False,,,,,,,
1614068,2,8.0,10,0,0,16,1,10,75641,40285,Zimbabwe v India T20Is 2026 - Men,1,22,Zimbabwe Men,3,India Men,8600442,2026-07-23T11:11:57Z,6,12,False,15923,Ashok Sharma,465,Ben Curran,3980,Dion Myers,,,Left,Wicketkeeper,0,0,0,0,Short,DownLeg,Left,Ducked,Leave,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,,,
1614073,3,6.33,3,0,0,19,1,3,75641,40285,Zimbabwe v India T20Is 2026 - Men,1,22,Zimbabwe Men,3,India Men,8600449,2026-07-23T11:12:50Z,1,13,False,10785,Mayank Yadav,3980,Dion Myers,465,Ben Curran,,,Right,Wicketkeeper,0,0,0,0,BackOfALength,OutsideOff,Missed,BackFoot,Worked,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,,,
1614073,3,6.33,3,0,0,19,1,3,75641,40285,Zimbabwe v India T20Is 2026 - Men,1,22,Zimbabwe Men,3,India Men,8600456,2026-07-23T11:13:24Z,2,14,False,10785,Mayank Yadav,3980,Dion Myers,465,Ben Curran,186.0,66.0,Right,Cover,1,1,1,0,LengthBall,OutsideOff,WellTimed,FrontFoot,Drive,NoMovement,Over,FastSeam,Right,Null,NotReferred,1,False,True,False,False,True,True,False,False,True,False,False,False,1,0,0,0,1,False,False,,,,,,,
1614073,3,6.33,3,0,0,19,1,3,75641,40285,Zimbabwe v India T20Is 2026 - Men,1,22,Zimbabwe Men,3,India Men,8600462,2026-07-23T11:14:48Z,2,15,False,10785,Mayank Yadav,3980,Dion Myers,465,Ben Curran,289.0,64.0,Right,Mid On,0,0,0,0,BackOfALength,OutsideOff,MisTimed,BackFoot,Pull,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,True,False,True,False,False,False,0,0,0,0,0,False,True,,,,,,,
1614073,3,6.33,3,0,0,19,1,3,75641,40285,Zimbabwe v India T20Is 2026 - Men,1,22,Zimbabwe Men,3,India Men,8600463,2026-07-23T11:15:20Z,3,16,False,10785,Mayank Yadav,3980,Dion Myers,465,Ben Curran,,,Right,Wicketkeeper,0,0,0,0,Short,OutsideOff,Left,Ducked,Leave,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,,,
1614073,3,6.33,3,0,0,19,1,3,75641,40285,Zimbabwe v India T20Is 2026 - Men,1,22,Zimbabwe Men,3,India Men,8600468,2026-07-23T11:16:01Z,4,17,False,10785,Mayank Yadav,3980,Dion Myers,465,Ben Curran,,,Right,Wicketkeeper,0,0,0,0,BackOfALength,OutsideOff,Missed,FrontFoot,Pull,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,,,
1614073,3,6.33,3,0,0,19,1,3,75641,40285,Zimbabwe v India T20Is 2026 - Men,1,22,Zimbabwe Men,3,India Men,8600473,2026-07-23T11:16:42Z,5,18,False,10785,Mayank Yadav,3980,Dion Myers,465,Ben Curran,,,Right,Wicketkeeper,1,1,1,0,Short,OutsideOff,Left,Ducked,Leave,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,True,False,False,False,False,True,False,False,True,False,False,False,1,0,1,0,0,False,False,,,,,,,
1614073,3,6.33,3,0,0,19,1,3,75641,40285,Zimbabwe v India T20Is 2026 - Men,1,22,Zimbabwe Men,3,India Men,8600479,2026-07-23T11:17:19Z,5,19,False,10785,Mayank Yadav,3980,Dion Myers,465,Ben Curran,149.0,27.0,Right,Gully,0,0,0,0,LengthBall,OutsideOff,ThickEdge,FrontFoot,Pushed,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,True,,,,,,,
1614073,3,6.33,3,0,0,19,1,3,75641,40285,Zimbabwe v India T20Is 2026 - Men,1,22,Zimbabwe Men,3,India Men,8600482,2026-07-23T11:18:02Z,6,20,False,10785,Mayank Yadav,3980,Dion Myers,465,Ben Curran,0.0,0.0,Right,Wicketkeeper,1,1,1,0,BackOfALength,OutsideOff,PlayAndMissLegSide,BackFoot,Glance,OffCutter,Over,FastSeam,Right,Null,NotReferred,Null,True,False,False,False,False,True,False,False,True,False,False,False,1,0,1,0,0,False,False,,,,,,,
1614073,3,6.33,3,0,0,19,1,3,75641,40285,Zimbabwe v India T20Is 2026 - Men,1,22,Zimbabwe Men,3,India Men,8600484,2026-07-23T11:18:53Z,6,21,False,10785,Mayank Yadav,3980,Dion Myers,465,Ben Curran,284.0,79.0,Right,Mid On,0,0,0,0,Short,OutsideOff,None,BackFoot,BackwardDefensive,NoMovement,Over,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,,,
1614079,4,5.0,1,1,0,20,2,1,75641,40285,Zimbabwe v India T20Is 2026 - Men,1,22,Zimbabwe Men,3,India Men,8600489,2026-07-23T11:20:01Z,1,22,False,14819,Prince Yadav,465,Ben Curran,3980,Dion Myers,344.0,55.0,Left,Cover,0,0,0,0,LengthBall,OutsideOff,None,FrontFoot,Drive,NoMovement,Round,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,,,
1614079,4,5.0,1,1,0,20,2,1,75641,40285,Zimbabwe v India T20Is 2026 - Men,1,22,Zimbabwe Men,3,India Men,8600498,2026-07-23T11:20:36Z,2,23,True,14819,Prince Yadav,465,Ben Curran,3980,Dion Myers,216.0,86.0,Left,Mid Wicket,0,0,0,0,BackOfALength,OutsideOff,MisTimed,FrontFoot,Pull,NoMovement,Round,FastSeam,Right,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,True,Caught,465.0,Ben Curran,Caught,Caught,1976.0,
1614079,4,5.0,1,1,0,20,2,1,75641,40285,Zimbabwe v India T20Is 2026 - Men,1,22,Zimbabwe Men,3,India Men,8600504,2026-07-23T11:22:11Z,3,24,False,14819,Prince Yadav,1186,Sikandar Raza,3980,Dion Myers,,,Right,Wicketkeeper,1,1,1,0,LengthBall,Wide,Missed,FrontFoot,Cut,AwaySwinger,Over,FastSeam,Right,Null,NotReferred,Null,True,False,False,False,False,True,False,False,True,False,False,False,1,0,1,0,0,False,False,,,,,,,
