over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ball_id,ballDateTime,ballNumber,totalBallNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,appealDismissalTypeId,decisionOfficialId
1636574,2,10.0,12,0,0,20,0,12,76258,,40941,Namibia T20I Tri-Series 2026 - Men,1,22,Zimbabwe Men,753,Namibia Men,8744450,2026-08-31T12:04:06Z,1,7,False,8249,Ruben Trumpelmann,8600,Brian Bennett,465,Ben Curran,,,Right,Wicketkeeper,0,0,0,0,LengthBall,OutsideOff,Missed,FrontFoot,Drive,AwaySwinger,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,,
1636574,2,10.0,12,0,0,20,0,12,76258,,40941,Namibia T20I Tri-Series 2026 - Men,1,22,Zimbabwe Men,753,Namibia Men,8744451,2026-08-31T12:04:38Z,2,8,False,8249,Ruben Trumpelmann,8600,Brian Bennett,465,Ben Curran,,,Right,Wicketkeeper,1,1,1,0,LengthBall,DownLeg,PlayAndMissLegSide,BackFoot,Flick,NoMovement,Over,Medium,Left,Null,NotReferred,Null,True,False,False,False,False,True,False,False,True,False,False,False,1,0,1,0,0,False,False,,,,,,
1636574,2,10.0,12,0,0,20,0,12,76258,,40941,Namibia T20I Tri-Series 2026 - Men,1,22,Zimbabwe Men,753,Namibia Men,8744452,2026-08-31T12:05:06Z,2,9,False,8249,Ruben Trumpelmann,8600,Brian Bennett,465,Ben Curran,189.0,172.0,Right,,4,0,4,4,LengthBall,OutsideOff,Middled,FrontFoot,Drive,AwaySwinger,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,4,0,0,0,0,True,False,,,,,,
1636574,2,10.0,12,0,0,20,0,12,76258,,40941,Namibia T20I Tri-Series 2026 - Men,1,22,Zimbabwe Men,753,Namibia Men,8744453,2026-08-31T12:05:54Z,3,10,False,8249,Ruben Trumpelmann,8600,Brian Bennett,465,Ben Curran,267.0,180.0,Right,,4,0,4,4,LengthBall,OffStump,Middled,FrontFoot,Drive,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,True,True,False,False,True,False,False,False,4,0,0,0,0,True,False,,,,,,
1636574,2,10.0,12,0,0,20,0,12,76258,,40941,Namibia T20I Tri-Series 2026 - Men,1,22,Zimbabwe Men,753,Namibia Men,8744454,2026-08-31T12:06:33Z,4,11,False,8249,Ruben Trumpelmann,8600,Brian Bennett,465,Ben Curran,318.0,58.0,Right,Mid Wicket,1,0,1,1,BackOfALength,DownLeg,None,BackFoot,Worked,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,,,,,,
1636574,2,10.0,12,0,0,20,0,12,76258,,40941,Namibia T20I Tri-Series 2026 - Men,1,22,Zimbabwe Men,753,Namibia Men,8744455,2026-08-31T12:07:21Z,5,12,False,8249,Ruben Trumpelmann,465,Ben Curran,8600,Brian Bennett,19.0,155.0,Left,Deep Backward Point,1,0,1,1,LengthBall,Wide,None,FrontFoot,Drive,AwaySwinger,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,,,,,,
1636574,2,10.0,12,0,0,20,0,12,76258,,40941,Namibia T20I Tri-Series 2026 - Men,1,22,Zimbabwe Men,753,Namibia Men,8744456,2026-08-31T12:08:15Z,6,13,False,8249,Ruben Trumpelmann,8600,Brian Bennett,465,Ben Curran,168.0,71.0,Right,Backward Point,1,0,1,1,BackOfALength,LegStump,None,BackFoot,Dropped,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,,,,,,
1636575,3,11.67,15,0,0,35,0,15,76258,,40941,Namibia T20I Tri-Series 2026 - Men,1,22,Zimbabwe Men,753,Namibia Men,8744457,2026-08-31T12:09:23Z,1,1,False,3198,JJ Smit,8600,Brian Bennett,465,Ben Curran,347.0,75.0,Right,Square Leg,1,0,1,1,BackOfALength,DownLeg,None,BackFoot,Worked,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,,,,,,
1636575,3,11.67,15,0,0,35,0,15,76258,,40941,Namibia T20I Tri-Series 2026 - Men,1,22,Zimbabwe Men,753,Namibia Men,8744458,2026-08-31T12:10:05Z,2,15,False,3198,JJ Smit,465,Ben Curran,8600,Brian Bennett,190.0,158.0,Left,Deep Square Leg,2,0,2,2,LengthBall,OutsideOff,None,FrontFoot,Slog,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,True,True,False,False,True,False,False,False,2,0,0,0,0,False,False,,,,,,
1636575,3,11.67,15,0,0,35,0,15,76258,,40941,Namibia T20I Tri-Series 2026 - Men,1,22,Zimbabwe Men,753,Namibia Men,8744459,2026-08-31T12:10:49Z,3,16,False,3198,JJ Smit,465,Ben Curran,8600,Brian Bennett,15.0,64.0,Left,Backward Point,1,0,1,1,BackOfALength,OutsideOff,None,BackFoot,Steer,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,False,False,True,False,False,False,1,0,0,0,0,False,False,,,,,,
