over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ball_id,ballDateTime,ballNumber,totalBallNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled
1636736,2,8.0,6,0,0,16,0,6,76267,,40943,Namibia T20I Tri-Series 2026 - Men,1,21,South Africa Men,22,Zimbabwe Men,8745447,2026-09-01T12:04:19Z,1,8,False,,,,14669,Newman Nyamhuri,14169,Lhuan-dre Pretorius,8315,Jordan Hermann,330.0,78.0,Left,Extra Cover,0,0,0,0,,BackOfALength,OutsideOff,,None,BackFoot,Drive,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,0,0,0,0,0,False,False
1636736,2,8.0,6,0,0,16,0,6,76267,,40943,Namibia T20I Tri-Series 2026 - Men,1,21,South Africa Men,22,Zimbabwe Men,8745449,2026-09-01T12:04:51Z,2,9,False,,,,14669,Newman Nyamhuri,14169,Lhuan-dre Pretorius,8315,Jordan Hermann,243.0,87.0,Left,Mid On,0,0,0,0,,BackOfALength,OutsideOff,,MisTimed,BackFoot,Drive,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,0,0,0,0,0,False,False
1636736,2,8.0,6,0,0,16,0,6,76267,,40943,Namibia T20I Tri-Series 2026 - Men,1,21,South Africa Men,22,Zimbabwe Men,8745452,2026-09-01T12:05:25Z,3,10,False,,,,14669,Newman Nyamhuri,14169,Lhuan-dre Pretorius,8315,Jordan Hermann,227.0,177.0,Left,,4,0,4,4,,Short,OutsideOff,,WellTimed,BackFoot,Pull,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,4,0,0,0,0,True,False
1636736,2,8.0,6,0,0,16,0,6,76267,,40943,Namibia T20I Tri-Series 2026 - Men,1,21,South Africa Men,22,Zimbabwe Men,8745453,2026-09-01T12:06:02Z,4,11,False,,,,14669,Newman Nyamhuri,14169,Lhuan-dre Pretorius,8315,Jordan Hermann,234.0,88.0,Left,Mid Wicket,1,0,1,1,,BackOfALength,OutsideOff,,None,BackFoot,Pull,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,1,0,0,0,0,False,False
1636736,2,8.0,6,0,0,16,0,6,76267,,40943,Namibia T20I Tri-Series 2026 - Men,1,21,South Africa Men,22,Zimbabwe Men,8745454,2026-09-01T12:06:41Z,5,12,False,,,,14669,Newman Nyamhuri,8315,Jordan Hermann,14169,Lhuan-dre Pretorius,209.0,69.0,Left,Square Leg,0,0,0,0,,LengthBall,OutsideOff,,None,BackFoot,Worked,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,0,0,0,0,0,False,False
1636736,2,8.0,6,0,0,16,0,6,76267,,40943,Namibia T20I Tri-Series 2026 - Men,1,21,South Africa Men,22,Zimbabwe Men,8745455,2026-09-01T12:07:15Z,6,13,False,,,,14669,Newman Nyamhuri,8315,Jordan Hermann,14169,Lhuan-dre Pretorius,243.0,67.0,Left,Mid On,1,0,1,1,,LengthBall,OutsideOff,,MisTimed,FrontFoot,Drive,NoMovement,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,1,0,0,0,0,False,False
1636737,3,8.33,9,0,0,25,0,9,76267,,40943,Namibia T20I Tri-Series 2026 - Men,1,21,South Africa Men,22,Zimbabwe Men,8745456,2026-09-01T12:08:17Z,1,14,False,,,,3098,Wesley Madhevere,8315,Jordan Hermann,14169,Lhuan-dre Pretorius,340.0,82.0,Left,Cover,0,0,0,0,,BackOfALength,OutsideOff,,None,BackFoot,Cut,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,0,0,0,0,0,False,False
1636737,3,8.33,9,0,0,25,0,9,76267,,40943,Namibia T20I Tri-Series 2026 - Men,1,21,South Africa Men,22,Zimbabwe Men,8745457,2026-09-01T12:08:27Z,2,15,False,,,,3098,Wesley Madhevere,8315,Jordan Hermann,14169,Lhuan-dre Pretorius,,,Left,Bowler,0,0,0,0,,BackOfALength,OutsideOff,,None,BackFoot,Drive,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,0,0,0,0,0,False,False
1636737,3,8.33,9,0,0,25,0,9,76267,,40943,Namibia T20I Tri-Series 2026 - Men,1,21,South Africa Men,22,Zimbabwe Men,8745458,2026-09-01T12:08:45Z,3,16,False,,,,3098,Wesley Madhevere,8315,Jordan Hermann,14169,Lhuan-dre Pretorius,169.0,168.0,Left,,6,0,6,6,,BackOfALength,OffStump,,Middled,BackFoot,Pull,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,True,True,,False,False,True,False,False,False,6,0,0,0,0,True,False
1636737,3,8.33,9,0,0,25,0,9,76267,,40943,Namibia T20I Tri-Series 2026 - Men,1,21,South Africa Men,22,Zimbabwe Men,8745459,2026-09-01T12:09:13Z,4,17,False,,,,3098,Wesley Madhevere,8315,Jordan Hermann,14169,Lhuan-dre Pretorius,,,Left,Bowler,0,0,0,0,,LengthBall,OutsideOff,,None,FrontFoot,Drive,OffBreak,Round,OffSpin,Right,Null,NotReferred,Null,False,False,False,False,False,True,,False,False,True,False,False,False,0,0,0,0,0,False,False
