over_id,over_overNumber,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
45706,1,14.0,1006,,4728,Afghanistan v Ireland T20 - Men's,1,0,,0,,2019-02-24T13:09:01Z,1,False,274.0,Boyd Rankin,265.0,Hazratullah Zazai,266.0,Usman Ghani,146.0,135.0,Right,Fine Leg,1.0,0,1,1.0,Short,DownLeg,NotOut,None,BackFoot,Pull,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,257.0,False,False,True,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
45706,1,14.0,1006,,4728,Afghanistan v Ireland T20 - Men's,1,0,,0,,2019-02-24T13:09:44Z,2,False,274.0,Boyd Rankin,266.0,Usman Ghani,265.0,Hazratullah Zazai,18.0,139.0,Left,Deep Backward Square Leg,1.0,0,1,1.0,BackOfALength,OutsideOff,NotOut,None,BackFoot,Pull,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,257.0,False,False,True,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
45706,1,14.0,1006,,4728,Afghanistan v Ireland T20 - Men's,1,0,,0,,2019-02-24T13:10:18Z,3,False,274.0,Boyd Rankin,265.0,Hazratullah Zazai,266.0,Usman Ghani,149.0,85.0,Right,Short Fine Leg,0.0,1,1,0.0,BackOfALength,DownLeg,NotOut,HitPad,BackFoot,Worked,NoMovement,Over,Fast,Left,Null,Null,False,False,False,True,False,True,257.0,False,False,True,False,True,False,0.0,0.0,0.0,1.0,0.0,False,False,,,,
45706,1,14.0,1006,,4728,Afghanistan v Ireland T20 - Men's,1,0,,0,,2019-02-24T13:10:53Z,4,False,274.0,Boyd Rankin,266.0,Usman Ghani,265.0,Hazratullah Zazai,152.0,140.0,Left,Third Man,1.0,0,1,1.0,Short,OutsideOff,NotOut,None,BackFoot,Cut,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,257.0,False,False,True,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
45706,1,14.0,1006,,4728,Afghanistan v Ireland T20 - Men's,1,0,,0,,2019-02-24T13:11:29Z,5,False,274.0,Boyd Rankin,265.0,Hazratullah Zazai,266.0,Usman Ghani,280.0,191.0,Right,Long Off,4.0,0,4,4.0,HalfVolley,MiddleStump,NotOut,WellTimed,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,257.0,False,False,True,False,True,False,4.0,0.0,0.0,0.0,0.0,False,True,,,,
45706,1,14.0,1006,,4728,Afghanistan v Ireland T20 - Men's,1,0,,0,,2019-02-24T13:12:05Z,6,False,274.0,Boyd Rankin,265.0,Hazratullah Zazai,266.0,Usman Ghani,216.0,184.0,Right,Deep Mid Wicket,6.0,0,6,6.0,LengthBall,DownLeg,NotOut,WellTimed,BacksAway,Slog,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,True,True,257.0,False,False,True,False,True,False,6.0,0.0,0.0,0.0,0.0,False,True,,,,
45707,2,13.0,1006,,4728,Afghanistan v Ireland T20 - Men's,1,0,,0,,2019-02-24T13:13:12Z,1,False,261.0,Peter Chase,266.0,Usman Ghani,265.0,Hazratullah Zazai,270.0,40.0,Left,Bowler,0.0,0,0,0.0,LengthBall,OutsideOff,NotOut,None,FrontFoot,ForwardDefensive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,259.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
45707,2,13.0,1006,,4728,Afghanistan v Ireland T20 - Men's,1,0,,0,,2019-02-24T13:13:42Z,2,False,261.0,Peter Chase,266.0,Usman Ghani,265.0,Hazratullah Zazai,320.0,187.0,Left,Deep Mid Wicket,4.0,0,4,4.0,LengthBall,OutsideOff,NotOut,WellTimed,DownTheTrack,Slog,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,True,True,259.0,False,False,True,False,True,False,4.0,0.0,0.0,0.0,0.0,False,True,,,,
45707,2,13.0,1006,,4728,Afghanistan v Ireland T20 - Men's,1,0,,0,,2019-02-24T13:14:24Z,3,False,261.0,Peter Chase,266.0,Usman Ghani,265.0,Hazratullah Zazai,21.0,163.0,Left,Deep Backward Square Leg,4.0,0,4,4.0,LengthBall,OutsideOff,NotOut,InsideEdge,FrontFoot,Slog,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,259.0,False,False,True,False,True,False,4.0,0.0,0.0,0.0,0.0,False,True,,,,
45707,2,13.0,1006,,4728,Afghanistan v Ireland T20 - Men's,1,0,,0,,2019-02-24T13:15:09Z,4,False,261.0,Peter Chase,266.0,Usman Ghani,265.0,Hazratullah Zazai,354.0,129.0,Left,Deep Square Leg,1.0,0,1,1.0,BackOfALength,OutsideOff,NotOut,None,BackFoot,Worked,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,True,259.0,False,False,True,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
