over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType,appealDismissalTypeId
157658,1,6.0,3.0,0.0,0.0,3.0,0.0,3.0,3630,,5683,India v Bangladesh T20Is - Men's,1,3,India Men,637,Bangladesh Men,2019-11-10T13:30:28Z,1,False,819,Al-Amin Hossain,605,,204,,162,73,Left,Backward Point,0,0,0,0,LengthBall,OutsideOff,None,FrontFoot,Steer,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,94,False,True,True,False,True,False,0,0,0,0,0,False,False,,,,,
157658,1,6.0,3.0,0.0,0.0,3.0,0.0,3.0,3630,,5683,India v Bangladesh T20Is - Men's,1,3,India Men,637,Bangladesh Men,2019-11-10T13:31:00Z,2,False,819,Al-Amin Hossain,605,,204,,209,105,Left,Extra Cover,1,0,1,1,LengthBall,OutsideOff,None,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,94,False,False,True,False,True,False,1,0,0,0,0,False,False,,,,,
157658,1,6.0,3.0,0.0,0.0,3.0,0.0,3.0,3630,,5683,India v Bangladesh T20Is - Men's,1,3,India Men,637,Bangladesh Men,2019-11-10T13:32:06Z,3,False,819,Al-Amin Hossain,204,,605,,283,86,Right,Mid Off,0,0,0,0,LengthBall,LegStump,None,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,94,False,False,True,False,True,False,0,0,0,0,0,False,False,,,,,
157658,1,6.0,3.0,0.0,0.0,3.0,0.0,3.0,3630,,5683,India v Bangladesh T20Is - Men's,1,3,India Men,637,Bangladesh Men,2019-11-10T13:32:41Z,4,False,819,Al-Amin Hossain,204,,605,,158,131,Right,Deep Backward Square Leg,1,0,1,1,LengthBall,DownLeg,None,BackFoot,Worked,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,94,False,False,True,False,True,False,1,0,0,0,0,False,False,,,,,
157658,1,6.0,3.0,0.0,0.0,3.0,0.0,3.0,3630,,5683,India v Bangladesh T20Is - Men's,1,3,India Men,637,Bangladesh Men,2019-11-10T13:33:10Z,5,False,819,Al-Amin Hossain,605,,204,,318,91,Left,Mid Wicket,1,0,1,1,LengthBall,OutsideOff,None,FrontFoot,Worked,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,94,False,False,True,False,True,False,1,0,0,0,0,False,False,,,,,
157658,1,6.0,3.0,0.0,0.0,3.0,0.0,3.0,3630,,5683,India v Bangladesh T20Is - Men's,1,3,India Men,637,Bangladesh Men,2019-11-10T13:33:50Z,6,False,819,Al-Amin Hossain,204,,605,,124,16,Right,Short Leg,0,0,0,0,LengthBall,DownLeg,InsideEdge,FrontFoot,Pushed,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,94,False,False,True,False,True,False,0,0,0,0,0,False,False,,,,,
157659,2,2.0,0.0,1.0,0.0,3.0,1.0,,3630,,5683,India v Bangladesh T20Is - Men's,1,3,India Men,637,Bangladesh Men,2019-11-10T13:35:15Z,1,False,1375,Shafiul Islam,605,,204,,197,84,Left,Cover,0,0,0,0,LengthBall,OutsideOff,None,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,124,False,False,True,False,True,False,0,0,0,0,0,False,False,,,,,
157659,2,2.0,0.0,1.0,0.0,3.0,1.0,,3630,,5683,India v Bangladesh T20Is - Men's,1,3,India Men,637,Bangladesh Men,2019-11-10T13:35:50Z,2,False,1375,Shafiul Islam,605,,204,,221,83,Left,Extra Cover,0,0,0,0,LengthBall,OutsideOff,None,FrontFoot,Pushed,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,124,False,False,True,False,True,False,0,0,0,0,0,False,False,,,,,
157659,2,2.0,0.0,1.0,0.0,3.0,1.0,,3630,,5683,India v Bangladesh T20Is - Men's,1,3,India Men,637,Bangladesh Men,2019-11-10T13:36:24Z,3,True,1375,Shafiul Islam,605,,204,,0,0,Left,,0,0,0,0,LengthBall,OutsideOff,InsideEdge,FrontFoot,Worked,NoMovement,Over,Fast,Left,Out1stUmpire,Null,False,False,False,False,False,False,124,False,False,True,False,True,False,0,0,0,0,0,False,False,Bowled,605.0,,Bowled,
157659,2,2.0,0.0,1.0,0.0,3.0,1.0,,3630,,5683,India v Bangladesh T20Is - Men's,1,3,India Men,637,Bangladesh Men,2019-11-10T13:38:24Z,4,False,1375,Shafiul Islam,203,,204,,157,72,Left,Backward Point,0,0,0,0,LengthBall,OutsideOff,None,FrontFoot,Steer,NoMovement,Over,Fast,Left,Null,Null,False,False,False,False,False,False,124,False,False,True,False,True,False,0,0,0,0,0,False,False,,,,,
