over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled
197830,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,4505,,4980,ICC Women's T20 World Cup 2020,1,62,New Zealand Women,73,Bangladesh Women,2020-02-29T11:02:07Z,1,False,,,,1034,Panna Ghosh,408,Sophie Devine,374,Rachel Priest,216,77,Left,Extra Cover,1,0,1,1,,LengthBall,Null,NotOut,Played,0,Pushed,Null,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,90,False,True,True,False,False,False,1,0,0,0,0,False,False
197830,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,4505,,4980,ICC Women's T20 World Cup 2020,1,62,New Zealand Women,73,Bangladesh Women,2020-02-29T11:02:51Z,2,False,,,,1034,Panna Ghosh,374,Rachel Priest,408,Sophie Devine,206,111,Left,Extra Cover,1,0,1,1,,LengthBall,Null,NotOut,Played,0,Pushed,Null,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,90,False,False,True,False,False,False,1,0,0,0,0,False,False
197830,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,4505,,4980,ICC Women's T20 World Cup 2020,1,62,New Zealand Women,73,Bangladesh Women,2020-02-29T11:03:17Z,3,False,,,,1034,Panna Ghosh,408,Sophie Devine,374,Rachel Priest,200,109,Left,Cover,1,0,1,1,,LengthBall,Null,NotOut,Played,0,Pushed,Null,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,90,False,False,True,False,False,False,1,0,0,0,0,False,False
197830,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,4505,,4980,ICC Women's T20 World Cup 2020,1,62,New Zealand Women,73,Bangladesh Women,2020-02-29T11:03:44Z,4,False,,,,1034,Panna Ghosh,374,Rachel Priest,408,Sophie Devine,170,86,Left,Backward Point,0,0,0,0,,LengthBall,Null,NotOut,Played,0,Steer,Null,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,90,False,False,True,False,False,False,0,0,0,0,0,False,False
197830,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,4505,,4980,ICC Women's T20 World Cup 2020,1,62,New Zealand Women,73,Bangladesh Women,2020-02-29T11:04:12Z,5,False,,,,1034,Panna Ghosh,374,Rachel Priest,408,Sophie Devine,225,134,Left,Deep Extra Cover,2,0,2,2,,LengthBall,Null,NotOut,Played,0,Drive,Null,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,True,False,90,False,False,True,False,False,False,2,0,0,0,0,False,False
197830,1,5.0,5.0,0.0,0.0,5.0,0.0,5.0,4505,,4980,ICC Women's T20 World Cup 2020,1,62,New Zealand Women,73,Bangladesh Women,2020-02-29T11:04:44Z,6,False,,,,1034,Panna Ghosh,374,Rachel Priest,408,Sophie Devine,185,106,Left,Point,0,0,0,0,,LengthBall,Null,NotOut,Played,0,LateCut,Null,Over,Medium,Left,Null,NotReferred,Null,False,False,False,False,False,False,90,False,False,True,False,False,False,0,0,0,0,0,False,False
197832,2,4.5,4.0,0.0,0.0,9.0,0.0,4.0,4505,,4980,ICC Women's T20 World Cup 2020,1,62,New Zealand Women,73,Bangladesh Women,2020-02-29T11:06:23Z,1,False,,,,826,Fahima Khatun,408,Sophie Devine,374,Rachel Priest,199,143,Left,Deep Cover,1,0,1,1,,LengthBall,Null,NotOut,Played,0,Drive,Null,Over,LegSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,292,False,False,True,False,False,False,1,0,0,0,0,False,False
197832,2,4.5,4.0,0.0,0.0,9.0,0.0,4.0,4505,,4980,ICC Women's T20 World Cup 2020,1,62,New Zealand Women,73,Bangladesh Women,2020-02-29T11:07:02Z,2,False,,,,826,Fahima Khatun,374,Rachel Priest,408,Sophie Devine,49,21,Left,Short Leg,0,0,0,0,,LengthBall,Null,NotOut,MisTimed,0,LateCut,Null,Over,LegSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,292,False,False,True,False,False,False,0,0,0,0,0,False,False
197832,2,4.5,4.0,0.0,0.0,9.0,0.0,4.0,4505,,4980,ICC Women's T20 World Cup 2020,1,62,New Zealand Women,73,Bangladesh Women,2020-02-29T11:07:23Z,3,False,,,,826,Fahima Khatun,374,Rachel Priest,408,Sophie Devine,344,127,Left,Deep Mid Wicket,1,0,1,1,,LengthBall,Null,NotOut,Played,0,Sweep,Null,Over,LegSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,292,False,False,True,False,False,False,1,0,0,0,0,False,False
197832,2,4.5,4.0,0.0,0.0,9.0,0.0,4.0,4505,,4980,ICC Women's T20 World Cup 2020,1,62,New Zealand Women,73,Bangladesh Women,2020-02-29T11:07:47Z,4,False,,,,826,Fahima Khatun,408,Sophie Devine,374,Rachel Priest,187,72,Left,Point,0,0,0,0,,BackOfALength,Null,NotOut,Played,0,LateCut,Null,Over,LegSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,292,False,False,True,False,False,False,0,0,0,0,0,False,False
