over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled
370370,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,11414,Match 17,10778,South Africa v Pakistan T20Is - Men's,1,21,South Africa Men,11,Pakistan Men,2021-04-14T18:01:04Z,1,False,,,,637,Shaheen Afridi,2240,Janneman Malan,668,Aiden Markram,213,58,Left,Short Extra Cover,0,0,0,0,,Yorker,MiddleStump,NotOut,None,FrontFoot,ForwardDefensive,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,104,False,True,True,False,False,False,0,0,0,0,0,False,False
370370,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,11414,Match 17,10778,South Africa v Pakistan T20Is - Men's,1,21,South Africa Men,11,Pakistan Men,2021-04-14T18:01:44Z,2,False,,,,637,Shaheen Afridi,2240,Janneman Malan,668,Aiden Markram,215,54,Left,Short Extra Cover,0,0,0,0,,Yorker,MiddleStump,NotOut,None,FrontFoot,Pushed,InSwinger,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,104,False,False,True,False,False,False,0,0,0,0,0,False,False
370370,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,11414,Match 17,10778,South Africa v Pakistan T20Is - Men's,1,21,South Africa Men,11,Pakistan Men,2021-04-14T18:02:17Z,3,False,,,,637,Shaheen Afridi,2240,Janneman Malan,668,Aiden Markram,90,48,Left,Wicketkeeper,0,0,0,0,,Yorker,OutsideOff,NotOut,Left,BacksAway,Leave,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,104,False,False,True,False,False,False,0,0,0,0,0,False,False
370370,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,11414,Match 17,10778,South Africa v Pakistan T20Is - Men's,1,21,South Africa Men,11,Pakistan Men,2021-04-14T18:02:49Z,4,False,,,,637,Shaheen Afridi,2240,Janneman Malan,668,Aiden Markram,223,53,Left,Short Extra Cover,1,0,1,1,,LengthBall,DownLeg,NotOut,None,FrontFoot,Pushed,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,104,False,False,True,False,False,False,1,0,0,0,0,False,False
370370,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,11414,Match 17,10778,South Africa v Pakistan T20Is - Men's,1,21,South Africa Men,11,Pakistan Men,2021-04-14T18:03:43Z,5,False,,,,637,Shaheen Afridi,668,Aiden Markram,2240,Janneman Malan,90,48,Left,Wicketkeeper,0,0,0,0,,LengthBall,OutsideOff,NotOut,Left,NoMovement,ShouldersArms,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,104,False,False,True,False,False,False,0,0,0,0,0,False,False
370370,1,2.0,2.0,0.0,0.0,2.0,0.0,2.0,11414,Match 17,10778,South Africa v Pakistan T20Is - Men's,1,21,South Africa Men,11,Pakistan Men,2021-04-14T18:04:19Z,6,False,,,,637,Shaheen Afridi,668,Aiden Markram,2240,Janneman Malan,1,149,Left,Deep Square Leg,1,0,1,1,,LengthBall,OutsideOff,NotOut,None,FrontFoot,Worked,InSwinger,Round,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,104,False,False,True,False,False,False,1,0,0,0,0,False,False
370371,2,5.0,8.0,0.0,0.0,10.0,0.0,8.0,11414,Match 17,10778,South Africa v Pakistan T20Is - Men's,1,21,South Africa Men,11,Pakistan Men,2021-04-14T18:05:29Z,1,False,,,,636,Mohammad Nawaz,668,Aiden Markram,2240,Janneman Malan,137,67,Left,Short Third Man,0,0,0,0,,LengthBall,LegStump,NotOut,HitPad,DownTheTrack,Flick,StockBall,Round,Orthodox,Right,Null,NotReferred,Null,False,False,False,False,False,False,102,False,False,True,False,False,False,0,0,0,0,0,False,False
370371,2,5.0,8.0,0.0,0.0,10.0,0.0,8.0,11414,Match 17,10778,South Africa v Pakistan T20Is - Men's,1,21,South Africa Men,11,Pakistan Men,2021-04-14T18:06:24Z,2,False,,,,636,Mohammad Nawaz,668,Aiden Markram,2240,Janneman Malan,196,80,Left,Cover,1,0,1,1,,LengthBall,OffStump,NotOut,None,BackFoot,Pushed,StockBall,Round,Orthodox,Right,Null,NotReferred,Null,False,False,False,False,False,False,102,False,False,True,False,False,False,1,0,0,0,0,False,False
370371,2,5.0,8.0,0.0,0.0,10.0,0.0,8.0,11414,Match 17,10778,South Africa v Pakistan T20Is - Men's,1,21,South Africa Men,11,Pakistan Men,2021-04-14T18:07:02Z,3,False,,,,636,Mohammad Nawaz,2240,Janneman Malan,668,Aiden Markram,310,98,Left,Mid On,1,0,1,1,,LengthBall,MiddleStump,NotOut,None,FrontFoot,Worked,StockBall,Round,Orthodox,Right,Null,NotReferred,Null,False,False,False,False,False,False,102,False,False,True,False,False,False,1,0,0,0,0,False,False
370371,2,5.0,8.0,0.0,0.0,10.0,0.0,8.0,11414,Match 17,10778,South Africa v Pakistan T20Is - Men's,1,21,South Africa Men,11,Pakistan Men,2021-04-14T18:07:25Z,4,False,,,,636,Mohammad Nawaz,668,Aiden Markram,2240,Janneman Malan,270,40,Left,Bowler,0,0,0,0,,LengthBall,MiddleStump,NotOut,None,DownTheTrack,Pushed,StockBall,Round,Orthodox,Right,Null,NotReferred,Null,False,False,False,False,False,False,102,False,False,True,False,False,False,0,0,0,0,0,False,False
