over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
997840,1,16.0,16.0,0.0,0.0,16.0,0.0,16.0,36541,,19844,Australia v Pakistan T20Is - Men,1,23,Australia Men,11,Pakistan Men,2024-11-14T15:51:20Z,1,False,637.0,Shaheen Afridi,1080.0,Matt Short,2911.0,Jake Fraser-McGurk,301.0,91.0,Mid On,1.0,0,1,1.0,FullToss,MiddleStump,NotOut,MisTimed,FrontFoot,Flick,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,220.0,False,True,True,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
997840,1,16.0,16.0,0.0,0.0,16.0,0.0,16.0,36541,,19844,Australia v Pakistan T20Is - Men,1,23,Australia Men,11,Pakistan Men,2024-11-14T15:51:58Z,2,False,637.0,Shaheen Afridi,2911.0,Jake Fraser-McGurk,1080.0,Matt Short,322.0,199.0,Deep Mid Wicket,4.0,0,4,4.0,LengthBall,LegStump,NotOut,WellTimed,FrontFoot,Drive,InSwinger,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,220.0,False,False,True,False,True,False,4.0,0.0,0.0,0.0,0.0,False,True,,,,
997840,1,16.0,16.0,0.0,0.0,16.0,0.0,16.0,36541,,19844,Australia v Pakistan T20Is - Men,1,23,Australia Men,11,Pakistan Men,2024-11-14T15:52:42Z,3,False,637.0,Shaheen Afridi,2911.0,Jake Fraser-McGurk,1080.0,Matt Short,277.0,194.0,Long On,4.0,0,4,4.0,LengthBall,DownLeg,NotOut,WellTimed,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,220.0,False,False,True,False,True,False,4.0,0.0,0.0,0.0,0.0,False,True,,,,
997840,1,16.0,16.0,0.0,0.0,16.0,0.0,16.0,36541,,19844,Australia v Pakistan T20Is - Men,1,23,Australia Men,11,Pakistan Men,2024-11-14T15:53:25Z,4,False,637.0,Shaheen Afridi,2911.0,Jake Fraser-McGurk,1080.0,Matt Short,90.0,48.0,Wicketkeeper,0.0,0,0,0.0,LengthBall,Wide,NotOut,Missed,FrontFoot,Drive,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,220.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
997840,1,16.0,16.0,0.0,0.0,16.0,0.0,16.0,36541,,19844,Australia v Pakistan T20Is - Men,1,23,Australia Men,11,Pakistan Men,2024-11-14T15:54:00Z,5,False,637.0,Shaheen Afridi,2911.0,Jake Fraser-McGurk,1080.0,Matt Short,289.0,155.0,Long On,1.0,0,1,1.0,BackOfALength,DownLeg,NotOut,MisTimed,BacksAway,Pull,OffCutter,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,220.0,False,False,True,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False,,,,
997840,1,16.0,16.0,0.0,0.0,16.0,0.0,16.0,36541,,19844,Australia v Pakistan T20Is - Men,1,23,Australia Men,11,Pakistan Men,2024-11-14T15:54:46Z,6,False,637.0,Shaheen Afridi,1080.0,Matt Short,2911.0,Jake Fraser-McGurk,56.0,188.0,Fine Leg,6.0,0,6,6.0,Short,DownLeg,NotOut,WellTimed,BackFoot,Hook,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,True,False,220.0,False,False,True,False,True,False,6.0,0.0,0.0,0.0,0.0,False,True,,,,
997841,2,16.5,17.0,1.0,1.0,33.0,1.0,17.0,36541,,19844,Australia v Pakistan T20Is - Men,1,23,Australia Men,11,Pakistan Men,2024-11-14T15:55:51Z,1,True,3763.0,Naseem Shah,2911.0,Jake Fraser-McGurk,1080.0,Matt Short,214.0,87.0,Extra Cover,0.0,0,0,0.0,LengthBall,OutsideOff,NotOut,MisTimed,BacksAway,Drive,NoMovement,Over,Fast,Right,Out2ndUmpire,NotReferred,Null,False,False,False,False,False,False,97.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,Caught,2911.0,Jake Fraser-McGurk,Caught
997841,2,16.5,17.0,1.0,1.0,33.0,1.0,17.0,36541,,19844,Australia v Pakistan T20Is - Men,1,23,Australia Men,11,Pakistan Men,2024-11-14T15:57:28Z,2,False,3763.0,Naseem Shah,591.0,Glenn Maxwell,1080.0,Matt Short,142.0,164.0,Third Man,4.0,0,4,4.0,LengthBall,LegStump,NotOut,WellTimed,BackFoot,ReverseSweep,NoMovement,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,97.0,False,False,True,False,True,False,4.0,0.0,0.0,0.0,0.0,False,True,,,,
997841,2,16.5,17.0,1.0,1.0,33.0,1.0,17.0,36541,,19844,Australia v Pakistan T20Is - Men,1,23,Australia Men,11,Pakistan Men,2024-11-14T15:58:08Z,3,False,3763.0,Naseem Shah,591.0,Glenn Maxwell,1080.0,Matt Short,90.0,48.0,Wicketkeeper,0.0,0,0,0.0,Short,OutsideOff,NotOut,Left,Ducked,Leave,OffCutter,Over,Fast,Right,Null,NotReferred,Null,False,False,False,False,False,False,97.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False,,,,
997841,2,16.5,17.0,1.0,1.0,33.0,1.0,17.0,36541,,19844,Australia v Pakistan T20Is - Men,1,23,Australia Men,11,Pakistan Men,2024-11-14T15:58:44Z,4,False,3763.0,Naseem Shah,591.0,Glenn Maxwell,1080.0,Matt Short,90.0,48.0,Wicketkeeper,1.0,1,1,0.0,LengthBall,OutsideOff,NotOut,PlayAndMissLegSide,BackFoot,Slog,OffCutter,Over,Fast,Right,Null,NotReferred,Null,False,True,False,False,False,False,97.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,1.0,False,False,,,,
