over_id,over_overNumber,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,battingHandId,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled
37998,1,8.0,774,,74,Bangladesh v Windies Twenty20 Series 2018,1,0,,0,,2018-12-22T11:07:18Z,1,False,,,,1815.0,Mohammad Saifuddin,1986.0,Evin Lewis,699.0,Shai Hope,90.0,48.0,Right,Wicketkeeper,1.0,1,1,0.0,,HalfVolley,LegStump,NotOut,PlayAndMissLegSide,FrontFoot,Flick,InSwinger,Over,Medium,Left,Null,Null,True,False,False,False,False,True,213.0,False,False,True,False,True,False,0.0,0.0,1.0,0.0,0.0,False,False
37998,1,8.0,774,,74,Bangladesh v Windies Twenty20 Series 2018,1,0,,0,,2018-12-22T11:07:48Z,1,False,,,,1815.0,Mohammad Saifuddin,1986.0,Evin Lewis,699.0,Shai Hope,129.0,87.0,Right,Short Fine Leg,1.0,0,1,1.0,,LengthBall,LegStump,NotOut,None,NoMovement,Pushed,NoMovement,Over,Medium,Left,Null,Null,False,False,False,False,False,True,213.0,False,False,True,False,True,False,1.0,0.0,0.0,0.0,0.0,False,False
37998,1,8.0,774,,74,Bangladesh v Windies Twenty20 Series 2018,1,0,,0,,2018-12-22T11:08:49Z,2,False,,,,1815.0,Mohammad Saifuddin,699.0,Shai Hope,1986.0,Evin Lewis,161.0,84.0,Left,Backward Point,0.0,0,0,0.0,,LengthBall,OutsideOff,NotOut,None,FrontFoot,Steer,NoMovement,Over,Medium,Left,Null,Null,False,False,False,False,False,True,213.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False
37998,1,8.0,774,,74,Bangladesh v Windies Twenty20 Series 2018,1,0,,0,,2018-12-22T11:09:29Z,3,False,,,,1815.0,Mohammad Saifuddin,699.0,Shai Hope,1986.0,Evin Lewis,192.0,87.0,Left,Cover,0.0,0,0,0.0,,LengthBall,OutsideOff,NotOut,None,NoMovement,Drive,NoMovement,Over,Medium,Left,Null,Null,False,False,False,False,False,True,213.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False
37998,1,8.0,774,,74,Bangladesh v Windies Twenty20 Series 2018,1,0,,0,,2018-12-22T11:10:03Z,4,False,,,,1815.0,Mohammad Saifuddin,699.0,Shai Hope,1986.0,Evin Lewis,206.0,187.0,Left,Deep Cover,4.0,0,4,4.0,,HalfVolley,OutsideOff,NotOut,Middled,FrontFoot,Drive,AwaySwinger,Over,Medium,Left,Null,Null,False,False,False,False,False,True,213.0,False,False,True,False,True,False,4.0,0.0,0.0,0.0,0.0,False,False
37998,1,8.0,774,,74,Bangladesh v Windies Twenty20 Series 2018,1,0,,0,,2018-12-22T11:10:41Z,5,False,,,,1815.0,Mohammad Saifuddin,699.0,Shai Hope,1986.0,Evin Lewis,356.0,157.0,Left,Deep Square Leg,2.0,0,2,2.0,,BackOfALength,OffStump,NotOut,None,BackFoot,Flick,NoMovement,Over,Medium,Left,Null,Null,False,False,False,False,False,True,213.0,False,False,True,False,True,False,2.0,0.0,0.0,0.0,0.0,False,False
37998,1,8.0,774,,74,Bangladesh v Windies Twenty20 Series 2018,1,0,,0,,2018-12-22T11:11:20Z,6,False,,,,1815.0,Mohammad Saifuddin,699.0,Shai Hope,1986.0,Evin Lewis,90.0,48.0,Left,Wicketkeeper,0.0,0,0,0.0,,LengthBall,OutsideOff,NotOut,Missed,FrontFoot,Slog,NoMovement,Over,Medium,Left,Null,Null,False,False,False,False,False,True,213.0,False,False,True,False,True,False,0.0,0.0,0.0,0.0,0.0,False,False
37999,2,27.0,774,,74,Bangladesh v Windies Twenty20 Series 2018,1,0,,0,,2018-12-22T11:12:25Z,1,False,,,,619.0,Abu Haider,1986.0,Evin Lewis,699.0,Shai Hope,280.0,189.0,Right,Long Off,6.0,0,6,6.0,,LengthBall,OutsideOff,NotOut,Middled,FrontFoot,Drive,NoMovement,Over,Medium,Right,Null,Null,False,False,False,False,True,True,126.0,False,False,True,False,True,False,6.0,0.0,0.0,0.0,0.0,False,True
37999,2,27.0,774,,74,Bangladesh v Windies Twenty20 Series 2018,1,0,,0,,2018-12-22T11:13:23Z,2,False,,,,619.0,Abu Haider,1986.0,Evin Lewis,699.0,Shai Hope,285.0,197.0,Right,Long Off,6.0,0,6,6.0,,LengthBall,OutsideOff,NotOut,Middled,FrontFoot,Drive,SlowerBall,Over,Medium,Right,Null,Null,False,False,False,False,True,True,126.0,False,False,True,False,True,False,6.0,0.0,0.0,0.0,0.0,False,True
37999,2,27.0,774,,74,Bangladesh v Windies Twenty20 Series 2018,1,0,,0,,2018-12-22T11:14:06Z,3,False,,,,619.0,Abu Haider,1986.0,Evin Lewis,699.0,Shai Hope,90.0,48.0,Right,Wicketkeeper,1.0,1,1,0.0,,Short,OutsideOff,NotOut,Left,NoMovement,NoShot,SlowerBall,Over,Medium,Right,Null,Null,True,False,False,False,False,True,126.0,False,False,True,False,True,False,0.0,0.0,1.0,0.0,0.0,False,False
37999,2,27.0,774,,74,Bangladesh v Windies Twenty20 Series 2018,1,0,,0,,2018-12-22T11:14:44Z,3,False,,,,619.0,Abu Haider,1986.0,Evin Lewis,699.0,Shai Hope,294.0,188.0,Right,Long Off,6.0,0,6,6.0,,HalfVolley,OutsideOff,NotOut,WellTimed,FrontFoot,Drive,SlowerBall,Over,Medium,Right,Null,Null,False,False,False,False,True,True,126.0,False,False,True,False,True,False,6.0,0.0,0.0,0.0,0.0,False,False
