over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,dismissalType,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled
481970,1,4.0,4.0,0.0,0.0,4.0,0.0,4.0,24136,,11981,ICC Under 19 Men's World Cup 2022,1,226,Bangladesh U19 Men,233,Pakistan U19 Men,2022-01-31T18:31:52Z,1,False,,,,8658,Zeeshan Zameer,8632,Mahfijul Islam,8682,Iftakher Hossain,168,85,Backward Point,0,0,0,0,,LengthBall,OffStump,NotOut,ThickEdge,FrontFoot,ForwardDefensive,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,2,False,True,True,False,False,False,0,0,0,0,0,False,False
481970,1,4.0,4.0,0.0,0.0,4.0,0.0,4.0,24136,,11981,ICC Under 19 Men's World Cup 2022,1,226,Bangladesh U19 Men,233,Pakistan U19 Men,2022-01-31T18:32:27Z,2,False,,,,8658,Zeeshan Zameer,8632,Mahfijul Islam,8682,Iftakher Hossain,62,191,Fine Leg,4,0,4,4,,HalfVolley,MiddleStump,NotOut,WellTimed,FrontFoot,Glance,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,2,False,False,True,False,False,False,4,0,0,0,0,False,True
481970,1,4.0,4.0,0.0,0.0,4.0,0.0,4.0,24136,,11981,ICC Under 19 Men's World Cup 2022,1,226,Bangladesh U19 Men,233,Pakistan U19 Men,2022-01-31T18:33:06Z,3,False,,,,8658,Zeeshan Zameer,8632,Mahfijul Islam,8682,Iftakher Hossain,90,48,Wicketkeeper,0,0,0,0,,LengthBall,OutsideOff,NotOut,Left,NoMovement,ShouldersArms,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,2,False,False,True,False,False,False,0,0,0,0,0,False,False
481970,1,4.0,4.0,0.0,0.0,4.0,0.0,4.0,24136,,11981,ICC Under 19 Men's World Cup 2022,1,226,Bangladesh U19 Men,233,Pakistan U19 Men,2022-01-31T18:33:45Z,4,False,,,,8658,Zeeshan Zameer,8632,Mahfijul Islam,8682,Iftakher Hossain,90,48,Wicketkeeper,0,0,0,0,,LengthBall,OutsideOff,NotOut,Left,FrontFoot,ShouldersArms,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,2,False,False,True,False,False,False,0,0,0,0,0,False,False
481970,1,4.0,4.0,0.0,0.0,4.0,0.0,4.0,24136,,11981,ICC Under 19 Men's World Cup 2022,1,226,Bangladesh U19 Men,233,Pakistan U19 Men,2022-01-31T18:34:18Z,5,False,,,,8658,Zeeshan Zameer,8632,Mahfijul Islam,8682,Iftakher Hossain,90,48,Wicketkeeper,0,0,0,0,,LengthBall,OutsideOff,NotOut,Left,FrontFoot,ShouldersArms,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,2,False,False,True,False,False,False,0,0,0,0,0,False,False
481970,1,4.0,4.0,0.0,0.0,4.0,0.0,4.0,24136,,11981,ICC Under 19 Men's World Cup 2022,1,226,Bangladesh U19 Men,233,Pakistan U19 Men,2022-01-31T18:34:50Z,6,False,,,,8658,Zeeshan Zameer,8632,Mahfijul Islam,8682,Iftakher Hossain,90,48,Wicketkeeper,0,0,0,0,,LengthBall,OutsideOff,NotOut,Left,FrontFoot,ShouldersArms,NoMovement,Over,Fast,Left,Null,NotReferred,Null,False,False,False,False,False,False,2,False,False,True,False,False,False,0,0,0,0,0,False,False
481974,2,2.0,0.0,0.0,0.0,4.0,0.0,0.0,24136,,11981,ICC Under 19 Men's World Cup 2022,1,226,Bangladesh U19 Men,233,Pakistan U19 Men,2022-01-31T18:36:20Z,1,False,,,,4014,Qasim Akram,8682,Iftakher Hossain,8632,Mahfijul Islam,5,17,Silly Point,0,0,0,0,,LengthBall,OffStump,Lbw,HitPad,BackFoot,Worked,OffBreak,Round,OffSpin,Left,NotOut2ndUmpire,NotReferred,Null,False,False,False,False,False,True,34,False,True,True,False,False,False,0,0,0,0,0,False,False
481974,2,2.0,0.0,0.0,0.0,4.0,0.0,0.0,24136,,11981,ICC Under 19 Men's World Cup 2022,1,226,Bangladesh U19 Men,233,Pakistan U19 Men,2022-01-31T18:36:48Z,2,False,,,,4014,Qasim Akram,8682,Iftakher Hossain,8632,Mahfijul Islam,228,42,Short Mid Wicket,0,0,0,0,,LengthBall,OutsideOff,NotOut,None,BackFoot,BackwardDefensive,OffBreak,Round,OffSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,34,False,False,True,False,False,False,0,0,0,0,0,False,False
481974,2,2.0,0.0,0.0,0.0,4.0,0.0,0.0,24136,,11981,ICC Under 19 Men's World Cup 2022,1,226,Bangladesh U19 Men,233,Pakistan U19 Men,2022-01-31T18:37:06Z,3,False,,,,4014,Qasim Akram,8682,Iftakher Hossain,8632,Mahfijul Islam,270,40,Bowler,0,0,0,0,,LengthBall,OutsideOff,NotOut,None,FrontFoot,ForwardDefensive,OffBreak,Round,OffSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,34,False,False,True,False,False,False,0,0,0,0,0,False,False
481974,2,2.0,0.0,0.0,0.0,4.0,0.0,0.0,24136,,11981,ICC Under 19 Men's World Cup 2022,1,226,Bangladesh U19 Men,233,Pakistan U19 Men,2022-01-31T18:37:25Z,4,False,,,,4014,Qasim Akram,8682,Iftakher Hossain,8632,Mahfijul Islam,220,55,Short Mid Wicket,0,0,0,0,,BackOfALength,OutsideOff,NotOut,MisTimed,BackFoot,Pull,OffBreak,Round,OffSpin,Left,Null,NotReferred,Null,False,False,False,False,False,False,34,False,False,True,False,False,False,0,0,0,0,0,False,False
