over_id,over_overNumber,over_runrate,over_runsConceded,over_wickets,over_runsExtras,over_totalInningRuns,over_totalInningWickets,over_totalRuns,id,matchName,fixtureId,fixtureName,inningNumber,battingTeamId,battingTeamName,bowlingTeamId,bowlingTeamName,ballDateTime,ballNumber,isWicket,bowlerPlayerId,bowlerPlayerName,battingPlayerId,battingPlayerName,nonStrikeBattingPlayerId,nonStrikeBattingPlayerName,shotAngle,shotMagnitude,fieldingPosition,runsConceded,extras,runs,runsScored,lengthTypeId,lineTypeId,appealDismissalTypeId,battingConnectionId,battingFeetId,battingShotTypeId,bowlingDetailId,bowlingFromId,bowlingTypeId,bowlingHandId,outcomeId,referralOutcomeId,noBallReasonId,isWide,isNoBall,isByes,isLegByes,isAirControlled,isAppeal,decisionOfficialId,isFreeHit,isNewBall,isPowerPlay,isBattingPowerPlay,isFloodLit,isReferred,teamRuns,runsByes,runsWide,runsLegByes,noBallsCount,isBoundry,isAirNotControlled,catchDifficulty,dismissalTypeId,dismissalPlayerId,dismissalPlayerName,dismissalType
1250186,1,8.0,8.0,0.0,5.0,8.0,0.0,8.0,73160,,38928,ICC U19 Men's World Cup 2026,1,235,South Africa U19 Men,1415,Tanzania U19 Men,2026-01-19T07:29:56Z,1,False,15783,Khalidi Amiri,16210,Jorich van Schalkwyk,16149,Adnaan Lagadien,88,169,Fine Leg,5,5,5,0,BackOfALength,Null,NotOut,NoShot,0,Leave,Null,Over,Medium,Right,Null,NotReferred,Null,True,False,False,False,False,False,10,False,True,True,False,False,False,5,0,5,0,0,False,False,,,,,
1250186,1,8.0,8.0,0.0,5.0,8.0,0.0,8.0,73160,,38928,ICC U19 Men's World Cup 2026,1,235,South Africa U19 Men,1415,Tanzania U19 Men,2026-01-19T07:30:39Z,1,False,15783,Khalidi Amiri,16210,Jorich van Schalkwyk,16149,Adnaan Lagadien,201,40,Short Extra Cover,0,0,0,0,BackOfALength,Null,NotOut,Played,0,BackwardDefensive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,10,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
1250186,1,8.0,8.0,0.0,5.0,8.0,0.0,8.0,73160,,38928,ICC U19 Men's World Cup 2026,1,235,South Africa U19 Men,1415,Tanzania U19 Men,2026-01-19T07:31:15Z,2,False,15783,Khalidi Amiri,16210,Jorich van Schalkwyk,16149,Adnaan Lagadien,224,36,Short Extra Cover,0,0,0,0,BackOfALength,Null,NotOut,HitBody,0,Pull,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,10,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
1250186,1,8.0,8.0,0.0,5.0,8.0,0.0,8.0,73160,,38928,ICC U19 Men's World Cup 2026,1,235,South Africa U19 Men,1415,Tanzania U19 Men,2026-01-19T07:32:02Z,3,False,15783,Khalidi Amiri,16210,Jorich van Schalkwyk,16149,Adnaan Lagadien,199,65,Cover,0,0,0,0,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,10,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
1250186,1,8.0,8.0,0.0,5.0,8.0,0.0,8.0,73160,,38928,ICC U19 Men's World Cup 2026,1,235,South Africa U19 Men,1415,Tanzania U19 Men,2026-01-19T07:32:25Z,4,False,15783,Khalidi Amiri,16210,Jorich van Schalkwyk,16149,Adnaan Lagadien,160,113,Backward Point,1,0,1,1,BackOfALength,Null,NotOut,Played,0,Pushed,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,10,False,False,True,False,False,False,1,0,0,0,0,False,False,,,,,
1250186,1,8.0,8.0,0.0,5.0,8.0,0.0,8.0,73160,,38928,ICC U19 Men's World Cup 2026,1,235,South Africa U19 Men,1415,Tanzania U19 Men,2026-01-19T07:33:15Z,5,False,15783,Khalidi Amiri,16149,Adnaan Lagadien,16210,Jorich van Schalkwyk,7,130,Backward Square Leg,2,0,2,2,BackOfALength,Null,NotOut,Played,0,Glance,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,10,False,False,True,False,False,False,2,0,0,0,0,False,False,,,,,
1250186,1,8.0,8.0,0.0,5.0,8.0,0.0,8.0,73160,,38928,ICC U19 Men's World Cup 2026,1,235,South Africa U19 Men,1415,Tanzania U19 Men,2026-01-19T07:34:05Z,6,False,15783,Khalidi Amiri,16149,Adnaan Lagadien,16210,Jorich van Schalkwyk,90,48,Wicketkeeper,0,0,0,0,BackOfALength,Null,NotOut,Missed,0,Cut,Null,Over,Medium,Right,Null,NotReferred,Null,False,False,False,False,False,False,10,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
1250188,2,4.5,1.0,0.0,0.0,9.0,0.0,1.0,73160,,38928,ICC U19 Men's World Cup 2026,1,235,South Africa U19 Men,1415,Tanzania U19 Men,2026-01-19T07:35:19Z,1,False,15784,Laksh Bakrania,16210,Jorich van Schalkwyk,16149,Adnaan Lagadien,270,40,Bowler,0,0,0,0,LengthBall,Null,NotOut,Played,0,ForwardDefensive,Null,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,False,898,False,True,True,False,False,False,0,0,0,0,0,False,False,,,,,
1250188,2,4.5,1.0,0.0,0.0,9.0,0.0,1.0,73160,,38928,ICC U19 Men's World Cup 2026,1,235,South Africa U19 Men,1415,Tanzania U19 Men,2026-01-19T07:35:34Z,2,False,15784,Laksh Bakrania,16210,Jorich van Schalkwyk,16149,Adnaan Lagadien,217,77,Extra Cover,0,0,0,0,LengthBall,Null,NotOut,Played,0,Drive,Null,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,False,898,False,False,True,False,False,False,0,0,0,0,0,False,False,,,,,
1250188,2,4.5,1.0,0.0,0.0,9.0,0.0,1.0,73160,,38928,ICC U19 Men's World Cup 2026,1,235,South Africa U19 Men,1415,Tanzania U19 Men,2026-01-19T07:35:59Z,3,False,15784,Laksh Bakrania,16210,Jorich van Schalkwyk,16149,Adnaan Lagadien,227,114,Mid Off,1,0,1,1,LengthBall,Null,NotOut,Played,0,Drive,Null,Round,Orthodox,Left,Null,NotReferred,Null,False,False,False,False,False,False,898,False,False,True,False,False,False,1,0,0,0,0,False,False,,,,,
